year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,1.1e-05
1922,4.07e-05
1923,8.46e-05
1924,0.00013800000000000002
1925,0.00019600000000000002
1926,0.000254
1927,0.000307
1928,0.00035099999999999997
1929,0.000381
1930,0.00039200000000000004
1931,0.000383
1932,0.000359
1933,0.000323
1934,0.00028000000000000003
1935,0.00023300000000000003
1936,0.000187
1937,0.00014399999999999998
1938,0.000108
1939,8.41e-05
1940,7.52e-05
1941,0.000304
1942,0.0009429999999999999
1943,0.0019199999999999998
1944,0.00316
1945,0.0046
1946,0.00615
1947,0.0077599999999999995
1948,0.00934
1949,0.0108
1950,0.012199999999999999
1951,0.0134
1952,0.0146
1953,0.0158
1954,0.017
1955,0.0182
1956,0.0195
1957,0.0207
1958,0.0219
1959,0.0232
1960,0.024399999999999998
1961,0.0255
1962,0.026600000000000002
1963,0.0275
1964,0.0285
1965,0.0295
1966,0.0305
1967,0.0318
1968,0.033299999999999996
1969,0.035
1970,0.0371
1971,0.041
1972,0.047799999999999995
1973,0.0571
1974,0.0683
1975,0.0809
1976,0.0943
1977,0.108
1978,0.122
1979,0.135
1980,0.146
1981,0.158
1982,0.172
1983,0.186
1984,0.201
1985,0.215
1986,0.228
1987,0.239
1988,0.248
1989,0.254
1990,0.281
1991,0.392
1992,0.485
1993,0.534
1994,0.629
1995,0.724
1996,0.848
1997,0.951
1998,1.09
1999,1.41
2000,2.24
2001,2.94
2002,3.61
2003,4.38
2004,5.15
2005,6.09
2006,6.42
2007,6.57
2008,6.84
2009,7.08
2010,7.06
2011,7.13
2012,7.29
2013,7.5
2014,8.14
2015,8.95
2016,10.2
2017,11.3
2018,12.8
2019,14.1
2020,15.4
2021,16.8
2022,18.1
2023,19.5
