year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.105,0.0,0.0514,0.0,0.57
1751,0.105,0.0,0.0515,1.3e-05,0.571
1752,0.105,0.0,0.0516,2.61e-05,0.572
1753,0.106,0.0,0.0517,3.91e-05,0.573
1754,0.106,0.0,0.0518,5.22e-05,0.574
1755,0.106,0.0,0.0519,6.52e-05,0.575
1756,0.106,0.0,0.052,7.829999999999999e-05,0.576
1757,0.106,0.0,0.0521,9.130000000000001e-05,0.578
1758,0.107,0.0,0.0522,0.000104,0.579
1759,0.107,0.0,0.0523,0.00011700000000000001,0.58
1760,0.107,0.0,0.052399999999999995,0.00013000000000000002,0.581
1761,0.107,0.0,0.0525,0.00014399999999999998,0.582
1762,0.107,0.0,0.0526,0.000157,0.583
1763,0.107,0.0,0.052700000000000004,0.00017,0.584
1764,0.108,0.0,0.0528,0.000183,0.585
1765,0.108,0.0,0.052899999999999996,0.00019600000000000002,0.586
1766,0.108,0.0,0.053,0.00020899999999999998,0.587
1767,0.108,0.0,0.0531,0.000222,0.588
1768,0.108,0.0,0.0531,0.000235,0.589
1769,0.109,0.0,0.053200000000000004,0.000248,0.59
1770,0.109,0.0,0.0533,0.000261,0.591
1771,0.109,0.0,0.053399999999999996,0.00027400000000000005,0.593
1772,0.109,0.0,0.0535,0.000287,0.594
1773,0.109,0.0,0.0536,0.0003,0.595
1774,0.109,0.0,0.053700000000000005,0.000313,0.596
1775,0.11,0.0,0.0538,0.000326,0.597
1776,0.11,0.0,0.053899999999999997,0.000339,0.598
1777,0.11,0.0,0.054,0.000352,0.599
1778,0.11,0.0,0.0541,0.000365,0.6
1779,0.11,0.0,0.054200000000000005,0.000378,0.601
1780,0.111,0.0,0.054299999999999994,0.000391,0.602
1781,0.111,0.0,0.0544,0.000404,0.604
1782,0.111,0.0,0.0545,0.00041799999999999997,0.605
1783,0.111,0.0,0.0546,0.000431,0.606
1784,0.111,0.0,0.054700000000000006,0.000444,0.607
1785,0.112,0.0,0.054799999999999995,0.000457,0.608
1786,0.112,0.0,0.0549,0.00047,0.609
1787,0.112,0.0,0.055,0.000483,0.61
1788,0.112,0.0,0.0551,0.000496,0.611
1789,0.112,0.0,0.055200000000000006,0.000509,0.612
1790,0.112,0.0,0.055299999999999995,0.000522,0.614
1791,0.113,0.0,0.0554,0.000535,0.615
1792,0.113,0.0,0.0555,0.0005480000000000001,0.616
1793,0.113,0.0,0.055600000000000004,0.0005610000000000001,0.617
1794,0.113,0.0,0.0557,0.000574,0.618
1795,0.113,0.0,0.055799999999999995,0.000587,0.619
1796,0.114,0.0,0.056,0.0006,0.62
1797,0.114,0.0,0.056100000000000004,0.0006129999999999999,0.622
1798,0.114,0.0,0.0562,0.000626,0.623
1799,0.114,0.0,0.056299999999999996,0.000639,0.624
1800,0.114,0.0,0.0564,0.000652,0.625
1801,0.115,0.0,0.0565,0.000665,0.626
1802,0.115,0.0,0.056600000000000004,0.000678,0.627
1803,0.115,0.0,0.0567,0.0006919999999999999,0.628
1804,0.115,0.0,0.056799999999999996,0.000705,0.63
1805,0.115,0.0,0.0569,0.000718,0.631
1806,0.116,0.0,0.057,0.000731,0.632
1807,0.116,0.0,0.0571,0.000744,0.633
1808,0.116,0.0,0.0572,0.000757,0.634
1809,0.116,0.0,0.0573,0.0007700000000000001,0.635
1810,0.116,0.0,0.0574,0.0007830000000000001,0.636
1811,0.116,0.0,0.0575,0.000796,0.638
1812,0.117,0.0,0.0576,0.000809,0.639
1813,0.117,0.0,0.0577,0.0008219999999999999,0.64
1814,0.117,0.0,0.0578,0.0008349999999999999,0.641
