year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,2.62e-06,0.0,2.31e-05
1751,0.0,0.0,2.62e-06,7.73e-08,2.31e-05
1752,0.0,0.0,2.62e-06,1.55e-07,2.31e-05
1753,0.0,0.0,2.62e-06,2.32e-07,2.31e-05
1754,0.0,0.0,2.62e-06,3.09e-07,2.3199999999999998e-05
1755,0.0,0.0,2.62e-06,3.8699999999999996e-07,2.3199999999999998e-05
1756,0.0,0.0,2.62e-06,4.64e-07,2.3199999999999998e-05
1757,0.0,0.0,2.62e-06,5.41e-07,2.3199999999999998e-05
1758,0.0,0.0,2.63e-06,6.18e-07,2.3199999999999998e-05
1759,0.0,0.0,2.63e-06,6.96e-07,2.3199999999999998e-05
1760,0.0,0.0,2.63e-06,7.73e-07,2.3199999999999998e-05
1761,0.0,0.0,2.63e-06,8.499999999999999e-07,2.3199999999999998e-05
1762,0.0,0.0,2.63e-06,9.28e-07,2.3199999999999998e-05
1763,0.0,0.0,2.63e-06,1e-06,2.3199999999999998e-05
1764,0.0,0.0,2.63e-06,1.08e-06,2.3199999999999998e-05
1765,0.0,0.0,2.63e-06,1.16e-06,2.3199999999999998e-05
1766,0.0,0.0,2.63e-06,1.24e-06,2.3199999999999998e-05
1767,0.0,0.0,2.63e-06,1.31e-06,2.33e-05
1768,0.0,0.0,2.63e-06,1.39e-06,2.33e-05
1769,0.0,0.0,2.64e-06,1.47e-06,2.33e-05
1770,0.0,0.0,2.64e-06,1.55e-06,2.33e-05
1771,0.0,0.0,2.64e-06,1.62e-06,2.33e-05
1772,0.0,0.0,2.64e-06,1.6999999999999998e-06,2.33e-05
1773,0.0,0.0,2.64e-06,1.78e-06,2.33e-05
1774,0.0,0.0,2.64e-06,1.8600000000000002e-06,2.33e-05
1775,0.0,0.0,2.64e-06,1.93e-06,2.33e-05
1776,0.0,0.0,2.64e-06,2.0100000000000002e-06,2.33e-05
1777,0.0,0.0,2.64e-06,2.09e-06,2.33e-05
1778,0.0,0.0,2.64e-06,2.16e-06,2.33e-05
1779,0.0,0.0,2.64e-06,2.2399999999999997e-06,2.34e-05
1780,0.0,0.0,2.65e-06,2.32e-06,2.34e-05
1781,0.0,0.0,2.65e-06,2.4e-06,2.34e-05
1782,0.0,0.0,2.65e-06,2.47e-06,2.34e-05
1783,0.0,0.0,2.65e-06,2.55e-06,2.34e-05
1784,0.0,0.0,2.65e-06,2.63e-06,2.34e-05
1785,0.0,0.0,2.65e-06,2.7100000000000003e-06,2.34e-05
1786,0.0,0.0,2.65e-06,2.78e-06,2.34e-05
1787,0.0,0.0,2.65e-06,2.86e-06,2.34e-05
1788,0.0,0.0,2.65e-06,2.94e-06,2.34e-05
1789,0.0,0.0,2.65e-06,3.01e-06,2.34e-05
1790,0.0,0.0,2.65e-06,3.09e-06,2.34e-05
1791,0.0,0.0,2.65e-06,3.17e-06,2.34e-05
1792,0.0,0.0,2.66e-06,3.25e-06,2.35e-05
1793,0.0,0.0,2.66e-06,3.32e-06,2.35e-05
1794,0.0,0.0,2.66e-06,3.3999999999999996e-06,2.35e-05
1795,0.0,0.0,2.66e-06,3.48e-06,2.35e-05
1796,0.0,0.0,2.66e-06,3.56e-06,2.35e-05
1797,0.0,0.0,2.66e-06,3.63e-06,2.35e-05
1798,0.0,0.0,2.66e-06,3.71e-06,2.35e-05
1799,0.0,0.0,2.66e-06,3.79e-06,2.35e-05
1800,0.0,0.0,2.66e-06,3.87e-06,2.35e-05
1801,0.0,0.0,2.66e-06,3.9399999999999995e-06,2.35e-05
1802,0.0,0.0,2.66e-06,4.0200000000000005e-06,2.35e-05
