year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,1.2e-06,0.0,0.000506,1.18e-19,0.0223
1751,1.2099999999999998e-06,0.0,0.000507,3.46e-05,0.0223
1752,1.22e-06,0.0,0.000507,6.92e-05,0.0223
1753,1.2299999999999999e-06,0.0,0.000507,0.000104,0.0223
1754,1.25e-06,0.0,0.000508,0.00013800000000000002,0.0224
1755,1.26e-06,0.0,0.000508,0.00017299999999999998,0.0224
1756,1.2700000000000001e-06,0.0,0.000508,0.000208,0.0224
1757,1.28e-06,0.0,0.000509,0.000242,0.0224
1758,1.29e-06,0.0,0.000509,0.000277,0.0224
1759,1.2999999999999998e-06,0.0,0.000509,0.000311,0.0225
1760,1.31e-06,0.0,0.00051,0.00034599999999999995,0.0225
1761,1.32e-06,0.0,0.00051,0.000381,0.0225
1762,1.34e-06,0.0,0.0005110000000000001,0.000415,0.0225
1763,1.35e-06,0.0,0.0005110000000000001,0.00045,0.022600000000000002
1764,1.3600000000000001e-06,0.0,0.0005110000000000001,0.000484,0.022600000000000002
1765,1.37e-06,0.0,0.000512,0.000519,0.022600000000000002
1766,1.39e-06,0.0,0.000512,0.000554,0.022600000000000002
1767,1.4e-06,0.0,0.000512,0.000588,0.022699999999999998
1768,1.41e-06,0.0,0.000513,0.000623,0.022699999999999998
1769,1.42e-06,0.0,0.000513,0.000657,0.022699999999999998
1770,1.4400000000000002e-06,0.0,0.000514,0.0006919999999999999,0.022699999999999998
1771,1.4499999999999999e-06,0.0,0.000514,0.000727,0.022699999999999998
1772,1.46e-06,0.0,0.000514,0.000761,0.0228
1773,1.48e-06,0.0,0.000515,0.000796,0.0228
1774,1.49e-06,0.0,0.000515,0.0008309999999999999,0.0228
1775,1.5e-06,0.0,0.000516,0.000865,0.0228
1776,1.52e-06,0.0,0.000516,0.0009,0.0229
1777,1.53e-06,0.0,0.000516,0.000934,0.0229
1778,1.55e-06,0.0,0.000517,0.000969,0.0229
1779,1.5599999999999999e-06,0.0,0.000517,0.001,0.0229
1780,1.57e-06,0.0,0.000518,0.0010400000000000001,0.023
1781,1.59e-06,0.0,0.000518,0.00107,0.023
1782,1.6000000000000001e-06,0.0,0.000518,0.00111,0.023
1783,1.62e-06,0.0,0.000519,0.00114,0.023
1784,1.6299999999999999e-06,0.0,0.000519,0.0011799999999999998,0.023100000000000002
1785,1.65e-06,0.0,0.0005200000000000001,0.00121,0.023100000000000002
1786,1.66e-06,0.0,0.0005200000000000001,0.00125,0.023100000000000002
1787,1.68e-06,0.0,0.000521,0.00128,0.023100000000000002
1788,1.6900000000000001e-06,0.0,0.000521,0.00131,0.0232
1789,1.71e-06,0.0,0.000521,0.00135,0.0232
1790,1.73e-06,0.0,0.000522,0.00138,0.0232
1791,1.74e-06,0.0,0.000522,0.0014199999999999998,0.0232
1792,1.76e-06,0.0,0.000523,0.00145,0.0233
1793,1.78e-06,0.0,0.000523,0.00149,0.0233
1794,1.79e-06,0.0,0.000524,0.00152,0.0233
1795,1.81e-06,0.0,0.000524,0.00156,0.0233
1796,1.83e-06,0.0,0.0005250000000000001,0.00159,0.023399999999999997
1797,1.84e-06,0.0,0.0005250000000000001,0.00163,0.023399999999999997
1798,1.8600000000000002e-06,0.0,0.0005250000000000001,0.00166,0.023399999999999997
1799,1.88e-06,0.0,0.000526,0.0017,0.023399999999999997
1800,1.89e-06,0.0,0.000526,0.00173,0.0235
1801,1.91e-06,0.0,0.000527,0.00176,0.0235
1802,1.93e-06,0.0,0.000527,0.0018,0.0235
1803,1.95e-06,0.0,0.000528,0.00183,0.023600000000000003
1804,1.9699999999999998e-06,0.0,0.000528,0.0018700000000000001,0.023600000000000003
1805,1.99e-06,0.0,0.0005290000000000001,0.0019,0.023600000000000003
1806,2.0100000000000002e-06,0.0,0.0005290000000000001,0.0019399999999999999,0.023600000000000003
1807,2.02e-06,0.0,0.00053,0.00197,0.0237
1808,2.04e-06,0.0,0.00053,0.0020099999999999996,0.0237
1809,2.06e-06,0.0,0.000531,0.00204,0.0237
1810,2.08e-06,0.0,0.000531,0.0020800000000000003,0.0237
1811,2.12e-06,0.0,0.000533,0.00211,0.0238
1812,2.16e-06,0.0,0.0005340000000000001,0.00215,0.023899999999999998
1813,2.2e-06,0.0,0.000536,0.00218,0.024
1814,2.2399999999999997e-06,0.0,0.000537,0.00221,0.0241
1815,2.27e-06,0.0,0.000539,0.00225,0.0242
1816,2.31e-06,0.0,0.00054,0.00228,0.0242
1817,2.35e-06,0.0,0.0005420000000000001,0.00232,0.024300000000000002
1818,2.39e-06,0.0,0.0005430000000000001,0.00235,0.024399999999999998
1819,2.43e-06,0.0,0.000545,0.00239,0.0245
1820,2.47e-06,0.0,0.000546,0.00242,0.0246
1821,2.51e-06,0.0,0.0005480000000000001,0.00246,0.0246
1822,2.56e-06,0.0,0.0005510000000000001,0.00249,0.0247
1823,2.61e-06,0.0,0.000553,0.0025299999999999997,0.0248
1824,2.65e-06,0.0,0.0005560000000000001,0.00256,0.0249
1825,2.7e-06,0.0,0.000558,0.0026,0.0249
1826,2.74e-06,0.0,0.0005610000000000001,0.00263,0.025
1827,2.79e-06,0.0,0.0005629999999999999,0.00266,0.0251
1828,2.84e-06,0.0,0.000565,0.0027,0.0252
1829,2.8800000000000004e-06,0.0,0.0005679999999999999,0.00273,0.0252
1830,2.93e-06,0.0,0.00057,0.00277,0.0253
1831,2.98e-06,0.0,0.0005729999999999999,0.0028,0.0254
1832,3.04e-06,0.0,0.0005759999999999999,0.0028399999999999996,0.0255
1833,3.09e-06,0.0,0.000579,0.00287,0.0257
1834,3.15e-06,0.0,0.0005809999999999999,0.0029100000000000003,0.0258
1835,3.2000000000000003e-06,0.0,0.000584,0.00294,0.0259
1836,3.2599999999999997e-06,0.0,0.000587,0.00298,0.026
1837,3.31e-06,0.0,0.000589,0.0030099999999999997,0.0261
1838,3.3700000000000003e-06,0.0,0.000592,0.0030499999999999998,0.026199999999999998
1839,3.42e-06,0.0,0.0005949999999999999,0.0030800000000000003,0.0263
1840,3.48e-06,0.0,0.000598,0.00311,0.0265
1841,3.5500000000000003e-06,0.0,0.0006,0.00315,0.026600000000000002
1842,3.6099999999999997e-06,0.0,0.000603,0.00318,0.026699999999999998
1843,3.68e-06,0.0,0.000606,0.00322,0.0268
1844,3.7399999999999998e-06,0.0,0.000609,0.00325,0.0269
1845,3.81e-06,0.0,0.000612,0.00329,0.027100000000000003
1846,3.87e-06,0.0,0.000615,0.00332,0.0272
1847,3.9399999999999995e-06,0.0,0.000618,0.0033599999999999997,0.0273
1848,4.01e-06,0.0,0.00062,0.0033900000000000002,0.027399999999999997
1849,4.07e-06,0.0,0.000623,0.0034300000000000003,0.027600000000000003
1850,0.000406,0.0,0.000622,0.00346,0.031
1851,0.000415,0.0,0.000635,0.0035,0.0316
1852,0.000423,0.0,0.000648,0.0035299999999999997,0.0322
1853,0.000431,0.0,0.00066,0.0035600000000000002,0.032799999999999996
1854,0.000438,0.0,0.000671,0.0036,0.0334
1855,0.00044500000000000003,0.0,0.0006820000000000001,0.00363,0.0339
1856,0.000451,0.0,0.000691,0.00367,0.0344
1857,0.000456,0.0,0.000699,0.0037,0.0348
1858,0.00046100000000000004,0.0,0.000705,0.0037400000000000003,0.0351
1859,0.000464,0.0,0.0007099999999999999,0.00377,0.0353
1860,0.000465,0.0,0.000712,0.00381,0.0354
1861,0.00046600000000000005,0.0,0.000713,0.0038399999999999997,0.0355
1862,0.000467,0.0,0.000714,0.0038799999999999998,0.0355
1863,0.000467,0.0,0.0007149999999999999,0.00391,0.0356
1864,0.000467,0.0,0.0007149999999999999,0.00394,0.0356
1865,0.00046800000000000005,0.0,0.000716,0.00398,0.0356
1866,0.00046800000000000005,0.0,0.000716,0.00401,0.0356
1867,0.00046800000000000005,0.0,0.000717,0.00405,0.0357
1868,0.00046899999999999996,0.0,0.000717,0.00408,0.0357
1869,0.00046899999999999996,0.0,0.000718,0.00412,0.0358
1870,0.00047,0.0,0.0007199999999999999,0.00415,0.0358
1871,0.00047799999999999996,0.0,0.000732,0.00419,0.0364
1872,0.000498,0.0,0.000762,0.00422,0.037899999999999996
1873,0.000527,0.0,0.0008070000000000001,0.00426,0.0402
1874,0.0005629999999999999,0.0,0.000861,0.00429,0.0429
1875,0.000602,0.0,0.000921,0.00433,0.045899999999999996
1876,0.000642,0.0,0.000983,0.00436,0.0489
1877,0.00068,0.0,0.0010400000000000001,0.00439,0.0518
1878,0.000714,0.0,0.00109,0.00443,0.0544
1879,0.00074,0.0,0.00113,0.0044599999999999996,0.0564
1880,0.000756,0.0,0.00116,0.0045,0.0576
1881,0.0007650000000000001,0.0,0.00117,0.00453,0.0583
1882,0.000772,0.0,0.0011799999999999998,0.00457,0.0588
1883,0.0007790000000000001,0.0,0.0011899999999999999,0.0046,0.0593
1884,0.0007840000000000001,0.0,0.0012,0.00464,0.0597
1885,0.000789,0.0,0.00121,0.00467,0.0601
1886,0.000794,0.0,0.00121,0.00471,0.0605
1887,0.000798,0.0,0.00122,0.00474,0.0608
1888,0.000803,0.0,0.00123,0.00478,0.061200000000000004
1889,0.000809,0.0,0.00124,0.00481,0.0616
1890,0.0009130000000000001,0.0,0.00125,0.00484,0.06459999999999999
1891,0.0009429999999999999,0.0,0.00126,0.00488,0.065
1892,0.000975,0.0,0.00127,0.00491,0.0654
1893,0.00101,0.0,0.00128,0.00495,0.0659
1894,0.0010500000000000002,0.0,0.0012900000000000001,0.00498,0.0664
1895,0.00109,0.0,0.0013,0.005019999999999999,0.0669
1896,0.00113,0.0,0.00132,0.00505,0.0674
1897,0.00117,0.0,0.00133,0.00509,0.0679
1898,0.00122,0.0,0.00134,0.00512,0.0685
1899,0.00126,0.0,0.00136,0.0051600000000000005,0.069
1900,0.00131,0.0,0.00138,0.00519,0.0696
1901,0.00136,0.0,0.0014,0.00523,0.0702
1902,0.0014199999999999998,0.0,0.0014199999999999998,0.00526,0.0708
1903,0.00149,0.0,0.0014399999999999999,0.00529,0.0714
1904,0.00156,0.0,0.00147,0.00533,0.072
1905,0.00163,0.0,0.0015,0.00536,0.0727
1906,0.0017,0.0,0.0015300000000000001,0.0054,0.0734
1907,0.00177,0.0,0.00156,0.00543,0.0742
1908,0.00183,0.0,0.0016,0.00547,0.075
1909,0.00189,0.0,0.00163,0.0055,0.07590000000000001
1910,0.0019299999999999999,0.0,0.00165,0.00554,0.07690000000000001
