year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,2.49e-05
1851,4.97e-05
1852,7.46e-05
1853,9.95e-05
1854,0.000124
1855,0.000149
1856,0.000174
1857,0.000199
1858,0.000224
1859,0.000249
1860,0.00027400000000000005
1861,0.000298
1862,0.000323
1863,0.000348
1864,0.000373
1865,0.000398
1866,0.000423
1867,0.000448
1868,0.00047299999999999995
1869,0.000497
1870,0.000522
1871,0.0005470000000000001
1872,0.0005719999999999999
1873,0.000597
1874,0.000622
1875,0.000647
1876,0.0006720000000000001
1877,0.000696
1878,0.000721
1879,0.000746
1880,0.000771
1881,0.000796
1882,0.0008209999999999999
1883,0.000846
1884,0.000871
1885,0.0008950000000000001
1886,0.00092
1887,0.000945
1888,0.0009699999999999999
1889,0.000995
1890,0.00102
1891,0.0010400000000000001
1892,0.00107
1893,0.00109
1894,0.0011200000000000001
1895,0.00114
1896,0.00117
1897,0.0011899999999999999
1898,0.00122
1899,0.00124
1900,0.00127
1901,0.0012900000000000001
1902,0.00132
1903,0.00134
1904,0.0013700000000000001
1905,0.00139
1906,0.0014199999999999998
1907,0.0014399999999999999
1908,0.00147
1909,0.00149
1910,0.00152
1911,0.0015400000000000001
1912,0.00157
1913,0.00159
1914,0.0016200000000000001
1915,0.00164
1916,0.0016699999999999998
1917,0.0016899999999999999
1918,0.00172
1919,0.00174
1920,0.00177
1921,0.0017900000000000001
1922,0.00182
1923,0.00184
1924,0.0018700000000000001
1925,0.00189
1926,0.0019199999999999998
1927,0.0019399999999999999
1928,0.00197
1929,0.00199
1930,0.0020099999999999996
1931,0.00204
1932,0.00206
1933,0.00209
1934,0.00211
1935,0.00214
1936,0.00216
1937,0.00219
1938,0.00221
1939,0.0022400000000000002
1940,0.00226
1941,0.00229
1942,0.00231
1943,0.00234
1944,0.0023599999999999997
1945,0.00239
1946,0.0024100000000000002
1947,0.00244
1948,0.00246
1949,0.00249
1950,0.0025099999999999996
1951,0.00254
1952,0.00256
1953,0.00259
1954,0.00261
1955,0.00264
1956,0.00266
1957,0.00269
1958,0.00271
1959,0.0027400000000000002
1960,0.00276
1961,0.00279
1962,0.00281
1963,0.0028399999999999996
1964,0.0028599999999999997
1965,0.00289
1966,0.0029100000000000003
1967,0.00294
1968,0.00296
1969,0.00298
1970,0.0030099999999999997
1971,0.0030299999999999997
1972,0.0030600000000000002
1973,0.0030800000000000003
1974,0.00311
1975,0.00313
1976,0.00316
1977,0.00318
1978,0.00321
1979,0.00323
1980,0.00326
1981,0.00328
1982,0.00331
1983,0.00333
1984,0.0033599999999999997
1985,0.0033799999999999998
1986,0.0034100000000000003
1987,0.0034300000000000003
1988,0.00346
1989,0.00348
1990,0.0035099999999999997
1991,0.0035299999999999997
1992,0.0035600000000000002
1993,0.0035800000000000003
1994,0.00361
1995,0.00363
1996,0.00366
1997,0.00368
1998,0.0037099999999999998
1999,0.00373
2000,0.00376
2001,0.00378
2002,0.00381
2003,0.00383
2004,0.0038599999999999997
2005,0.0038799999999999998
2006,0.00391
2007,0.00393
2008,0.00395
2009,0.00398
2010,0.004
2011,0.004030000000000001
2012,0.00512
2013,0.00577
2014,0.00652
2015,0.00877
2016,0.0106
2017,0.0127
2018,0.0143
2019,0.0161
2020,0.0179
2021,0.0197
2022,0.0215
2023,0.0233
