year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,3.3700000000000003e-06,-0.0,8.18e-05
1751,0.0,0.0,3.3899999999999997e-06,-0.0,8.21e-05
1752,0.0,0.0,3.3999999999999996e-06,-0.0,8.25e-05
1753,0.0,0.0,3.41e-06,-0.0,8.28e-05
1754,0.0,0.0,3.4299999999999998e-06,-0.0,8.309999999999999e-05
1755,0.0,0.0,3.44e-06,-0.0,8.350000000000001e-05
1756,0.0,0.0,3.46e-06,-0.0,8.38e-05
1757,0.0,0.0,3.47e-06,-0.0,8.41e-05
1758,0.0,0.0,3.48e-06,-0.0,8.450000000000001e-05
1759,0.0,0.0,3.5e-06,-0.0,8.48e-05
1760,0.0,0.0,3.5100000000000003e-06,-0.0,8.51e-05
1761,0.0,0.0,3.52e-06,-0.0,8.55e-05
1762,0.0,0.0,3.54e-06,-0.0,8.58e-05
1763,0.0,0.0,3.5500000000000003e-06,-0.0,8.62e-05
1764,0.0,0.0,3.5699999999999997e-06,-0.0,8.649999999999999e-05
1765,0.0,0.0,3.58e-06,-0.0,8.690000000000001e-05
1766,0.0,0.0,3.6e-06,-0.0,8.72e-05
1767,0.0,0.0,3.6099999999999997e-06,-0.0,8.76e-05
1768,0.0,0.0,3.63e-06,-0.0,8.790000000000001e-05
1769,0.0,0.0,3.64e-06,-0.0,8.83e-05
1770,0.0,0.0,3.65e-06,-0.0,8.86e-05
1771,0.0,0.0,3.67e-06,-0.0,8.9e-05
1772,0.0,0.0,3.68e-06,-0.0,8.93e-05
1773,0.0,0.0,3.7e-06,-0.0,8.97e-05
1774,0.0,0.0,3.71e-06,-0.0,9.01e-05
1775,0.0,0.0,3.73e-06,-0.0,9.039999999999999e-05
1776,0.0,0.0,3.7399999999999998e-06,-0.0,9.080000000000001e-05
1777,0.0,0.0,3.76e-06,-0.0,9.11e-05
1778,0.0,0.0,3.77e-06,-0.0,9.15e-05
1779,0.0,0.0,3.79e-06,-0.0,9.19e-05
