year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.227,0.0,0.054299999999999994,0.0,0.756
1751,0.228,0.0,0.0545,0.0,0.76
1752,0.229,0.0,0.054700000000000006,0.0,0.763
1753,0.23,0.0,0.0549,0.0,0.766
1754,0.23,0.0,0.055200000000000006,0.0,0.769
1755,0.231,0.0,0.0554,0.0,0.772
1756,0.232,0.0,0.055600000000000004,0.0,0.775
1757,0.232,0.0,0.055799999999999995,0.0,0.778
1758,0.233,0.0,0.056100000000000004,0.0,0.781
1759,0.234,0.0,0.056299999999999996,0.0,0.784
1760,0.235,0.0,0.0565,0.0,0.787
1761,0.235,0.0,0.0567,0.0,0.791
1762,0.236,0.0,0.057,0.0,0.794
1763,0.237,0.0,0.0572,0.0,0.797
1764,0.238,0.0,0.0574,0.0,0.8
1765,0.238,0.0,0.0576,0.0,0.803
1766,0.239,0.0,0.0579,0.0,0.807
1767,0.24,0.0,0.0581,0.0,0.81
1768,0.24,0.0,0.0583,0.0,0.813
1769,0.241,0.0,0.0586,0.0,0.816
1770,0.242,0.0,0.0588,0.0,0.82
1771,0.243,0.0,0.059,0.0,0.823
1772,0.243,0.0,0.0593,0.0,0.826
1773,0.244,0.0,0.0595,0.0,0.83
1774,0.245,0.0,0.0598,0.0,0.833
1775,0.245,0.0,0.06,0.0,0.836
1776,0.246,0.0,0.060200000000000004,0.0,0.84
1777,0.247,0.0,0.0605,0.0,0.843
1778,0.248,0.0,0.060700000000000004,0.0,0.846
1779,0.248,0.0,0.061,0.0,0.85
1780,0.249,0.0,0.061200000000000004,0.0,0.853
1781,0.25,0.0,0.061399999999999996,0.0,0.856
1782,0.25,0.0,0.061700000000000005,0.0,0.86
1783,0.251,0.0,0.0619,0.0,0.863
1784,0.252,0.0,0.062200000000000005,0.0,0.867
1785,0.253,0.0,0.0624,0.0,0.87
1786,0.253,0.0,0.0627,0.0,0.874
1787,0.254,0.0,0.0629,0.0,0.877
1788,0.255,0.0,0.0632,0.0,0.881
1789,0.255,0.0,0.0634,0.0,0.884
1790,0.256,0.0,0.0637,0.0,0.888
1791,0.257,0.0,0.064,0.0,0.891
1792,0.258,0.0,0.06420000000000001,0.0,0.895
1793,0.258,0.0,0.0645,0.0,0.899
1794,0.259,0.0,0.06470000000000001,0.0,0.902
1795,0.26,0.0,0.065,0.0,0.906
1796,0.26,0.0,0.0653,0.0,0.91
1797,0.261,0.0,0.0655,0.0,0.913
1798,0.262,0.0,0.0658,0.0,0.917
1799,0.262,0.0,0.066,0.0,0.92
1800,0.263,0.0,0.0663,0.0,0.924
1801,0.264,0.0,0.06659999999999999,0.0,0.928
1802,0.265,0.0,0.0668,0.0,0.932
1803,0.265,0.0,0.06709999999999999,0.0,0.935
