year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.000755,0.0,2.2800000000000002e-05,0.0,0.0
1751,0.000755,0.0,2.29e-05,0.0,0.0
1752,0.000756,0.0,2.3e-05,0.0,0.0
1753,0.000756,0.0,2.3e-05,0.0,0.0
1754,0.000757,0.0,2.31e-05,0.0,0.0
1755,0.000757,0.0,2.3199999999999998e-05,0.0,0.0
1756,0.000772,0.0,2.33e-05,0.0,0.0
1757,0.000772,0.0,2.34e-05,0.0,0.0
1758,0.000773,0.0,2.35e-05,0.0,0.0
1759,0.000773,0.0,2.36e-05,0.0,0.0
1760,0.0007740000000000001,0.0,2.36e-05,0.0,0.0
1761,0.000795,0.0,2.37e-05,0.0,0.0
1762,0.000795,0.0,2.3800000000000003e-05,0.0,0.0
1763,0.000796,0.0,2.39e-05,0.0,0.0
1764,0.000796,0.0,2.4e-05,0.0,0.0
1765,0.0007970000000000001,0.0,2.41e-05,0.0,0.0
1766,0.000825,0.0,2.42e-05,0.0,0.0
1767,0.000825,0.0,2.42e-05,0.0,0.0
1768,0.000825,0.0,2.4299999999999998e-05,0.0,0.0
1769,0.0008259999999999999,0.0,2.44e-05,0.0,0.0
1770,0.0008259999999999999,0.0,2.4500000000000003e-05,0.0,0.0
1771,0.000856,0.0,2.46e-05,0.0,0.0
1772,0.000857,0.0,2.47e-05,0.0,0.0
1773,0.000858,0.0,2.48e-05,0.0,0.0
1774,0.000859,0.0,2.49e-05,0.0,0.0
1775,0.000859,0.0,2.5e-05,0.0,0.0
1776,0.000891,0.0,2.5e-05,0.0,0.0
1777,0.000891,0.0,2.51e-05,0.0,0.0
1778,0.000892,0.0,2.52e-05,0.0,0.0
1779,0.000893,0.0,2.53e-05,0.0,0.0
1780,0.000894,0.0,2.5399999999999997e-05,0.0,0.0
1781,0.000934,0.0,2.55e-05,0.0,0.0
1782,0.0009350000000000001,0.0,2.5600000000000002e-05,0.0,0.0
1783,0.0009360000000000001,0.0,2.57e-05,0.0,0.0
1784,0.000937,0.0,2.58e-05,0.0,0.0
1785,0.000939,0.0,2.59e-05,0.0,0.0
1786,0.000989,0.0,2.6e-05,0.0,0.0
1787,0.00099,0.0,2.61e-05,0.0,0.0
1788,0.000991,0.0,2.61e-05,0.0,0.0
1789,0.000992,0.0,2.62e-05,0.0,0.0
1790,0.000993,0.0,2.63e-05,0.0,0.0
1791,0.0010400000000000001,0.0,2.64e-05,0.0,0.0
1792,0.0010500000000000002,0.0,2.65e-05,0.0,0.0
1793,0.0010500000000000002,0.0,2.66e-05,0.0,0.0
1794,0.0010500000000000002,0.0,2.6700000000000002e-05,0.0,0.0
1795,0.0010500000000000002,0.0,2.68e-05,0.0,0.0
1796,0.00108,0.0,2.69e-05,0.0,0.0
1797,0.0011,0.0,2.7e-05,0.0,0.0
1798,0.0011200000000000001,0.0,2.7099999999999998e-05,0.0,0.0
1799,0.00115,0.0,2.7199999999999997e-05,0.0,0.0
1800,0.00117,0.0,2.7300000000000003e-05,0.0,0.0
1801,0.00117,0.0,2.7400000000000002e-05,0.0,0.0
1802,0.0012,0.0,2.75e-05,0.0,0.0
1803,0.0011899999999999999,0.0,2.76e-05,0.0,0.0
1804,0.0011799999999999998,0.0,2.77e-05,0.0,0.0
1805,0.0011799999999999998,0.0,2.7799999999999998e-05,0.0,0.0
1806,0.0011799999999999998,0.0,2.79e-05,0.0,0.0
1807,0.0011799999999999998,0.0,2.8e-05,0.0,0.0
1808,0.0011799999999999998,0.0,2.81e-05,0.0,0.0
1809,0.0011799999999999998,0.0,2.82e-05,0.0,0.0
1810,0.00117,0.0,2.83e-05,0.0,0.0
1811,0.00116,0.0,2.8400000000000003e-05,0.0,0.0
1812,0.00121,0.0,2.86e-05,0.0,0.0
1813,0.00117,0.0,2.88e-05,0.0,0.0
1814,0.0011799999999999998,0.0,2.9e-05,0.0,0.0
1815,0.00126,0.0,2.92e-05,0.0,0.0
1816,0.0013,0.0,2.93e-05,0.0,0.0
1817,0.00135,0.0,2.95e-05,0.0,0.0
1818,0.00128,0.0,2.97e-05,0.0,0.0
1819,0.00133,0.0,2.99e-05,0.0,0.0
1820,0.0014299999999999998,0.0,3.01e-05,0.0,0.0
1821,0.00146,0.0,3.03e-05,0.0,0.0
1822,0.00151,0.0,3.06e-05,0.0,0.0
1823,0.00151,0.0,3.08e-05,0.0,0.0
1824,0.00161,0.0,3.11e-05,0.0,0.0
1825,0.00173,0.0,3.13e-05,0.0,0.0
1826,0.00177,0.0,3.16e-05,0.0,0.0
1827,0.00226,0.0,3.18e-05,0.0,0.0
1828,0.00235,0.0,3.2099999999999994e-05,0.0,0.0
1829,0.00231,0.0,3.23e-05,0.0,0.0
1830,0.0024500000000000004,0.0,3.26e-05,0.0,0.0
1831,0.00232,0.0,3.29e-05,0.0,0.0
1832,0.00249,0.0,3.31e-05,0.0,0.0
1833,0.00265,0.0,3.34e-05,0.0,0.0
1834,0.0031,0.0,3.37e-05,0.0,0.0
1835,0.00319,0.0,3.4e-05,0.0,0.0
1836,0.00357,0.0,3.43e-05,0.0,0.0
1837,0.00376,0.0,3.4500000000000005e-05,0.0,0.0
1838,0.0039,0.0,3.48e-05,0.0,0.0
1839,0.00383,0.0,3.51e-05,0.0,0.0
1840,0.0039,0.0,3.54e-05,0.0,0.0
1841,0.00444,0.0,3.56e-05,0.0,0.0
1842,0.00462,0.0,3.5799999999999996e-05,0.0,0.0
1843,0.00463,0.0,3.61e-05,0.0,0.0
1844,0.0048200000000000005,0.0,3.63e-05,0.0,0.0
1845,0.00551,0.0,3.65e-05,0.0,0.0
1846,0.005690000000000001,0.0,3.6700000000000004e-05,0.0,0.0
1847,0.00631,0.0,3.7e-05,0.0,0.0
1848,0.00521,0.0,3.7199999999999996e-05,0.0,0.0
1849,0.0054,0.0,3.74e-05,0.0,0.0
1850,0.0059900000000000005,0.0,3.7e-05,0.0,0.0
1851,0.00609,0.0,3.7699999999999995e-05,0.0,0.0
1852,0.00649,0.0,3.84e-05,0.0,0.0
1853,0.00747,0.0,3.9e-05,0.0,0.0
1854,0.00848,0.0,3.96e-05,0.0,0.0
1855,0.00948,9.48e-10,4.02e-05,0.0,0.0
1856,0.009890000000000001,1.04e-09,4.07e-05,0.0,0.0
1857,0.0101,1.26e-09,4.12e-05,0.0,0.0
1858,0.009869999999999999,1.42e-09,4.15e-05,0.0,0.0
1859,0.009980000000000001,1.2899999999999999e-09,4.18e-05,0.0,0.0
1860,0.0108,1.23e-09,4.19e-05,0.0,0.0
1861,0.0116,1.2899999999999999e-09,4.2000000000000004e-05,0.0,0.0
1862,0.012199999999999999,2.2800000000000004e-09,4.21e-05,0.0,0.0
1863,0.0124,2.9900000000000002e-09,4.22e-05,0.0,0.0
1864,0.013099999999999999,3.2600000000000003e-09,4.22e-05,0.0,0.0
1865,0.013699999999999999,4.78e-09,4.23e-05,0.0,0.0
1866,0.0148,8.77e-09,4.24e-05,0.0,0.0
1867,0.015,1.24e-08,4.24e-05,0.0,0.0
1868,0.015300000000000001,1.5800000000000003e-08,4.25e-05,0.0,0.0
1869,0.0157,1.8899999999999997e-08,4.26e-05,0.0,0.0
