year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00041099999999999996
1851,0.00041099999999999996
1852,0.00041099999999999996
1853,0.00041099999999999996
1854,0.00041099999999999996
1855,0.00041099999999999996
1856,0.00041099999999999996
1857,0.00041099999999999996
1858,0.00041099999999999996
1859,0.00041099999999999996
1860,0.00041099999999999996
1861,0.00041099999999999996
1862,0.00041099999999999996
1863,0.00041099999999999996
1864,0.00041099999999999996
1865,0.00041099999999999996
1866,0.00041099999999999996
1867,0.00041099999999999996
1868,0.00041099999999999996
1869,0.00041099999999999996
1870,0.00041099999999999996
1871,0.00041099999999999996
1872,0.00041099999999999996
1873,0.00041099999999999996
1874,0.00041099999999999996
1875,0.00041099999999999996
1876,0.00041099999999999996
1877,0.00041099999999999996
1878,0.00041099999999999996
1879,0.00041099999999999996
1880,0.00041099999999999996
1881,0.00041099999999999996
1882,0.00041099999999999996
1883,0.00041099999999999996
1884,0.00041099999999999996
1885,0.00041099999999999996
1886,0.00041099999999999996
1887,0.00041099999999999996
1888,0.000412
1889,0.000412
1890,0.000412
1891,0.000481
1892,0.000675
1893,0.000968
1894,0.00134
1895,0.00176
1896,0.0022
1897,0.00265
1898,0.0030800000000000003
1899,0.00346
1900,0.00377
1901,0.004030000000000001
1902,0.00426
1903,0.0044800000000000005
1904,0.00468
1905,0.00488
1906,0.00509
1907,0.00529
1908,0.00552
1909,0.0057599999999999995
1910,0.006030000000000001
1911,0.00632
1912,0.00663
1913,0.00696
1914,0.0073
1915,0.00767
1916,0.008060000000000001
1917,0.00846
1918,0.00889
1919,0.00933
1920,0.009789999999999998
1921,0.0146
1922,0.0268
1923,0.0448
1924,0.0669
1925,0.0912
1926,0.116
1927,0.14
1928,0.161
1929,0.177
1930,0.187
1931,0.19
1932,0.189
1933,0.185
1934,0.179
1935,0.172
1936,0.165
1937,0.159
1938,0.154
1939,0.153
1940,0.156
1941,0.162
1942,0.169
1943,0.177
1944,0.186
1945,0.195
1946,0.205
1947,0.216
1948,0.228
1949,0.24
1950,0.253
1951,0.266
1952,0.281
1953,0.298
1954,0.316
1955,0.335
1956,0.355
1957,0.376
1958,0.397
1959,0.42
1960,0.444
1961,0.47
1962,0.5
1963,0.533
1964,0.57
1965,0.607
1966,0.646
1967,0.685
1968,0.724
1969,0.761
1970,0.796
1971,0.833
1972,0.876
1973,0.923
1974,0.974
1975,1.03
1976,1.08
1977,1.13
1978,1.18
1979,1.23
1980,1.28
1981,1.31
1982,1.35
1983,1.38
1984,1.42
1985,1.45
1986,1.48
1987,1.52
1988,1.55
1989,1.59
1990,1.43
1991,1.44
1992,1.03
1993,1.27
1994,0.875
1995,0.898
1996,2.46
1997,2.55
1998,2.13
1999,2.8
2000,2.92
2001,2.48
2002,3.25
2003,3.46
2004,3.58
2005,5.23
2006,7.11
2007,8.98
2008,10.3
2009,10.8
2010,11.9
2011,12.4
2012,11.9
2013,12.8
2014,14.5
2015,13.8
2016,15.2
2017,17.1
2018,18.6
2019,20.2
2020,21.5
2021,22.9
2022,24.4
2023,25.9
