year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.00246
1922,0.009130000000000001
1923,0.019
1924,0.030899999999999997
1925,0.0439
1926,0.0569
1927,0.0689
1928,0.0787
1929,0.0854
1930,0.0878
1931,0.0858
1932,0.0804
1933,0.0725
1934,0.0628
1935,0.0523
1936,0.0418
1937,0.0322
1938,0.0242
1939,0.0188
1940,0.0169
1941,0.0172
1942,0.0182
1943,0.0197
1944,0.0216
1945,0.024
1946,0.026699999999999998
1947,0.0296
1948,0.032600000000000004
1949,0.0357
1950,0.038799999999999994
1951,0.0421
1952,0.045700000000000005
1953,0.0498
1954,0.054200000000000005
1955,0.0591
1956,0.0643
1957,0.07
1958,0.076
1959,0.0825
1960,0.08929999999999999
1961,0.09709999999999999
1962,0.106
1963,0.117
1964,0.129
1965,0.142
1966,0.157
1967,0.172
1968,0.188
1969,0.206
1970,0.224
1971,0.245
1972,0.27
1973,0.3
1974,0.332
1975,0.366
1976,0.402
1977,0.437
1978,0.472
1979,0.505
1980,0.536
1981,0.565
1982,0.593
1983,0.62
1984,0.648
1985,0.675
1986,0.704
1987,0.734
1988,0.766
1989,0.8
1990,0.761
1991,0.883
1992,0.566
1993,0.87
1994,0.695
1995,0.648
1996,1.63
1997,1.67
1998,1.31
1999,1.81
2000,1.9
2001,1.75
2002,2.48
2003,2.75
2004,3.02
2005,4.42
2006,6.03
2007,7.7
2008,8.95
2009,9.51
2010,10.6
2011,11.0
2012,10.7
2013,11.5
2014,13.0
2015,12.6
2016,14.3
2017,16.3
2018,18.0
2019,19.8
2020,21.1
2021,22.4
2022,24.0
