year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.333,0.0,0.79,9.8e-17,4.49
1751,0.334,0.0,0.793,0.00277,4.5
1752,0.335,0.0,0.795,0.00554,4.52
1753,0.335,0.0,0.798,0.008320000000000001,4.53
1754,0.336,0.0,0.8,0.0111,4.54
1755,0.337,0.0,0.803,0.013900000000000001,4.56
1756,0.338,0.0,0.806,0.0166,4.57
1757,0.339,0.0,0.808,0.019399999999999997,4.59
1758,0.34,0.0,0.811,0.0222,4.6
1759,0.34,0.0,0.813,0.025,4.62
1760,0.341,0.0,0.816,0.0277,4.63
1761,0.342,0.0,0.818,0.0305,4.65
1762,0.343,0.0,0.821,0.033299999999999996,4.66
1763,0.344,0.0,0.824,0.036,4.68
1764,0.345,0.0,0.826,0.038799999999999994,4.69
1765,0.345,0.0,0.829,0.0416,4.71
1766,0.346,0.0,0.831,0.0444,4.72
1767,0.347,0.0,0.834,0.0471,4.74
1768,0.348,0.0,0.837,0.0499,4.75
1769,0.349,0.0,0.839,0.052700000000000004,4.77
1770,0.35,0.0,0.842,0.0554,4.78
1771,0.35,0.0,0.845,0.0582,4.8
1772,0.351,0.0,0.847,0.061,4.81
1773,0.352,0.0,0.85,0.0638,4.83
1774,0.353,0.0,0.853,0.0665,4.84
1775,0.354,0.0,0.856,0.0693,4.86
1776,0.355,0.0,0.858,0.0721,4.87
1777,0.355,0.0,0.861,0.07490000000000001,4.89
1778,0.356,0.0,0.864,0.07759999999999999,4.9
1779,0.357,0.0,0.866,0.0804,4.92
1780,0.358,0.0,0.869,0.0832,4.93
1781,0.359,0.0,0.872,0.0859,4.95
1782,0.36,0.0,0.875,0.0887,4.97
1783,0.36,0.0,0.878,0.0915,4.98
1784,0.361,0.0,0.88,0.0943,5.0
1785,0.362,0.0,0.883,0.097,5.01
1786,0.363,0.0,0.886,0.0998,5.03
1787,0.364,0.0,0.889,0.103,5.05
1788,0.364,0.0,0.892,0.105,5.06
1789,0.365,0.0,0.894,0.108,5.08
1790,0.366,0.0,0.897,0.111,5.09
1791,0.367,0.0,0.9,0.114,5.11
1792,0.368,0.0,0.903,0.116,5.13
1793,0.368,0.0,0.906,0.119,5.14
1794,0.369,0.0,0.909,0.122,5.16
1795,0.37,0.0,0.912,0.125,5.18
1796,0.371,0.0,0.915,0.128,5.19
1797,0.372,0.0,0.917,0.13,5.21
1798,0.372,0.0,0.92,0.133,5.23
1799,0.373,0.0,0.923,0.136,5.24
1800,0.374,0.0,0.926,0.139,5.26
1801,0.375,0.0,0.929,0.141,5.28
1802,0.376,0.0,0.932,0.144,5.29
1803,0.376,0.0,0.935,0.147,5.31
1804,0.377,0.0,0.938,0.15,5.33
1805,0.378,0.0,0.941,0.152,5.34
1806,0.379,0.0,0.944,0.155,5.36
1807,0.379,0.0,0.947,0.158,5.38
1808,0.38,0.0,0.95,0.161,5.39
1809,0.381,0.0,0.953,0.164,5.41
1810,0.382,0.0,0.956,0.166,5.43
1811,0.382,0.0,0.959,0.169,5.45
1812,0.383,0.0,0.962,0.172,5.46
1813,0.384,0.0,0.965,0.175,5.48
1814,0.385,0.0,0.968,0.177,5.5
1815,0.385,0.0,0.971,0.18,5.52
1816,0.386,0.0,0.975,0.183,5.53
1817,0.387,0.0,0.978,0.186,5.55
1818,0.388,0.0,0.981,0.189,5.57
1819,0.388,0.0,0.984,0.191,5.59
1820,0.389,0.0,0.987,0.194,5.6
1821,0.39,0.0,0.992,0.197,5.63
1822,0.392,0.0,0.997,0.2,5.66
1823,0.393,0.0,1.0,0.202,5.69
1824,0.395,0.0,1.01,0.205,5.71
1825,0.396,0.0,1.01,0.208,5.74
1826,0.397,0.0,1.02,0.211,5.77
1827,0.399,0.0,1.02,0.213,5.8
1828,0.4,0.0,1.03,0.216,5.83
1829,0.401,0.0,1.03,0.219,5.85
1830,0.403,0.0,1.04,0.222,5.88
1831,0.404,0.0,1.04,0.225,5.91
1832,0.406,0.0,1.05,0.227,5.94
1833,0.407,0.0,1.05,0.23,5.97
1834,0.409,0.0,1.06,0.233,6.01
1835,0.41,0.0,1.06,0.236,6.04
1836,0.412,0.0,1.07,0.238,6.07
1837,0.413,0.0,1.07,0.241,6.1
1838,0.414,0.0,1.08,0.244,6.13
1839,0.416,0.0,1.09,0.247,6.16
1840,0.417,0.0,1.09,0.25,6.19
1841,0.419,0.0,1.1,0.252,6.22
1842,0.42,0.0,1.1,0.255,6.26
1843,0.422,0.0,1.11,0.258,6.29
1844,0.423,0.0,1.11,0.261,6.32
1845,0.425,0.0,1.12,0.263,6.35
1846,0.426,0.0,1.12,0.266,6.39
1847,0.428,0.0,1.13,0.269,6.42
1848,0.429,0.0,1.14,0.272,6.45
1849,0.43,0.0,1.14,0.274,6.48
1850,0.45,0.00037,1.15,0.277,6.51
1851,0.454,0.00037,1.16,0.28,6.59
1852,0.457,0.00037,1.17,0.283,6.66
1853,0.461,0.00037,1.19,0.286,6.73
1854,0.465,0.00037,1.2,0.288,6.8
1855,0.465,0.00037,1.21,0.291,6.87
