year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,0.0,-0.0,1.94e-06
1751,0.0,0.0,0.0,-0.0,1.94e-06
1752,0.0,0.0,0.0,-0.0,1.95e-06
1753,0.0,0.0,0.0,-0.0,1.96e-06
1754,0.0,0.0,0.0,-0.0,1.9699999999999998e-06
1755,0.0,0.0,0.0,-0.0,1.98e-06
1756,0.0,0.0,0.0,-0.0,1.98e-06
1757,0.0,0.0,0.0,-0.0,1.99e-06
1758,0.0,0.0,0.0,-0.0,2e-06
1759,0.0,0.0,0.0,-0.0,2.0100000000000002e-06
1760,0.0,0.0,0.0,-0.0,2.02e-06
1761,0.0,0.0,0.0,-0.0,2.02e-06
1762,0.0,0.0,0.0,-0.0,2.03e-06
1763,0.0,0.0,0.0,-0.0,2.04e-06
1764,0.0,0.0,0.0,-0.0,2.0500000000000003e-06
1765,0.0,0.0,0.0,-0.0,2.06e-06
1766,0.0,0.0,0.0,-0.0,2.06e-06
1767,0.0,0.0,0.0,-0.0,2.0699999999999997e-06
1768,0.0,0.0,0.0,-0.0,2.08e-06
1769,0.0,0.0,0.0,-0.0,2.09e-06
1770,0.0,0.0,0.0,-0.0,2.1e-06
1771,0.0,0.0,0.0,-0.0,2.1099999999999997e-06
1772,0.0,0.0,0.0,-0.0,2.1099999999999997e-06
1773,0.0,0.0,0.0,-0.0,2.12e-06
1774,0.0,0.0,0.0,-0.0,2.13e-06
1775,0.0,0.0,0.0,-0.0,2.14e-06
1776,0.0,0.0,0.0,-0.0,2.15e-06
1777,0.0,0.0,0.0,-0.0,2.16e-06
1778,0.0,0.0,0.0,-0.0,2.17e-06
1779,0.0,0.0,0.0,-0.0,2.17e-06
1780,0.0,0.0,0.0,-0.0,2.18e-06
1781,0.0,0.0,0.0,-0.0,2.19e-06
1782,0.0,0.0,0.0,-0.0,2.2e-06
1783,0.0,0.0,0.0,-0.0,2.21e-06
1784,0.0,0.0,0.0,-0.0,2.2200000000000003e-06
1785,0.0,0.0,0.0,-0.0,2.2300000000000002e-06
1786,0.0,0.0,0.0,-0.0,2.2399999999999997e-06
1787,0.0,0.0,0.0,-0.0,2.2499999999999996e-06
1788,0.0,0.0,0.0,-0.0,2.2499999999999996e-06
1789,0.0,0.0,0.0,-0.0,2.26e-06
1790,0.0,0.0,0.0,-0.0,2.27e-06
1791,0.0,0.0,0.0,-0.0,2.2799999999999998e-06
1792,0.0,0.0,0.0,-0.0,2.29e-06
1793,0.0,0.0,0.0,-0.0,2.3e-06
1794,0.0,0.0,0.0,-0.0,2.31e-06
1795,0.0,0.0,0.0,-0.0,2.32e-06
1796,0.0,0.0,0.0,-0.0,2.33e-06
1797,0.0,0.0,0.0,-0.0,2.34e-06
1798,0.0,0.0,0.0,-0.0,2.35e-06
1799,0.0,0.0,0.0,-0.0,2.3600000000000003e-06
1800,0.0,0.0,0.0,-0.0,2.3600000000000003e-06
1801,0.0,0.0,0.0,-0.0,2.37e-06
1802,0.0,0.0,0.0,-0.0,2.38e-06
1803,0.0,0.0,0.0,-0.0,2.39e-06
1804,0.0,0.0,0.0,-0.0,2.4e-06
1805,0.0,0.0,0.0,-0.0,2.41e-06
1806,0.0,0.0,0.0,-0.0,2.4199999999999997e-06
1807,0.0,0.0,0.0,-0.0,2.43e-06
1808,0.0,0.0,0.0,-0.0,2.44e-06
1809,0.0,0.0,0.0,-0.0,2.45e-06
1810,0.0,0.0,0.0,-0.0,2.4599999999999997e-06
1811,0.0,0.0,0.0,-0.0,2.48e-06
1812,0.0,0.0,0.0,-0.0,2.49e-06
1813,0.0,0.0,0.0,-0.0,2.51e-06
1814,0.0,0.0,0.0,-0.0,2.52e-06
1815,0.0,0.0,0.0,-0.0,2.5400000000000002e-06
1816,0.0,0.0,0.0,-0.0,2.55e-06
1817,0.0,0.0,0.0,-0.0,2.57e-06
1818,0.0,0.0,0.0,-0.0,2.58e-06
1819,0.0,0.0,0.0,-0.0,2.5999999999999997e-06
1820,0.0,0.0,0.0,-0.0,2.61e-06
1821,0.0,0.0,0.0,-0.0,2.63e-06
1822,0.0,0.0,0.0,-0.0,2.64e-06
1823,0.0,0.0,0.0,-0.0,2.66e-06
1824,0.0,0.0,0.0,-0.0,2.6700000000000003e-06
1825,0.0,0.0,0.0,-0.0,2.69e-06
1826,0.0,0.0,0.0,-0.0,2.7100000000000003e-06
1827,0.0,0.0,0.0,-0.0,2.7200000000000002e-06
1828,0.0,0.0,0.0,-0.0,2.74e-06
1829,0.0,0.0,0.0,-0.0,2.75e-06
1830,0.0,0.0,0.0,-0.0,2.7699999999999997e-06
1831,0.0,0.0,0.0,-0.0,2.79e-06
1832,0.0,0.0,0.0,-0.0,2.8e-06
1833,0.0,0.0,0.0,-0.0,2.82e-06
1834,0.0,0.0,0.0,-0.0,2.84e-06
1835,0.0,0.0,0.0,-0.0,2.8500000000000002e-06
1836,0.0,0.0,0.0,-0.0,2.87e-06
1837,0.0,0.0,0.0,-0.0,2.8900000000000003e-06
1838,0.0,0.0,0.0,-0.0,2.8999999999999998e-06
1839,0.0,0.0,0.0,-0.0,2.92e-06
1840,0.0,0.0,0.0,-0.0,2.94e-06
1841,0.0,0.0,0.0,-0.0,2.95e-06
1842,0.0,0.0,0.0,-0.0,2.97e-06
1843,0.0,0.0,0.0,-0.0,2.99e-06
1844,0.0,0.0,0.0,-0.0,3.01e-06
1845,0.0,0.0,0.0,-0.0,3.0300000000000002e-06
1846,0.0,0.0,0.0,-0.0,3.04e-06
1847,0.0,0.0,0.0,-0.0,3.06e-06
1848,0.0,0.0,0.0,-0.0,3.0799999999999997e-06
1849,0.0,0.0,0.0,-0.0,3.1e-06
1850,6.06e-07,0.0,1.71e-06,-0.0,4.97e-06
1851,6.18e-07,0.0,1.75e-06,-0.0,5.07e-06
1852,6.310000000000001e-07,0.0,1.78e-06,-0.0,5.1700000000000005e-06
1853,6.43e-07,0.0,1.82e-06,-0.0,5.27e-06
1854,6.54e-07,0.0,1.85e-06,-0.0,5.36e-06
1855,6.64e-07,0.0,1.88e-06,-0.0,5.45e-06
1856,6.73e-07,0.0,1.9e-06,-0.0,5.52e-06
1857,6.809999999999999e-07,0.0,1.9200000000000003e-06,-0.0,5.58e-06
1858,6.87e-07,0.0,1.94e-06,-0.0,5.6299999999999995e-06
1859,6.91e-07,0.0,1.95e-06,-0.0,5.67e-06
1860,6.939999999999999e-07,0.0,1.96e-06,-0.0,5.69e-06
1861,6.95e-07,0.0,1.96e-06,-0.0,5.7000000000000005e-06
1862,6.96e-07,0.0,1.9699999999999998e-06,-0.0,5.7000000000000005e-06
1863,6.96e-07,0.0,1.9699999999999998e-06,-0.0,5.7099999999999995e-06
1864,6.970000000000001e-07,0.0,1.9699999999999998e-06,-0.0,5.7099999999999995e-06
1865,6.970000000000001e-07,0.0,1.9699999999999998e-06,-0.0,5.72e-06
1866,6.98e-07,0.0,1.9699999999999998e-06,-0.0,5.72e-06
1867,6.98e-07,0.0,1.9699999999999998e-06,-0.0,5.73e-06
1868,6.99e-07,0.0,1.98e-06,-0.0,5.73e-06
1869,7e-07,0.0,1.98e-06,-0.0,5.74e-06
1870,7.01e-07,0.0,1.98e-06,-0.0,5.75e-06
1871,7.13e-07,0.0,2.02e-06,-0.0,5.85e-06
1872,7.420000000000001e-07,0.0,2.1e-06,-0.0,6.09e-06
1873,7.86e-07,0.0,2.2200000000000003e-06,-0.0,6.45e-06
1874,8.39e-07,0.0,2.37e-06,-0.0,6.88e-06
1875,8.97e-07,0.0,2.5400000000000002e-06,-0.0,7.36e-06
1876,9.57e-07,0.0,2.7100000000000003e-06,-0.0,7.85e-06
1877,1.01e-06,0.0,2.87e-06,-0.0,8.32e-06
1878,1.06e-06,0.0,3.01e-06,-0.0,8.73e-06
1879,1.1e-06,0.0,3.1199999999999998e-06,-0.0,9.050000000000001e-06
1880,1.13e-06,0.0,3.19e-06,-0.0,9.24e-06
1881,1.1399999999999999e-06,0.0,3.22e-06,-0.0,9.35e-06
1882,1.15e-06,0.0,3.2599999999999997e-06,-0.0,9.440000000000001e-06
1883,1.16e-06,0.0,3.28e-06,-0.0,9.52e-06
1884,1.17e-06,0.0,3.31e-06,-0.0,9.59e-06
1885,1.1800000000000001e-06,0.0,3.33e-06,-0.0,9.65e-06
1886,1.1800000000000001e-06,0.0,3.35e-06,-0.0,9.7e-06
1887,1.19e-06,0.0,3.36e-06,-0.0,9.76e-06
1888,1.2e-06,0.0,3.3899999999999997e-06,-0.0,9.820000000000001e-06
1889,1.2099999999999998e-06,0.0,3.41e-06,-0.0,9.89e-06
1890,1.39e-06,0.0,3.44e-06,-0.0,1.1e-05
1891,1.4400000000000002e-06,0.0,3.46e-06,-0.0,1.03e-05
1892,1.49e-06,0.0,3.49e-06,-0.0,9.6e-06
1893,1.55e-06,0.0,3.52e-06,-0.0,8.959999999999999e-06
1894,1.61e-06,0.0,3.56e-06,-0.0,8.380000000000001e-06
1895,1.68e-06,0.0,3.59e-06,-0.0,7.85e-06
1896,1.75e-06,0.0,3.62e-06,-0.0,7.4e-06
1897,1.82e-06,0.0,3.66e-06,-0.0,7.03e-06
1898,1.9e-06,0.0,3.7e-06,-0.0,6.75e-06
1899,1.98e-06,0.0,3.7399999999999998e-06,-0.0,6.570000000000001e-06
1900,2.06e-06,0.0,3.79e-06,-0.0,6.51e-06
1901,2.15e-06,0.0,3.8400000000000005e-06,-0.0,6.519999999999999e-06
1902,2.2499999999999996e-06,0.0,3.910000000000001e-06,-0.0,6.55e-06
1903,2.3600000000000003e-06,0.0,3.98e-06,-0.0,6.6e-06
1904,2.48e-06,0.0,4.05e-06,-0.0,6.67e-06
1905,2.5999999999999997e-06,0.0,4.139999999999999e-06,-0.0,6.7600000000000005e-06
1906,2.7200000000000002e-06,0.0,4.219999999999999e-06,-0.0,6.8599999999999995e-06
1907,2.84e-06,0.0,4.309999999999999e-06,-0.0,6.98e-06
1908,2.94e-06,0.0,4.3899999999999995e-06,-0.0,7.12e-06
1909,3.0300000000000002e-06,0.0,4.4799999999999995e-06,-0.0,7.270000000000001e-06
1910,3.11e-06,0.0,4.5599999999999995e-06,-0.0,7.43e-06
1911,3.17e-06,0.0,4.63e-06,-0.0,7.81e-06
1912,3.22e-06,0.0,4.71e-06,-0.0,8.56e-06
1913,3.2599999999999997e-06,0.0,4.78e-06,-0.0,9.63e-06
1914,3.3e-06,0.0,4.86e-06,-0.0,1.1e-05
