year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.1,0.0,0.06570000000000001,0.0,3.23
1751,0.101,0.0,0.0658,5.8e-05,3.24
1752,0.101,0.0,0.0659,0.000116,3.24
1753,0.101,0.0,0.06609999999999999,0.000174,3.25
1754,0.101,0.0,0.06620000000000001,0.000232,3.26
1755,0.101,0.0,0.0663,0.00029,3.26
1756,0.101,0.0,0.0665,0.000348,3.27
1757,0.102,0.0,0.06659999999999999,0.000406,3.28
1758,0.102,0.0,0.06670000000000001,0.000464,3.28
1759,0.102,0.0,0.0669,0.000522,3.29
1760,0.102,0.0,0.067,0.00058,3.3
1761,0.102,0.0,0.06709999999999999,0.000638,3.3
1762,0.102,0.0,0.0673,0.000696,3.31
1763,0.103,0.0,0.0674,0.000754,3.32
1764,0.103,0.0,0.0675,0.000812,3.32
1765,0.103,0.0,0.0677,0.00087,3.33
1766,0.103,0.0,0.0678,0.000928,3.34
1767,0.103,0.0,0.068,0.000986,3.34
1768,0.103,0.0,0.0681,0.0010400000000000001,3.35
1769,0.104,0.0,0.0682,0.0011,3.36
1770,0.104,0.0,0.0684,0.00116,3.36
1771,0.104,0.0,0.0685,0.00122,3.37
1772,0.104,0.0,0.0686,0.00128,3.38
1773,0.104,0.0,0.0688,0.00133,3.38
1774,0.105,0.0,0.0689,0.00139,3.39
1775,0.105,0.0,0.0691,0.00145,3.4
1776,0.105,0.0,0.0692,0.00151,3.4
1777,0.105,0.0,0.0693,0.00157,3.41
1778,0.105,0.0,0.0695,0.0016200000000000001,3.42
1779,0.105,0.0,0.0696,0.0016799999999999999,3.43
1780,0.106,0.0,0.0698,0.00174,3.43
1781,0.106,0.0,0.0699,0.0018,3.44
1782,0.106,0.0,0.07,0.00186,3.45
1783,0.106,0.0,0.0702,0.00191,3.45
1784,0.106,0.0,0.0703,0.00197,3.46
1785,0.106,0.0,0.0705,0.0020299999999999997,3.47
1786,0.107,0.0,0.0706,0.00209,3.47
1787,0.107,0.0,0.0708,0.00215,3.48
1788,0.107,0.0,0.0709,0.0022,3.49
1789,0.107,0.0,0.071,0.00226,3.5
1790,0.107,0.0,0.0712,0.00232,3.5
1791,0.107,0.0,0.0713,0.0023799999999999997,3.51
1792,0.108,0.0,0.0715,0.00244,3.52
1793,0.108,0.0,0.0716,0.00249,3.52
1794,0.108,0.0,0.0718,0.0025499999999999997,3.53
1795,0.108,0.0,0.0719,0.00261,3.54
1796,0.108,0.0,0.0721,0.00267,3.54
1797,0.108,0.0,0.0722,0.00273,3.55
1798,0.109,0.0,0.0723,0.00278,3.56
1799,0.109,0.0,0.0725,0.0028399999999999996,3.57
1800,0.109,0.0,0.0726,0.0029,3.57
1801,0.109,0.0,0.0728,0.00296,3.58
1802,0.109,0.0,0.0729,0.00302,3.59
1803,0.109,0.0,0.0731,0.00307,3.6
1804,0.11,0.0,0.0732,0.00313,3.6
1805,0.11,0.0,0.0734,0.00319,3.61
1806,0.11,0.0,0.0735,0.00325,3.62
1807,0.11,0.0,0.0737,0.00331,3.62
1808,0.11,0.0,0.07379999999999999,0.0033599999999999997,3.63
1809,0.11,0.0,0.074,0.00342,3.64
1810,0.111,0.0,0.0741,0.00348,3.65
1811,0.111,0.0,0.07429999999999999,0.00354,3.65
1812,0.111,0.0,0.07440000000000001,0.0036,3.66
1813,0.111,0.0,0.0746,0.00365,3.67
1814,0.111,0.0,0.0747,0.0037099999999999998,3.68
1815,0.111,0.0,0.07490000000000001,0.00377,3.68
1816,0.112,0.0,0.075,0.00383,3.69
