year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,1.47e-05,0.0,0.000101
1751,0.0,0.0,1.47e-05,4.18e-07,0.000102
1752,0.0,0.0,1.48e-05,8.36e-07,0.000102
1753,0.0,0.0,1.48e-05,1.25e-06,0.000102
1754,0.0,0.0,1.48e-05,1.67e-06,0.000102
1755,0.0,0.0,1.48e-05,2.09e-06,0.000102
1756,0.0,0.0,1.48e-05,2.51e-06,0.000102
1757,0.0,0.0,1.48e-05,2.93e-06,0.000102
1758,0.0,0.0,1.48e-05,3.34e-06,0.000102
1759,0.0,0.0,1.48e-05,3.76e-06,0.000102
1760,0.0,0.0,1.48e-05,4.18e-06,0.000102
1761,0.0,0.0,1.48e-05,4.6e-06,0.000102
1762,0.0,0.0,1.48e-05,5.0099999999999995e-06,0.000102
1763,0.0,0.0,1.48e-05,5.43e-06,0.000102
1764,0.0,0.0,1.48e-05,5.85e-06,0.000102
1765,0.0,0.0,1.48e-05,6.27e-06,0.000102
1766,0.0,0.0,1.48e-05,6.6899999999999995e-06,0.000102
1767,0.0,0.0,1.48e-05,7.100000000000001e-06,0.000102
1768,0.0,0.0,1.48e-05,7.52e-06,0.000102
1769,0.0,0.0,1.48e-05,7.939999999999999e-06,0.000102
1770,0.0,0.0,1.48e-05,8.36e-06,0.000102
1771,0.0,0.0,1.48e-05,8.779999999999999e-06,0.000102
1772,0.0,0.0,1.49e-05,9.19e-06,0.000102
1773,0.0,0.0,1.49e-05,9.610000000000001e-06,0.000102
1774,0.0,0.0,1.49e-05,1e-05,0.000102
1775,0.0,0.0,1.49e-05,1.0399999999999999e-05,0.000102
1776,0.0,0.0,1.49e-05,1.09e-05,0.000102
1777,0.0,0.0,1.49e-05,1.1299999999999999e-05,0.000102
1778,0.0,0.0,1.49e-05,1.17e-05,0.000102
1779,0.0,0.0,1.49e-05,1.21e-05,0.000102
1780,0.0,0.0,1.49e-05,1.25e-05,0.000102
1781,0.0,0.0,1.49e-05,1.3e-05,0.000103
1782,0.0,0.0,1.49e-05,1.34e-05,0.000103
1783,0.0,0.0,1.49e-05,1.38e-05,0.000103
1784,0.0,0.0,1.49e-05,1.4200000000000001e-05,0.000103
1785,0.0,0.0,1.49e-05,1.46e-05,0.000103
1786,0.0,0.0,1.49e-05,1.4999999999999999e-05,0.000103
1787,0.0,0.0,1.49e-05,1.55e-05,0.000103
1788,0.0,0.0,1.49e-05,1.59e-05,0.000103
1789,0.0,0.0,1.49e-05,1.63e-05,0.000103
1790,0.0,0.0,1.49e-05,1.67e-05,0.000103
1791,0.0,0.0,1.49e-05,1.7100000000000002e-05,0.000103
1792,0.0,0.0,1.4999999999999999e-05,1.76e-05,0.000103
1793,0.0,0.0,1.4999999999999999e-05,1.7999999999999997e-05,0.000103
1794,0.0,0.0,1.4999999999999999e-05,1.84e-05,0.000103
1795,0.0,0.0,1.4999999999999999e-05,1.88e-05,0.000103
1796,0.0,0.0,1.4999999999999999e-05,1.92e-05,0.000103
1797,0.0,0.0,1.4999999999999999e-05,1.96e-05,0.000103
1798,0.0,0.0,1.4999999999999999e-05,2.01e-05,0.000103
1799,0.0,0.0,1.4999999999999999e-05,2.05e-05,0.000103
1800,0.0,0.0,1.4999999999999999e-05,2.09e-05,0.000103
1801,0.0,0.0,1.4999999999999999e-05,2.13e-05,0.000103
1802,0.0,0.0,1.4999999999999999e-05,2.17e-05,0.000103
1803,0.0,0.0,1.4999999999999999e-05,2.2100000000000002e-05,0.000103
1804,0.0,0.0,1.4999999999999999e-05,2.2599999999999997e-05,0.000103
1805,0.0,0.0,1.4999999999999999e-05,2.3e-05,0.000103
1806,0.0,0.0,1.4999999999999999e-05,2.34e-05,0.000103
1807,0.0,0.0,1.4999999999999999e-05,2.3800000000000003e-05,0.000103
1808,0.0,0.0,1.4999999999999999e-05,2.42e-05,0.000103
1809,0.0,0.0,1.4999999999999999e-05,2.47e-05,0.000103
1810,0.0,0.0,1.4999999999999999e-05,2.51e-05,0.000104
1811,0.0,0.0,1.5100000000000001e-05,2.55e-05,0.000104
1812,0.0,0.0,1.5100000000000001e-05,2.59e-05,0.000104
1813,0.0,0.0,1.5100000000000001e-05,2.63e-05,0.000104
1814,0.0,0.0,1.5100000000000001e-05,2.6700000000000002e-05,0.000104
1815,0.0,0.0,1.5100000000000001e-05,2.7199999999999997e-05,0.000104
1816,0.0,0.0,1.5100000000000001e-05,2.76e-05,0.000104
1817,0.0,0.0,1.5100000000000001e-05,2.8e-05,0.000104
1818,0.0,0.0,1.5100000000000001e-05,2.8400000000000003e-05,0.000104
1819,0.0,0.0,1.52e-05,2.88e-05,0.000104
1820,0.0,0.0,1.52e-05,2.93e-05,0.000104
1821,0.0,0.0,1.52e-05,2.97e-05,0.000104
1822,0.0,0.0,1.52e-05,3.01e-05,0.00010499999999999999
1823,0.0,0.0,1.52e-05,3.05e-05,0.00010499999999999999
1824,0.0,0.0,1.52e-05,3.09e-05,0.00010499999999999999
1825,0.0,0.0,1.52e-05,3.13e-05,0.00010499999999999999
1826,0.0,0.0,1.52e-05,3.18e-05,0.00010499999999999999
1827,0.0,0.0,1.53e-05,3.22e-05,0.00010499999999999999
1828,0.0,0.0,1.53e-05,3.26e-05,0.00010499999999999999
1829,0.0,0.0,1.53e-05,3.3e-05,0.00010499999999999999
1830,0.0,0.0,1.53e-05,3.34e-05,0.00010499999999999999
1831,0.0,0.0,1.53e-05,3.3799999999999995e-05,0.00010499999999999999
1832,0.0,0.0,1.53e-05,3.43e-05,0.00010499999999999999
1833,0.0,0.0,1.53e-05,3.47e-05,0.000106
1834,0.0,0.0,1.53e-05,3.51e-05,0.000106
1835,0.0,0.0,1.54e-05,3.5499999999999996e-05,0.000106
1836,0.0,0.0,1.54e-05,3.59e-05,0.000106
1837,0.0,0.0,1.54e-05,3.6400000000000004e-05,0.000106
1838,0.0,0.0,1.54e-05,3.68e-05,0.000106
1839,0.0,0.0,1.54e-05,3.7199999999999996e-05,0.000106
1840,0.0,0.0,1.54e-05,3.76e-05,0.000106
1841,0.0,0.0,1.54e-05,3.8e-05,0.000106
1842,0.0,0.0,1.54e-05,3.84e-05,0.000106
1843,0.0,0.0,1.55e-05,3.89e-05,0.000106
1844,0.0,0.0,1.55e-05,3.93e-05,0.000107
1845,0.0,0.0,1.55e-05,3.9699999999999996e-05,0.000107
1846,0.0,0.0,1.55e-05,4.01e-05,0.000107
1847,0.0,0.0,1.55e-05,4.05e-05,0.000107
1848,0.0,0.0,1.55e-05,4.1e-05,0.000107
1849,0.0,0.0,1.55e-05,4.14e-05,0.000107
1850,6.9300000000000006e-06,0.0,1.53e-05,4.18e-05,0.00010499999999999999
1851,7.07e-06,0.0,1.56e-05,4.22e-05,0.000107
1852,7.2199999999999995e-06,0.0,1.59e-05,4.26e-05,0.00011
1853,7.35e-06,0.0,1.62e-05,4.2999999999999995e-05,0.000112
1854,7.4799999999999995e-06,0.0,1.65e-05,4.35e-05,0.00011300000000000001
1855,7.59e-06,0.0,1.67e-05,4.39e-05,0.000115
1856,7.7e-06,0.0,1.7e-05,4.43e-05,0.00011700000000000001
1857,7.79e-06,0.0,1.72e-05,4.4699999999999996e-05,0.000118
1858,7.860000000000001e-06,0.0,1.73e-05,4.51e-05,0.00011899999999999999
1859,7.91e-06,0.0,1.74e-05,4.55e-05,0.00011999999999999999
1860,7.93e-06,0.0,1.7500000000000002e-05,4.6e-05,0.00011999999999999999
1861,7.95e-06,0.0,1.7500000000000002e-05,4.6399999999999996e-05,0.000121
1862,7.96e-06,0.0,1.7500000000000002e-05,4.68e-05,0.000121
1863,7.96e-06,0.0,1.76e-05,4.72e-05,0.000121
1864,7.97e-06,0.0,1.76e-05,4.7600000000000005e-05,0.000121
1865,7.97e-06,0.0,1.76e-05,4.81e-05,0.000121
1866,7.98e-06,0.0,1.76e-05,4.85e-05,0.000121
1867,7.98e-06,0.0,1.76e-05,4.8899999999999996e-05,0.000121
1868,7.99e-06,0.0,1.76e-05,4.93e-05,0.000121
1869,8e-06,0.0,1.76e-05,4.97e-05,0.000121
1870,8.02e-06,0.0,1.77e-05,5.01e-05,0.000122
1871,8.15e-06,0.0,1.7999999999999997e-05,5.06e-05,0.000124
1872,8.49e-06,0.0,1.87e-05,5.1e-05,0.000129
1873,8.99e-06,0.0,1.98e-05,5.14e-05,0.000136
1874,9.6e-06,0.0,2.12e-05,5.18e-05,0.000146
1875,1.03e-05,0.0,2.2599999999999997e-05,5.22e-05,0.000156
1876,1.1e-05,0.0,2.41e-05,5.2699999999999993e-05,0.000166
1877,1.1599999999999999e-05,0.0,2.5600000000000002e-05,5.31e-05,0.000176
1878,1.22e-05,0.0,2.68e-05,5.35e-05,0.000185
1879,1.26e-05,0.0,2.7799999999999998e-05,5.39e-05,0.000192
