year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0165,0.0,0.0357,4.14e-18,0.128
1751,0.0165,0.0,0.0358,0.00053,0.128
1752,0.0165,0.0,0.0359,0.00106,0.129
1753,0.0165,0.0,0.0359,0.00159,0.129
1754,0.0166,0.0,0.036,0.00212,0.129
1755,0.0166,0.0,0.0361,0.00265,0.129
1756,0.0166,0.0,0.0361,0.00318,0.129
1757,0.0166,0.0,0.0362,0.0037099999999999998,0.13
1758,0.0167,0.0,0.0363,0.00424,0.13
1759,0.0167,0.0,0.0363,0.00477,0.13
1760,0.0167,0.0,0.0364,0.0053,0.13
1761,0.0167,0.0,0.0365,0.00583,0.131
1762,0.016800000000000002,0.0,0.0365,0.00636,0.131
1763,0.016800000000000002,0.0,0.0366,0.006889999999999999,0.131
1764,0.016800000000000002,0.0,0.0367,0.0074199999999999995,0.131
1765,0.016800000000000002,0.0,0.0367,0.00795,0.132
1766,0.0169,0.0,0.0368,0.008490000000000001,0.132
1767,0.0169,0.0,0.036899999999999995,0.00902,0.132
1768,0.0169,0.0,0.036899999999999995,0.009550000000000001,0.132
1769,0.0169,0.0,0.037,0.0101,0.133
1770,0.017,0.0,0.0371,0.0106,0.133
1771,0.017,0.0,0.0371,0.0111,0.133
1772,0.017,0.0,0.037200000000000004,0.011699999999999999,0.133
1773,0.017,0.0,0.0373,0.012199999999999999,0.134
1774,0.0171,0.0,0.0373,0.0127,0.134
1775,0.0171,0.0,0.037399999999999996,0.013300000000000001,0.134
1776,0.0171,0.0,0.0375,0.013800000000000002,0.134
1777,0.0171,0.0,0.0376,0.0143,0.135
1778,0.0172,0.0,0.0376,0.0148,0.135
1779,0.0172,0.0,0.037700000000000004,0.0154,0.135
1780,0.0172,0.0,0.0378,0.0159,0.135
1781,0.0172,0.0,0.0378,0.016399999999999998,0.136
1782,0.0173,0.0,0.037899999999999996,0.017,0.136
1783,0.0173,0.0,0.038,0.0175,0.136
1784,0.0173,0.0,0.038,0.018,0.136
1785,0.0173,0.0,0.0381,0.018600000000000002,0.137
1786,0.0174,0.0,0.038200000000000005,0.019100000000000002,0.137
1787,0.0174,0.0,0.038200000000000005,0.019600000000000003,0.137
1788,0.0174,0.0,0.038299999999999994,0.0202,0.137
1789,0.0174,0.0,0.0384,0.0207,0.138
1790,0.0175,0.0,0.0385,0.0212,0.138
1791,0.0175,0.0,0.0385,0.0217,0.138
1792,0.0175,0.0,0.0386,0.0223,0.138
1793,0.0175,0.0,0.038700000000000005,0.0228,0.139
1794,0.0175,0.0,0.038700000000000005,0.0233,0.139
1795,0.0176,0.0,0.038799999999999994,0.023899999999999998,0.139
1796,0.0176,0.0,0.0389,0.024399999999999998,0.139
1797,0.0176,0.0,0.039,0.0249,0.14
1798,0.0176,0.0,0.039,0.0255,0.14
1799,0.0177,0.0,0.0391,0.026,0.14
1800,0.0177,0.0,0.039200000000000006,0.0265,0.14
