year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.013800000000000002,0.0,0.030600000000000002,0.0,0.105
1751,0.013800000000000002,0.0,0.030699999999999998,0.000457,0.106
1752,0.013900000000000001,0.0,0.030699999999999998,0.000914,0.106
1753,0.013900000000000001,0.0,0.0308,0.0013700000000000001,0.106
1754,0.013900000000000001,0.0,0.030899999999999997,0.00183,0.106
1755,0.013900000000000001,0.0,0.030899999999999997,0.00228,0.106
1756,0.014,0.0,0.031,0.0027400000000000002,0.107
1757,0.014,0.0,0.031,0.0032,0.107
1758,0.014,0.0,0.031100000000000003,0.00365,0.107
1759,0.014,0.0,0.031100000000000003,0.00411,0.107
1760,0.014,0.0,0.0312,0.00457,0.107
1761,0.0141,0.0,0.0313,0.005030000000000001,0.107
1762,0.0141,0.0,0.0313,0.0054800000000000005,0.108
1763,0.0141,0.0,0.0314,0.00594,0.108
1764,0.0141,0.0,0.0314,0.0064,0.108
1765,0.0141,0.0,0.0315,0.006849999999999999,0.108
1766,0.014199999999999999,0.0,0.0315,0.00731,0.108
1767,0.014199999999999999,0.0,0.0316,0.00777,0.109
1768,0.014199999999999999,0.0,0.0317,0.00822,0.109
1769,0.014199999999999999,0.0,0.0317,0.00868,0.109
1770,0.014199999999999999,0.0,0.0318,0.00914,0.109
1771,0.0143,0.0,0.0318,0.00959,0.109
1772,0.0143,0.0,0.0319,0.0101,0.11
1773,0.0143,0.0,0.0319,0.0105,0.11
1774,0.0143,0.0,0.032,0.011,0.11
1775,0.0144,0.0,0.032100000000000004,0.0114,0.11
1776,0.0144,0.0,0.032100000000000004,0.0119,0.11
1777,0.0144,0.0,0.0322,0.0123,0.111
1778,0.0144,0.0,0.0322,0.0128,0.111
1779,0.0144,0.0,0.032299999999999995,0.0132,0.111
1780,0.0145,0.0,0.0324,0.013699999999999999,0.111
1781,0.0145,0.0,0.0324,0.014199999999999999,0.112
1782,0.0145,0.0,0.0325,0.0146,0.112
1783,0.0145,0.0,0.0325,0.015099999999999999,0.112
1784,0.0145,0.0,0.032600000000000004,0.0155,0.112
1785,0.0146,0.0,0.0327,0.016,0.112
1786,0.0146,0.0,0.0327,0.016399999999999998,0.113
1787,0.0146,0.0,0.032799999999999996,0.0169,0.113
1788,0.0146,0.0,0.032799999999999996,0.0174,0.113
1789,0.0146,0.0,0.0329,0.0178,0.113
1790,0.0147,0.0,0.033,0.0183,0.113
1791,0.0147,0.0,0.033,0.018699999999999998,0.114
1792,0.0147,0.0,0.033100000000000004,0.0192,0.114
1793,0.0147,0.0,0.033100000000000004,0.019600000000000003,0.114
1794,0.0147,0.0,0.0332,0.0201,0.114
1795,0.0148,0.0,0.033299999999999996,0.0206,0.114
1796,0.0148,0.0,0.033299999999999996,0.021,0.115
1797,0.0148,0.0,0.0334,0.0215,0.115
1798,0.0148,0.0,0.0334,0.0219,0.115
1799,0.0148,0.0,0.0335,0.0224,0.115
1800,0.0149,0.0,0.033600000000000005,0.0228,0.115
1801,0.0149,0.0,0.033600000000000005,0.0233,0.116
1802,0.0149,0.0,0.0337,0.0238,0.116
1803,0.0149,0.0,0.0338,0.0242,0.116
1804,0.0149,0.0,0.0338,0.0247,0.116
1805,0.015,0.0,0.0339,0.0251,0.117
1806,0.015,0.0,0.0339,0.0256,0.117
1807,0.015,0.0,0.034,0.026,0.117
1808,0.015,0.0,0.0341,0.0265,0.117
1809,0.015,0.0,0.0341,0.027,0.117
1810,0.015099999999999999,0.0,0.0342,0.027399999999999997,0.118
1811,0.015099999999999999,0.0,0.0343,0.027899999999999998,0.118
1812,0.015099999999999999,0.0,0.0343,0.028300000000000002,0.118
1813,0.015099999999999999,0.0,0.0344,0.0288,0.118
1814,0.015099999999999999,0.0,0.0344,0.0292,0.118
