year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,2.06,0.0,0.0699,0.0,1.19
1751,2.06,0.0,0.0699,0.0,1.19
1752,2.06,0.0,0.07,0.0,1.19
1753,2.06,0.0,0.0701,0.0,1.19
1754,2.06,0.0,0.0701,0.0,1.19
1755,2.06,0.0,0.0702,0.0,1.2
1756,2.06,0.0,0.0703,0.0,1.2
1757,2.06,0.0,0.0703,0.0,1.2
1758,2.05,0.0,0.0704,0.0,1.2
1759,2.05,0.0,0.0705,0.0,1.2
1760,2.05,0.0,0.0705,0.0,1.2
1761,2.05,0.0,0.0706,0.0,1.2
1762,2.05,0.0,0.0707,0.0,1.2
1763,2.05,0.0,0.0707,0.0,1.21
1764,2.05,0.0,0.0708,0.0,1.21
1765,2.05,0.0,0.0709,0.0,1.21
1766,2.05,0.0,0.0709,0.0,1.21
1767,2.05,0.0,0.071,0.0,1.21
1768,2.05,0.0,0.0711,0.0,1.21
1769,2.05,0.0,0.0711,0.0,1.21
1770,2.05,0.0,0.0712,0.0,1.21
1771,2.04,0.0,0.0713,0.0,1.21
1772,2.04,0.0,0.0713,0.0,1.22
1773,2.04,0.0,0.0714,0.0,1.22
1774,2.04,0.0,0.0715,0.0,1.22
1775,2.04,0.0,0.0715,0.0,1.22
1776,2.04,0.0,0.0716,0.0,1.22
1777,2.04,0.0,0.0717,0.0,1.22
1778,2.04,0.0,0.0717,0.0,1.22
1779,2.04,0.0,0.0718,0.0,1.22
1780,2.04,0.0,0.0719,0.0,1.22
1781,2.04,0.0,0.0719,0.0,1.23
1782,2.04,0.0,0.072,0.0,1.23
1783,2.03,0.0,0.0721,0.0,1.23
1784,2.03,0.0,0.0721,0.0,1.23
1785,2.03,0.0,0.0722,0.0,1.23
1786,2.03,0.0,0.0723,0.0,1.23
1787,2.03,0.0,0.0724,0.0,1.23
1788,2.03,0.0,0.0724,0.0,1.23
1789,2.03,0.0,0.0725,0.0,1.24
1790,2.03,0.0,0.0726,0.0,1.24
1791,2.03,0.0,0.0726,0.0,1.24
1792,2.03,0.0,0.0727,0.0,1.24
1793,2.03,0.0,0.0728,0.0,1.24
1794,2.03,0.0,0.0728,0.0,1.24
1795,2.02,0.0,0.0729,0.0,1.24
1796,2.02,0.0,0.073,0.0,1.24
1797,2.02,0.0,0.073,0.0,1.24
1798,2.02,0.0,0.0731,0.0,1.25
1799,2.02,0.0,0.0732,0.0,1.25
1800,2.02,0.0,0.0732,0.0,1.25
1801,2.03,0.0,0.0736,0.0,1.25
