year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0229
1851,0.0235
1852,0.0241
1853,0.0247
1854,0.0253
1855,0.0259
1856,0.0265
1857,0.0272
1858,0.027800000000000002
1859,0.028399999999999998
1860,0.029
1861,0.0296
1862,0.030199999999999998
1863,0.030899999999999997
1864,0.0315
1865,0.032100000000000004
1866,0.0327
1867,0.033299999999999996
1868,0.034
1869,0.0346
1870,0.0352
1871,0.0358
1872,0.0364
1873,0.037
1874,0.037700000000000004
1875,0.038299999999999994
1876,0.0389
1877,0.0395
1878,0.040100000000000004
1879,0.0407
1880,0.0414
1881,0.042
1882,0.0426
1883,0.0432
1884,0.0438
1885,0.0444
1886,0.0451
1887,0.045700000000000005
1888,0.046299999999999994
1889,0.0469
1890,0.0475
1891,0.0519
1892,0.063
1893,0.0795
1894,0.1
1895,0.123
1896,0.148
1897,0.173
1898,0.197
1899,0.218
1900,0.236
1901,0.25
1902,0.263
1903,0.276
1904,0.287
1905,0.299
1906,0.31
1907,0.322
1908,0.335
1909,0.349
1910,0.364
1911,0.38
1912,0.398
1913,0.416
1914,0.435
1915,0.456
1916,0.477
1917,0.5
1918,0.523
1919,0.548
1920,0.574
1921,0.674
1922,0.907
1923,1.25
1924,1.67
1925,2.15
1926,2.65
1927,3.16
1928,3.65
1929,4.1
1930,4.47
1931,4.79
1932,5.1
1933,5.41
1934,5.7
1935,5.99
1936,6.27
1937,6.56
1938,6.84
1939,7.13
1940,7.43
1941,7.73
1942,8.04
1943,8.36
1944,8.69
1945,9.04
1946,9.41
1947,9.81
1948,10.2
1949,10.7
1950,11.2
1951,11.7
1952,12.3
1953,12.9
1954,13.5
1955,14.3
1956,15.0
1957,15.8
1958,16.5
1959,17.3
1960,18.2
1961,19.1
1962,20.1
1963,21.2
1964,22.4
1965,23.6
1966,24.8
1967,25.9
1968,26.9
1969,27.8
1970,28.5
1971,29.1
1972,29.7
1973,30.4
1974,31.0
1975,31.5
1976,32.1
1977,32.6
1978,33.0
1979,33.3
1980,33.6
1981,33.8
1982,33.8
1983,33.8
1984,33.7
1985,33.6
1986,33.4
1987,33.3
1988,33.2
1989,33.2
1990,32.0
1991,31.7
1992,30.0
1993,28.3
1994,28.6
1995,24.6
1996,26.4
1997,29.8
1998,27.2
1999,28.8
2000,30.7
2001,28.1
2002,31.1
2003,33.6
2004,38.2
2005,32.6
2006,38.9
2007,55.0
2008,48.3
2009,41.9
2010,50.6
2011,62.2
2012,65.9
2013,65.1
2014,70.4
2015,75.4
2016,78.6
2017,86.8
2018,96.2
2019,97.9
2020,90.8
2021,93.2
2022,96.1
2023,96.3
