year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0025299999999999997
1851,0.0025299999999999997
1852,0.0025299999999999997
1853,0.0025299999999999997
1854,0.0025299999999999997
1855,0.0025299999999999997
1856,0.0025299999999999997
1857,0.0025299999999999997
1858,0.0025299999999999997
1859,0.0025299999999999997
1860,0.0025299999999999997
1861,0.0025299999999999997
1862,0.0025299999999999997
1863,0.0025299999999999997
1864,0.0025299999999999997
1865,0.0025299999999999997
1866,0.0025299999999999997
1867,0.0025299999999999997
1868,0.0025299999999999997
1869,0.0025299999999999997
1870,0.0025299999999999997
1871,0.0025299999999999997
1872,0.0025299999999999997
1873,0.0025299999999999997
1874,0.0025299999999999997
1875,0.0025299999999999997
1876,0.0025299999999999997
1877,0.0025299999999999997
1878,0.0025299999999999997
1879,0.0025299999999999997
1880,0.0025299999999999997
1881,0.0025299999999999997
1882,0.0025299999999999997
1883,0.0025299999999999997
1884,0.0025299999999999997
1885,0.0025299999999999997
1886,0.0025299999999999997
1887,0.0025299999999999997
1888,0.0025299999999999997
1889,0.0025299999999999997
1890,0.0025299999999999997
1891,0.0029500000000000004
1892,0.00413
1893,0.005900000000000001
1894,0.008140000000000001
1895,0.0107
1896,0.0134
1897,0.0161
1898,0.018699999999999998
1899,0.021
1900,0.0229
1901,0.0245
1902,0.0259
1903,0.0272
1904,0.028399999999999998
1905,0.0297
1906,0.030899999999999997
1907,0.032100000000000004
1908,0.0335
1909,0.035
1910,0.0366
1911,0.038299999999999994
1912,0.0402
1913,0.0422
1914,0.0443
1915,0.0466
1916,0.0489
1917,0.0513
1918,0.053899999999999997
1919,0.056600000000000004
1920,0.0594
1921,0.0707
1922,0.09709999999999999
1923,0.136
1924,0.183
1925,0.237
1926,0.295
1927,0.353
1928,0.408
1929,0.459
1930,0.501
1931,0.537
1932,0.573
1933,0.607
1934,0.64
1935,0.672
1936,0.705
1937,0.737
1938,0.769
1939,0.802
1940,0.835
1941,0.872
1942,0.913
1943,0.959
1944,1.01
1945,1.06
1946,1.12
1947,1.18
1948,1.24
1949,1.31
1950,1.38
1951,1.45
1952,1.52
1953,1.61
1954,1.69
1955,1.79
1956,1.88
1957,1.98
1958,2.08
1959,2.18
1960,2.29
1961,2.4
1962,2.53
1963,2.66
1964,2.81
1965,2.95
1966,3.09
1967,3.23
1968,3.36
1969,3.48
1970,3.58
1971,3.68
1972,3.82
1973,3.98
1974,4.16
1975,4.34
1976,4.53
1977,4.72
1978,4.9
1979,5.07
1980,5.21
1981,5.34
1982,5.48
1983,5.61
1984,5.74
1985,5.86
1986,5.97
1987,6.07
1988,6.15
1989,6.2
1990,5.66
1991,5.15
1992,3.07
1993,3.14
1994,3.02
1995,2.77
1996,2.58
1997,2.45
1998,2.5
1999,2.61
2000,2.64
2001,2.61
2002,2.21
2003,1.67
2004,1.71
2005,1.69
2006,1.58
2007,1.59
2008,1.58
2009,1.24
2010,1.14
2011,1.21
2012,1.21
2013,1.29
2014,1.24
2015,1.11
2016,1.18
2017,1.15
2018,1.13
2019,1.1
2020,0.971
2021,0.914
2022,0.926
