year,IPC1,IPC4,IPCMAG
1750,3.76e-07,7.35e-06,1.2e-05
1751,3.77e-07,7.36e-06,1.2e-05
1752,3.77e-07,7.3800000000000005e-06,1.2e-05
1753,3.78e-07,7.4e-06,1.2e-05
1754,3.79e-07,7.41e-06,1.21e-05
1755,3.8e-07,7.43e-06,1.21e-05
1756,3.8e-07,7.45e-06,1.21e-05
1757,3.81e-07,7.46e-06,1.21e-05
1758,3.82e-07,7.4799999999999995e-06,1.22e-05
1759,3.83e-07,7.499999999999999e-06,1.22e-05
1760,3.83e-07,7.51e-06,1.22e-05
1761,3.84e-07,7.53e-06,1.22e-05
1762,3.8499999999999997e-07,7.5500000000000006e-06,1.23e-05
1763,3.86e-07,7.56e-06,1.23e-05
1764,3.86e-07,7.58e-06,1.23e-05
1765,3.8699999999999996e-07,7.6e-06,1.23e-05
1766,3.88e-07,7.61e-06,1.24e-05
1767,3.89e-07,7.63e-06,1.24e-05
1768,3.89e-07,7.65e-06,1.24e-05
1769,3.8999999999999997e-07,7.66e-06,1.24e-05
1770,3.91e-07,7.680000000000001e-06,1.25e-05
1771,3.91e-07,7.7e-06,1.25e-05
1772,3.9199999999999996e-07,7.709999999999999e-06,1.25e-05
1773,3.93e-07,7.73e-06,1.25e-05
1774,3.94e-07,7.75e-06,1.26e-05
1775,3.94e-07,7.76e-06,1.26e-05
1776,3.9500000000000003e-07,7.78e-06,1.26e-05
1777,3.96e-07,7.8e-06,1.26e-05
1778,3.97e-07,7.81e-06,1.2699999999999999e-05
1779,3.97e-07,7.83e-06,1.2699999999999999e-05
1780,3.9800000000000004e-07,7.85e-06,1.2699999999999999e-05
1781,3.99e-07,7.860000000000001e-06,1.2699999999999999e-05
1782,4.0000000000000003e-07,7.879999999999999e-06,1.2800000000000001e-05
1783,4.0000000000000003e-07,7.9e-06,1.2800000000000001e-05
1784,4.01e-07,7.92e-06,1.2800000000000001e-05
1785,4.02e-07,7.93e-06,1.29e-05
1786,4.03e-07,7.95e-06,1.29e-05
1787,4.03e-07,7.97e-06,1.29e-05
1788,4.04e-07,7.98e-06,1.29e-05
1789,4.05e-07,8e-06,1.3e-05
1790,4.05e-07,8.02e-06,1.3e-05
1791,4.06e-07,8.030000000000001e-06,1.3e-05
1792,4.0700000000000003e-07,8.05e-06,1.3e-05
1793,4.08e-07,8.07e-06,1.31e-05
1794,4.08e-07,8.09e-06,1.31e-05
1795,4.09e-07,8.1e-06,1.31e-05
1796,4.1e-07,8.12e-06,1.31e-05
1797,4.11e-07,8.14e-06,1.32e-05
1798,4.11e-07,8.16e-06,1.32e-05
1799,4.12e-07,8.17e-06,1.32e-05
1800,4.13e-07,8.19e-06,1.33e-05
1801,4.13e-07,8.210000000000001e-06,1.33e-05
1802,4.14e-07,8.22e-06,1.33e-05
1803,4.15e-07,8.24e-06,1.33e-05
1804,4.1599999999999997e-07,8.26e-06,1.34e-05
1805,4.1599999999999997e-07,8.279999999999999e-06,1.34e-05
1806,4.17e-07,8.29e-06,1.34e-05
1807,4.18e-07,8.31e-06,1.34e-05
1808,4.19e-07,8.33e-06,1.35e-05
1809,4.19e-07,8.35e-06,1.35e-05
1810,4.2e-07,8.36e-06,1.35e-05
1811,4.2099999999999997e-07,8.39e-06,1.3599999999999999e-05
1812,4.22e-07,8.42e-06,1.3599999999999999e-05
1813,4.2299999999999996e-07,8.439999999999999e-06,1.3700000000000001e-05
1814,4.2499999999999995e-07,8.47e-06,1.3700000000000001e-05
1815,4.26e-07,8.5e-06,1.38e-05
1816,4.27e-07,8.52e-06,1.38e-05
1817,4.28e-07,8.550000000000001e-06,1.3899999999999999e-05
1818,4.2900000000000004e-07,8.580000000000001e-06,1.4e-05
1819,4.3e-07,8.6e-06,1.4e-05
1820,4.32e-07,8.63e-06,1.41e-05
1821,4.34e-07,8.69e-06,1.41e-05
1822,4.3600000000000004e-07,8.74e-06,1.4200000000000001e-05
1823,4.3800000000000003e-07,8.8e-06,1.4200000000000001e-05
1824,4.41e-07,8.85e-06,1.43e-05
1825,4.43e-07,8.91e-06,1.44e-05
1826,4.45e-07,8.97e-06,1.44e-05
1827,4.47e-07,9.02e-06,1.45e-05
1828,4.49e-07,9.08e-06,1.45e-05
1829,4.5199999999999997e-07,9.14e-06,1.46e-05
1830,4.5399999999999996e-07,9.19e-06,1.47e-05
1831,4.58e-07,9.28e-06,1.48e-05
1832,4.6200000000000003e-07,9.36e-06,1.49e-05
1833,4.6500000000000005e-07,9.45e-06,1.4999999999999999e-05
1834,4.6900000000000003e-07,9.53e-06,1.52e-05
1835,4.73e-07,9.62e-06,1.53e-05
1836,4.769999999999999e-07,9.71e-06,1.54e-05
1837,4.81e-07,9.79e-06,1.55e-05
1838,4.85e-07,9.88e-06,1.56e-05
1839,4.89e-07,9.96e-06,1.58e-05
1840,4.92e-07,1e-05,1.59e-05
1841,4.96e-07,1.01e-05,1.6e-05
1842,5.01e-07,1.02e-05,1.61e-05
1843,5.05e-07,1.03e-05,1.63e-05
1844,5.09e-07,1.0399999999999999e-05,1.6400000000000002e-05
1845,5.13e-07,1.0500000000000001e-05,1.65e-05
1846,5.17e-07,1.06e-05,1.67e-05
1847,5.21e-07,1.07e-05,1.68e-05
1848,5.25e-07,1.08e-05,1.6899999999999997e-05
1849,5.289999999999999e-07,1.09e-05,1.7100000000000002e-05
1850,5.33e-07,1.1e-05,1.72e-05
1851,5.389999999999999e-07,1.11e-05,1.74e-05
1852,5.45e-07,1.12e-05,1.7500000000000002e-05
1853,5.51e-07,1.1299999999999999e-05,1.77e-05
1854,5.57e-07,1.15e-05,1.78e-05
1855,5.63e-07,1.1599999999999999e-05,1.7999999999999997e-05
1856,5.699999999999999e-07,1.17e-05,1.8100000000000003e-05
1857,5.76e-07,1.18e-05,1.83e-05
