year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,6.1599999999999995e-06,0.0,1.6000000000000001e-06
1751,0.0,0.0,6.26e-06,2.02e-06,1.6299999999999999e-06
1752,0.0,0.0,6.36e-06,4.0299999999999995e-06,1.66e-06
1753,0.0,0.0,6.46e-06,6.05e-06,1.68e-06
1754,0.0,0.0,6.570000000000001e-06,8.07e-06,1.71e-06
1755,0.0,0.0,6.67e-06,1.01e-05,1.74e-06
1756,0.0,0.0,6.7699999999999996e-06,1.21e-05,1.76e-06
1757,0.0,0.0,6.88e-06,1.41e-05,1.79e-06
1758,0.0,0.0,6.98e-06,1.61e-05,1.82e-06
1759,0.0,0.0,7.08e-06,1.8100000000000003e-05,1.84e-06
1760,0.0,0.0,7.18e-06,2.02e-05,1.8699999999999999e-06
1761,0.0,0.0,7.3e-06,2.22e-05,1.9e-06
1762,0.0,0.0,7.42e-06,2.42e-05,1.93e-06
1763,0.0,0.0,7.54e-06,2.62e-05,1.96e-06
1764,0.0,0.0,7.66e-06,2.82e-05,2e-06
1765,0.0,0.0,7.78e-06,3.0200000000000002e-05,2.03e-06
1766,0.0,0.0,7.9e-06,3.23e-05,2.06e-06
1767,0.0,0.0,8.02e-06,3.43e-05,2.09e-06
1768,0.0,0.0,8.14e-06,3.63e-05,2.12e-06
1769,0.0,0.0,8.26e-06,3.83e-05,2.15e-06
1770,0.0,0.0,8.380000000000001e-06,4.0300000000000004e-05,2.18e-06
1771,0.0,0.0,8.52e-06,4.23e-05,2.2200000000000003e-06
1772,0.0,0.0,8.66e-06,4.44e-05,2.2499999999999996e-06
1773,0.0,0.0,8.8e-06,4.6399999999999996e-05,2.29e-06
1774,0.0,0.0,8.94e-06,4.84e-05,2.33e-06
1775,0.0,0.0,9.08e-06,5.04e-05,2.3600000000000003e-06
1776,0.0,0.0,9.220000000000002e-06,5.24e-05,2.4e-06
1777,0.0,0.0,9.36e-06,5.4399999999999994e-05,2.44e-06
1778,0.0,0.0,9.5e-06,5.6500000000000005e-05,2.47e-06
1779,0.0,0.0,9.64e-06,5.8500000000000006e-05,2.51e-06
1780,0.0,0.0,9.780000000000001e-06,6.05e-05,2.55e-06
1781,0.0,0.0,9.94e-06,6.25e-05,2.5899999999999998e-06
1782,0.0,0.0,1.01e-05,6.45e-05,2.63e-06
1783,0.0,0.0,1.03e-05,6.65e-05,2.6700000000000003e-06
1784,0.0,0.0,1.0399999999999999e-05,6.86e-05,2.7200000000000002e-06
1785,0.0,0.0,1.06e-05,7.06e-05,2.76e-06
1786,0.0,0.0,1.08e-05,7.26e-05,2.8e-06
1787,0.0,0.0,1.09e-05,7.46e-05,2.84e-06
1788,0.0,0.0,1.11e-05,7.66e-05,2.8900000000000003e-06
1789,0.0,0.0,1.12e-05,7.86e-05,2.93e-06
1790,0.0,0.0,1.1400000000000001e-05,8.07e-05,2.97e-06
1791,0.0,0.0,1.1599999999999999e-05,8.269999999999999e-05,3.0200000000000003e-06
1792,0.0,0.0,1.18e-05,8.47e-05,3.07e-06
1793,0.0,0.0,1.2e-05,8.669999999999999e-05,3.1199999999999998e-06
1794,0.0,0.0,1.22e-05,8.87e-05,3.17e-06
1795,0.0,0.0,1.24e-05,9.070000000000001e-05,3.22e-06
1796,0.0,0.0,1.25e-05,9.27e-05,3.27e-06
1797,0.0,0.0,1.2699999999999999e-05,9.48e-05,3.32e-06
1798,0.0,0.0,1.29e-05,9.68e-05,3.3700000000000003e-06
1799,0.0,0.0,1.31e-05,9.88e-05,3.42e-06
1800,0.0,0.0,1.33e-05,0.000101,3.47e-06
1801,0.0,0.0,1.35e-05,0.000103,3.52e-06
1802,0.0,0.0,1.38e-05,0.00010499999999999999,3.58e-06
1803,0.0,0.0,1.4e-05,0.000107,3.64e-06
1804,0.0,0.0,1.4200000000000001e-05,0.00010899999999999999,3.7e-06
1805,0.0,0.0,1.44e-05,0.000111,3.7499999999999997e-06
1806,0.0,0.0,1.46e-05,0.00011300000000000001,3.81e-06
1807,0.0,0.0,1.49e-05,0.000115,3.87e-06
1808,0.0,0.0,1.5100000000000001e-05,0.00011700000000000001,3.9300000000000005e-06
1809,0.0,0.0,1.53e-05,0.00011899999999999999,3.98e-06
1810,0.0,0.0,1.55e-05,0.000121,4.04e-06
1811,0.0,0.0,1.58e-05,0.000123,4.11e-06
1812,0.0,0.0,1.6e-05,0.000125,4.18e-06
1813,0.0,0.0,1.63e-05,0.000127,4.24e-06
1814,0.0,0.0,1.66e-05,0.000129,4.309999999999999e-06
1815,0.0,0.0,1.68e-05,0.000131,4.38e-06
1816,0.0,0.0,1.7100000000000002e-05,0.000133,4.45e-06
1817,0.0,0.0,1.73e-05,0.000135,4.51e-06
1818,0.0,0.0,1.76e-05,0.00013700000000000002,4.58e-06
1819,0.0,0.0,1.7899999999999998e-05,0.00013900000000000002,4.6499999999999995e-06
1820,0.0,0.0,1.8100000000000003e-05,0.00014099999999999998,4.7200000000000005e-06
1821,0.0,0.0,1.84e-05,0.00014299999999999998,4.79e-06
1822,0.0,0.0,1.87e-05,0.000145,4.87e-06
1823,0.0,0.0,1.9e-05,0.000147,4.95e-06
1824,0.0,0.0,1.93e-05,0.000149,5.03e-06
1825,0.0,0.0,1.96e-05,0.00015099999999999998,5.11e-06
1826,0.0,0.0,1.9900000000000003e-05,0.000153,5.19e-06
1827,0.0,0.0,2.02e-05,0.000155,5.27e-06
1828,0.0,0.0,2.05e-05,0.000157,5.35e-06
1829,0.0,0.0,2.0799999999999997e-05,0.00015900000000000002,5.420000000000001e-06
1830,0.0,0.0,2.11e-05,0.000161,5.5e-06
1831,0.0,0.0,2.1499999999999997e-05,0.000163,5.590000000000001e-06
1832,0.0,0.0,2.18e-05,0.000165,5.69e-06
1833,0.0,0.0,2.22e-05,0.00016700000000000002,5.7800000000000006e-06
1834,0.0,0.0,2.2499999999999998e-05,0.00016900000000000002,5.8700000000000005e-06
1835,0.0,0.0,2.29e-05,0.000171,5.96e-06
1836,0.0,0.0,2.3199999999999998e-05,0.00017299999999999998,6.05e-06
1837,0.0,0.0,2.36e-05,0.000175,6.14e-06
1838,0.0,0.0,2.39e-05,0.000177,6.2399999999999995e-06
1839,0.0,0.0,2.4299999999999998e-05,0.000179,6.3299999999999995e-06
1840,0.0,0.0,2.47e-05,0.00018099999999999998,6.42e-06
1841,0.0,0.0,2.51e-05,0.000183,6.53e-06
1842,0.0,0.0,2.55e-05,0.000185,6.629999999999999e-06
1843,0.0,0.0,2.59e-05,0.000188,6.740000000000001e-06
1844,0.0,0.0,2.63e-05,0.00019,6.8500000000000005e-06
1845,0.0,0.0,2.6700000000000002e-05,0.000192,6.9499999999999995e-06
1846,0.0,0.0,2.7099999999999998e-05,0.000194,7.06e-06
1847,0.0,0.0,2.75e-05,0.00019600000000000002,7.17e-06
1848,0.0,0.0,2.79e-05,0.00019800000000000002,7.28e-06
1849,0.0,0.0,2.8400000000000003e-05,0.0002,7.3800000000000005e-06
1850,2.23e-05,0.0,2.7799999999999998e-05,0.000202,0.0024500000000000004
1851,2.2700000000000003e-05,0.0,2.8400000000000003e-05,0.000204,0.0025
1852,2.3199999999999998e-05,0.0,2.9e-05,0.000206,0.0025499999999999997
1853,2.36e-05,0.0,2.95e-05,0.000208,0.00259
1854,2.4e-05,0.0,2.9999999999999997e-05,0.00020999999999999998,0.00264
1855,2.44e-05,0.0,3.05e-05,0.000212,0.00268
1856,2.48e-05,0.0,3.09e-05,0.000214,0.00272
1857,2.5e-05,0.0,3.12e-05,0.000216,0.00275
1858,2.53e-05,0.0,3.15e-05,0.00021799999999999999,0.00277
1859,2.5399999999999997e-05,0.0,3.17e-05,0.00022,0.00279
1860,2.55e-05,0.0,3.18e-05,0.000222,0.0028
1861,2.5600000000000002e-05,0.0,3.1899999999999996e-05,0.000224,0.0028
1862,2.5600000000000002e-05,0.0,3.1899999999999996e-05,0.00022600000000000002,0.00281
1863,2.5600000000000002e-05,0.0,3.2e-05,0.000228,0.00281
1864,2.5600000000000002e-05,0.0,3.2e-05,0.00023,0.00281
1865,2.5600000000000002e-05,0.0,3.2e-05,0.000232,0.00281
1866,2.57e-05,0.0,3.2e-05,0.00023400000000000002,0.00282
1867,2.57e-05,0.0,3.2e-05,0.000236,0.00282
1868,2.57e-05,0.0,3.2099999999999994e-05,0.00023799999999999998,0.00282
1869,2.57e-05,0.0,3.2099999999999994e-05,0.00023999999999999998,0.00282
1870,2.58e-05,0.0,3.22e-05,0.000242,0.00283
1871,2.62e-05,0.0,3.27e-05,0.000244,0.0028799999999999997
1872,2.7300000000000003e-05,0.0,3.4099999999999995e-05,0.000246,0.003
1873,2.8899999999999998e-05,0.0,3.61e-05,0.000248,0.00317
1874,3.09e-05,0.0,3.85e-05,0.00025,0.0033900000000000002
1875,3.3e-05,0.0,4.12e-05,0.000252,0.00362
1876,3.52e-05,0.0,4.39e-05,0.000254,0.0038599999999999997
1877,3.73e-05,0.0,4.66e-05,0.000256,0.00409
1878,3.91e-05,0.0,4.8899999999999996e-05,0.000258,0.0043
1879,4.06e-05,0.0,5.06e-05,0.00026000000000000003,0.00445
1880,4.15e-05,0.0,5.17e-05,0.000262,0.00455
1881,4.19e-05,0.0,5.23e-05,0.000264,0.0046
1882,4.24e-05,0.0,5.2900000000000005e-05,0.000266,0.0046500000000000005
1883,4.27e-05,0.0,5.33e-05,0.000268,0.004690000000000001
1884,4.2999999999999995e-05,0.0,5.37e-05,0.00027,0.004719999999999999
1885,4.3299999999999995e-05,0.0,5.4e-05,0.000272,0.00475
1886,4.35e-05,0.0,5.43e-05,0.00027400000000000005,0.00478
1887,4.38e-05,0.0,5.4600000000000006e-05,0.00027600000000000004,0.0048
1888,4.4e-05,0.0,5.5e-05,0.00027800000000000004,0.00483
1889,4.43e-05,0.0,5.53e-05,0.00028000000000000003,0.00487
1890,5.11e-05,0.0,5.58e-05,0.00028199999999999997,0.00543
1891,5.3e-05,0.0,5.63e-05,0.00028399999999999996,0.00518
1892,5.5e-05,0.0,5.67e-05,0.00028599999999999996,0.00497
1893,5.72e-05,0.0,5.72e-05,0.00028799999999999995,0.00479
1894,5.9499999999999996e-05,0.0,5.77e-05,0.00029,0.00463
1895,6.19e-05,0.0,5.83e-05,0.000292,0.0045
1896,6.45e-05,0.0,5.88e-05,0.000294,0.0044
1897,6.72e-05,0.0,5.94e-05,0.000296,0.00433
1898,7.000000000000001e-05,0.0,6.0100000000000004e-05,0.000298,0.00428
1899,7.290000000000001e-05,0.0,6.08e-05,0.0003,0.00425
1900,7.59e-05,0.0,6.15e-05,0.00030199999999999997,0.00424
1901,7.929999999999999e-05,0.0,6.24e-05,0.000304,0.00428
1902,8.309999999999999e-05,0.0,6.34e-05,0.000306,0.00438
1903,8.730000000000001e-05,0.0,6.46e-05,0.000308,0.00454
1904,9.17e-05,0.0,6.58e-05,0.000311,0.00474
1905,9.62e-05,0.0,6.72e-05,0.000313,0.00497
1906,0.000101,0.0,6.86e-05,0.000315,0.0052
1907,0.00010499999999999999,0.0,7.000000000000001e-05,0.000317,0.00542
1908,0.00010899999999999999,0.0,7.13e-05,0.000319,0.00562
1909,0.000112,0.0,7.27e-05,0.000321,0.00579
1910,0.000115,0.0,7.4e-05,0.000323,0.005900000000000001
1911,0.00011700000000000001,0.0,7.52e-05,0.000325,0.00597
1912,0.00011999999999999999,0.0,7.64e-05,0.00032700000000000003,0.00604
1913,0.000122,0.0,7.77e-05,0.00032900000000000003,0.00609
1914,0.000125,0.0,7.89e-05,0.000331,0.00614
1915,0.000127,0.0,8.010000000000001e-05,0.000333,0.00619
1916,0.000129,0.0,8.14e-05,0.000335,0.00623
1917,0.00013000000000000002,0.0,8.26e-05,0.000337,0.0062699999999999995
1918,0.000131,0.0,8.38e-05,0.000339,0.00632
1919,0.000132,0.0,8.51e-05,0.00034100000000000005,0.00637
1920,0.000132,0.0,8.63e-05,0.00034300000000000004,0.00643
1921,0.000132,0.0,8.76e-05,0.000345,0.00651
1922,0.000131,0.0,8.9e-05,0.000347,0.0066
1923,0.00013000000000000002,0.0,9.03e-05,0.00034899999999999997,0.0067
1924,0.000128,0.0,9.17e-05,0.00035099999999999997,0.0068
1925,0.000126,0.0,9.3e-05,0.00035299999999999996,0.006900000000000001
1926,0.000124,0.0,9.429999999999999e-05,0.00035499999999999996,0.007
1927,0.000122,0.0,9.57e-05,0.000357,0.00709
1928,0.000121,0.0,9.69e-05,0.000359,0.0071600000000000006
1929,0.00011999999999999999,0.0,9.810000000000001e-05,0.000361,0.0072
1930,0.00011999999999999999,0.0,9.93e-05,0.000363,0.00722
1931,0.00011999999999999999,8.59e-07,0.0001,0.000365,0.00721
1932,0.000122,3.25e-06,0.000101,0.000367,0.00719
1933,0.000124,6.910000000000001e-06,0.000102,0.00036899999999999997,0.00717
1934,0.000127,1.1599999999999999e-05,0.000103,0.000371,0.00714
1935,0.000131,1.6899999999999997e-05,0.000103,0.000373,0.00711
1936,0.000135,2.2800000000000002e-05,0.000104,0.000375,0.00707
1937,0.00013900000000000002,2.88e-05,0.00010499999999999999,0.000377,0.00704
1938,0.00014399999999999998,3.47e-05,0.000106,0.000379,0.007019999999999999
1939,0.000149,4.0300000000000004e-05,0.000107,0.000381,0.007
1940,0.000153,4.5199999999999994e-05,0.00010899999999999999,0.000383,0.007
1941,0.000158,5e-05,0.00011300000000000001,0.00038500000000000003,0.00711
1942,0.000164,5.5100000000000004e-05,0.00011999999999999999,0.00038700000000000003,0.00741
1943,0.00017,6.05e-05,0.00013000000000000002,0.000389,0.00787
1944,0.000176,6.59e-05,0.00014199999999999998,0.000391,0.00843
1945,0.000183,7.12e-05,0.000155,0.000393,0.00906
1946,0.000191,7.620000000000001e-05,0.00016800000000000002,0.000395,0.009710000000000002
1947,0.000199,8.08e-05,0.00018099999999999998,0.000397,0.0103
1948,0.000207,8.48e-05,0.000194,0.000399,0.0109
