year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,1.34e-13
1922,4.98e-13
1923,1.03e-12
1924,1.6899999999999999e-12
1925,2.3899999999999997e-12
1926,3.1e-12
1927,3.75e-12
1928,4.29e-12
1929,4.6500000000000006e-12
1930,4.79e-12
1931,4.68e-12
1932,4.39e-12
1933,3.95e-12
1934,3.43e-12
1935,2.8499999999999998e-12
1936,2.28e-12
1937,1.76e-12
1938,1.32e-12
1939,1.03e-12
1940,9.19e-13
1941,9.38e-13
1942,9.9e-13
1943,1.07e-12
1944,1.18e-12
1945,1.31e-12
1946,1.4499999999999999e-12
1947,1.61e-12
1948,1.78e-12
1949,1.95e-12
1950,2.1200000000000003e-12
1951,2.29e-12
1952,2.4899999999999997e-12
1953,2.72e-12
1954,2.9600000000000003e-12
1955,3.22e-12
1956,3.51e-12
1957,3.8199999999999995e-12
1958,4.15e-12
1959,4.5e-12
1960,4.87e-12
1961,5.2899999999999995e-12
1962,5.79e-12
1963,6.349999999999999e-12
1964,6.99e-12
1965,7.68e-12
1966,8.44e-12
1967,9.25e-12
1968,1.01e-11
1969,1.0999999999999999e-11
1970,1.0999999999999999e-11
1971,2.81e-11
1972,7.18e-11
1973,1.84e-10
1974,4.7e-10
1975,1.2e-09
1976,3.07e-09
1977,7.859999999999999e-09
1978,2.01e-08
1979,5.1400000000000004e-08
1980,1.3200000000000002e-07
1981,3.37e-07
1982,8.61e-07
1983,2.2e-06
1984,5.6299999999999995e-06
1985,1.44e-05
1986,3.68e-05
1987,9.42e-05
1988,0.000241
1989,0.000617
1990,0.00147
1991,0.0032400000000000003
1992,0.00534
1993,0.026
1994,0.0703
1995,0.172
1996,0.274
1997,0.37
1998,0.444
1999,0.611
2000,1.07
2001,1.56
2002,2.12
2003,2.7
2004,3.15
2005,3.8
2006,4.5
2007,4.94
2008,5.41
2009,4.61
2010,6.03
2011,6.59
2012,6.87
2013,7.26
2014,7.95
2015,6.83
2016,5.59
2017,5.69
2018,3.8
2019,3.74
