year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,8.48e-05
1851,8.48e-05
1852,8.48e-05
1853,8.48e-05
1854,8.48e-05
1855,8.48e-05
1856,8.48e-05
1857,8.48e-05
1858,8.48e-05
1859,8.48e-05
1860,8.48e-05
1861,8.48e-05
1862,8.48e-05
1863,8.49e-05
1864,8.49e-05
1865,8.49e-05
1866,8.49e-05
1867,8.49e-05
1868,8.49e-05
1869,8.49e-05
1870,8.49e-05
1871,8.49e-05
1872,8.49e-05
1873,8.49e-05
1874,8.49e-05
1875,8.49e-05
1876,8.49e-05
1877,8.49e-05
1878,8.49e-05
1879,8.49e-05
1880,8.49e-05
1881,8.49e-05
1882,8.49e-05
1883,8.49e-05
1884,8.49e-05
1885,8.5e-05
1886,8.5e-05
1887,8.5e-05
1888,8.5e-05
1889,8.5e-05
1890,8.5e-05
1891,9.719999999999999e-05
1892,0.000131
1893,0.000182
1894,0.000246
1895,0.00032
1896,0.000398
1897,0.00047599999999999997
1898,0.0005510000000000001
1899,0.000617
1900,0.0006720000000000001
1901,0.000717
1902,0.000757
1903,0.000795
1904,0.0008309999999999999
1905,0.000866
1906,0.000901
1907,0.0009379999999999999
1908,0.000976
1909,0.00102
1910,0.00107
1911,0.0011200000000000001
1912,0.00117
1913,0.00123
1914,0.0012900000000000001
1915,0.00135
1916,0.0014199999999999998
1917,0.00149
1918,0.00156
1919,0.00164
1920,0.00172
1921,0.00209
1922,0.00296
1923,0.00424
1924,0.0058200000000000005
1925,0.00762
1926,0.009529999999999999
1927,0.0115
1928,0.013300000000000001
1929,0.015
1930,0.016399999999999998
1931,0.0176
1932,0.018699999999999998
1933,0.0198
1934,0.0209
1935,0.0219
1936,0.023
1937,0.024
1938,0.0251
1939,0.026199999999999998
1940,0.0273
1941,0.028399999999999998
1942,0.0296
1943,0.030899999999999997
1944,0.0322
1945,0.0335
1946,0.0349
1947,0.0365
1948,0.0381
1949,0.039799999999999995
1950,0.0416
1951,0.0436
1952,0.0458
1953,0.0482
1954,0.0507
1955,0.053399999999999996
1956,0.0562
1957,0.059
1958,0.062
1959,0.06509999999999999
1960,0.0682
1961,0.0716
1962,0.07540000000000001
1963,0.07970000000000001
1964,0.0841
1965,0.0886
1966,0.093
1967,0.09709999999999999
1968,0.101
1969,0.104
1970,0.107
1971,0.109
1972,0.111
1973,0.114
1974,0.116
1975,0.118
1976,0.12
1977,0.122
1978,0.123
1979,0.124
1980,0.125
1981,0.126
1982,0.126
1983,0.125
1984,0.125
1985,0.124
1986,0.123
1987,0.123
1988,0.128
1989,0.11
1990,0.123
1991,0.122
1992,0.117
1993,0.125
1994,0.132
1995,0.149
1996,0.139
1997,0.15
1998,0.151
1999,0.145
2000,0.152
2001,0.169
2002,0.178
2003,0.172
2004,0.176
2005,0.161
2006,0.166
2007,0.158
2008,0.14
2009,0.014199999999999999
2010,0.0135
2011,0.0128
2012,0.012199999999999999
2013,0.0116
2014,0.011
2015,0.0104
2016,0.00991
2017,0.00942
2018,0.00895
2019,0.0085
2020,0.00807
2021,0.00767
2022,0.00729
2023,0.00691
