year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,6.42,0.0,1.26,0.0,2.36
1751,6.43,0.0,1.26,0.0013700000000000001,2.36
1752,6.43,0.0,1.26,0.0027400000000000002,2.37
1753,6.43,0.0,1.26,0.0040999999999999995,2.37
1754,6.44,0.0,1.26,0.00547,2.37
1755,6.44,0.0,1.26,0.00684,2.37
1756,6.44,0.0,1.26,0.00821,2.38
1757,6.45,0.0,1.26,0.00957,2.38
1758,6.45,0.0,1.27,0.0109,2.38
1759,6.45,0.0,1.27,0.0123,2.38
1760,6.45,0.0,1.27,0.013699999999999999,2.39
1761,6.46,0.0,1.27,0.015,2.39
1762,6.46,0.0,1.27,0.016399999999999998,2.39
1763,6.46,0.0,1.27,0.0178,2.39
1764,6.47,0.0,1.27,0.019100000000000002,2.4
1765,6.47,0.0,1.27,0.0205,2.4
1766,6.47,0.0,1.28,0.0219,2.4
1767,6.48,0.0,1.28,0.0233,2.4
1768,6.48,0.0,1.28,0.0246,2.41
1769,6.48,0.0,1.28,0.026,2.41
1770,6.48,0.0,1.28,0.027399999999999997,2.41
1771,6.49,0.0,1.28,0.0287,2.41
1772,6.49,0.0,1.28,0.030100000000000002,2.42
1773,6.49,0.0,1.29,0.0315,2.42
1774,6.49,0.0,1.29,0.032799999999999996,2.42
1775,6.5,0.0,1.29,0.0342,2.42
1776,6.5,0.0,1.29,0.0356,2.43
1777,6.5,0.0,1.29,0.036899999999999995,2.43
1778,6.5,0.0,1.29,0.038299999999999994,2.43
1779,6.51,0.0,1.29,0.039700000000000006,2.43
1780,6.51,0.0,1.29,0.041,2.43
1781,6.51,0.0,1.3,0.0424,2.44
1782,6.51,0.0,1.3,0.0438,2.44
1783,6.52,0.0,1.3,0.0451,2.44
1784,6.52,0.0,1.3,0.0465,2.44
1785,6.52,0.0,1.3,0.0479,2.45
1786,6.52,0.0,1.3,0.0492,2.45
1787,6.52,0.0,1.3,0.0506,2.45
