year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,4.19e-05,0.0,0.000124
1751,0.0,0.0,4.19e-05,5.16e-06,0.000124
1752,0.0,0.0,4.19e-05,1.03e-05,0.000125
1753,0.0,0.0,4.2000000000000004e-05,1.55e-05,0.000125
1754,0.0,0.0,4.2000000000000004e-05,2.06e-05,0.000125
1755,0.0,0.0,4.21e-05,2.58e-05,0.000125
1756,0.0,0.0,4.21e-05,3.1e-05,0.000125
1757,0.0,0.0,4.22e-05,3.61e-05,0.000125
1758,0.0,0.0,4.22e-05,4.13e-05,0.000125
1759,0.0,0.0,4.22e-05,4.6399999999999996e-05,0.000125
1760,0.0,0.0,4.23e-05,5.16e-05,0.000126
1761,0.0,0.0,4.23e-05,5.6800000000000005e-05,0.000126
1762,0.0,0.0,4.24e-05,6.19e-05,0.000126
1763,0.0,0.0,4.24e-05,6.71e-05,0.000126
1764,0.0,0.0,4.25e-05,7.230000000000001e-05,0.000126
1765,0.0,0.0,4.25e-05,7.74e-05,0.000126
1766,0.0,0.0,4.25e-05,8.26e-05,0.000126
1767,0.0,0.0,4.26e-05,8.77e-05,0.000126
1768,0.0,0.0,4.26e-05,9.29e-05,0.000127
1769,0.0,0.0,4.27e-05,9.810000000000001e-05,0.000127
1770,0.0,0.0,4.27e-05,0.000103,0.000127
1771,0.0,0.0,4.28e-05,0.000108,0.000127
1772,0.0,0.0,4.28e-05,0.000114,0.000127
1773,0.0,0.0,4.28e-05,0.00011899999999999999,0.000127
1774,0.0,0.0,4.29e-05,0.000124,0.000127
1775,0.0,0.0,4.29e-05,0.000129,0.000127
1776,0.0,0.0,4.2999999999999995e-05,0.000134,0.000128
1777,0.0,0.0,4.2999999999999995e-05,0.00013900000000000002,0.000128
1778,0.0,0.0,4.31e-05,0.000145,0.000128
1779,0.0,0.0,4.31e-05,0.00015,0.000128
1780,0.0,0.0,4.31e-05,0.000155,0.000128
1781,0.0,0.0,4.32e-05,0.00016,0.000128
1782,0.0,0.0,4.32e-05,0.000165,0.000128
1783,0.0,0.0,4.3299999999999995e-05,0.00017,0.000128
1784,0.0,0.0,4.3299999999999995e-05,0.000175,0.000129
1785,0.0,0.0,4.34e-05,0.00018099999999999998,0.000129
1786,0.0,0.0,4.34e-05,0.000186,0.000129
1787,0.0,0.0,4.34e-05,0.000191,0.000129
1788,0.0,0.0,4.35e-05,0.00019600000000000002,0.000129
1789,0.0,0.0,4.35e-05,0.000201,0.000129
