year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,2.55e-05,9.760000000000001e-21,0.00033600000000000004
1751,0.0,0.0,2.5600000000000002e-05,1.6900000000000001e-06,0.00033800000000000003
1752,0.0,0.0,2.57e-05,3.3800000000000002e-06,0.000339
1753,0.0,0.0,2.58e-05,5.07e-06,0.00034100000000000005
1754,0.0,0.0,2.59e-05,6.75e-06,0.000342
1755,0.0,0.0,2.6e-05,8.439999999999999e-06,0.00034300000000000004
1756,0.0,0.0,2.61e-05,1.01e-05,0.000345
1757,0.0,0.0,2.62e-05,1.18e-05,0.00034599999999999995
1758,0.0,0.0,2.64e-05,1.35e-05,0.000348
1759,0.0,0.0,2.65e-05,1.52e-05,0.00034899999999999997
1760,0.0,0.0,2.66e-05,1.6899999999999997e-05,0.00035
1761,0.0,0.0,2.6700000000000002e-05,1.8599999999999998e-05,0.000352
1762,0.0,0.0,2.68e-05,2.03e-05,0.00035299999999999996
1763,0.0,0.0,2.69e-05,2.2e-05,0.00035499999999999996
1764,0.0,0.0,2.7e-05,2.36e-05,0.000356
1765,0.0,0.0,2.7099999999999998e-05,2.53e-05,0.000358
1766,0.0,0.0,2.7199999999999997e-05,2.7e-05,0.000359
1767,0.0,0.0,2.7300000000000003e-05,2.87e-05,0.000361
1768,0.0,0.0,2.75e-05,3.04e-05,0.00036199999999999996
1769,0.0,0.0,2.76e-05,3.2099999999999994e-05,0.000364
1770,0.0,0.0,2.77e-05,3.3799999999999995e-05,0.000365
1771,0.0,0.0,2.7799999999999998e-05,3.5499999999999996e-05,0.000367
1772,0.0,0.0,2.79e-05,3.7199999999999996e-05,0.000368
1773,0.0,0.0,2.8e-05,3.88e-05,0.00037
1774,0.0,0.0,2.81e-05,4.05e-05,0.000371
1775,0.0,0.0,2.83e-05,4.22e-05,0.000373
1776,0.0,0.0,2.8400000000000003e-05,4.39e-05,0.000374
1777,0.0,0.0,2.85e-05,4.5600000000000004e-05,0.000376
1778,0.0,0.0,2.86e-05,4.7300000000000005e-05,0.000377
1779,0.0,0.0,2.87e-05,4.9000000000000005e-05,0.000379
1780,0.0,0.0,2.88e-05,5.07e-05,0.00038
1781,0.0,0.0,2.9e-05,5.24e-05,0.000382
1782,0.0,0.0,2.91e-05,5.4e-05,0.000384
1783,0.0,0.0,2.92e-05,5.57e-05,0.00038500000000000003
1784,0.0,0.0,2.93e-05,5.74e-05,0.00038700000000000003
1785,0.0,0.0,2.94e-05,5.91e-05,0.000388
1786,0.0,0.0,2.96e-05,6.08e-05,0.00039
1787,0.0,0.0,2.97e-05,6.25e-05,0.00039200000000000004
1788,0.0,0.0,2.98e-05,6.419999999999999e-05,0.000393
1789,0.0,0.0,2.99e-05,6.59e-05,0.000395
1790,0.0,0.0,3.01e-05,6.75e-05,0.00039600000000000003
