year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0141,0.0,0.0109,0.0,0.266
1751,0.014199999999999999,0.0,0.011,3.11e-05,0.268
1752,0.0143,0.0,0.011,6.23e-05,0.269
1753,0.0143,0.0,0.0111,9.34e-05,0.27
1754,0.0144,0.0,0.0112,0.000125,0.272
1755,0.0145,0.0,0.0112,0.000156,0.273
1756,0.0145,0.0,0.011300000000000001,0.000187,0.275
1757,0.0146,0.0,0.011300000000000001,0.00021799999999999999,0.276
1758,0.0147,0.0,0.0114,0.000249,0.277
1759,0.0147,0.0,0.0114,0.00028000000000000003,0.279
1760,0.0148,0.0,0.0115,0.000311,0.28
1761,0.0149,0.0,0.0116,0.000342,0.282
1762,0.0149,0.0,0.0116,0.000374,0.283
1763,0.015,0.0,0.011699999999999999,0.00040500000000000003,0.285
1764,0.015099999999999999,0.0,0.011699999999999999,0.00043599999999999997,0.286
1765,0.015099999999999999,0.0,0.011800000000000001,0.000467,0.288
1766,0.0152,0.0,0.0119,0.000498,0.289
1767,0.015300000000000001,0.0,0.0119,0.0005290000000000001,0.291
1768,0.015300000000000001,0.0,0.012,0.0005600000000000001,0.292
1769,0.0154,0.0,0.0121,0.0005909999999999999,0.294
1770,0.0155,0.0,0.0121,0.000623,0.295
1771,0.0155,0.0,0.012199999999999999,0.0006540000000000001,0.297
1772,0.0156,0.0,0.012199999999999999,0.0006850000000000001,0.298
1773,0.0157,0.0,0.0123,0.000716,0.3
1774,0.0158,0.0,0.0124,0.000747,0.301
1775,0.0158,0.0,0.0124,0.000778,0.303
1776,0.0159,0.0,0.0125,0.000809,0.304
1777,0.016,0.0,0.0126,0.0008399999999999999,0.306
1778,0.016,0.0,0.0126,0.0008719999999999999,0.307
1779,0.0161,0.0,0.0127,0.000903,0.309
1780,0.0162,0.0,0.0128,0.000934,0.311
1781,0.016300000000000002,0.0,0.0128,0.0009649999999999999,0.312
1782,0.016300000000000002,0.0,0.0129,0.000996,0.314
1783,0.016399999999999998,0.0,0.013,0.00103,0.315
1784,0.0165,0.0,0.013,0.00106,0.317
1785,0.0165,0.0,0.013099999999999999,0.00109,0.319
1786,0.0166,0.0,0.0132,0.0011200000000000001,0.32
1787,0.0167,0.0,0.0132,0.00115,0.322
1788,0.016800000000000002,0.0,0.013300000000000001,0.0011799999999999998,0.324
1789,0.016800000000000002,0.0,0.0134,0.00121,0.325
1790,0.0169,0.0,0.0134,0.00125,0.327
1791,0.017,0.0,0.0135,0.00128,0.329
1792,0.0171,0.0,0.0136,0.00131,0.33
1793,0.0171,0.0,0.0136,0.00134,0.332
1794,0.0172,0.0,0.013699999999999999,0.0013700000000000001,0.334
1795,0.0173,0.0,0.013800000000000002,0.0014,0.335
1796,0.0173,0.0,0.013800000000000002,0.0014299999999999998,0.337
1797,0.0174,0.0,0.013900000000000001,0.00146,0.339
1798,0.0175,0.0,0.014,0.00149,0.341
1799,0.0176,0.0,0.0141,0.0015300000000000001,0.342
1800,0.0176,0.0,0.0141,0.00156,0.344
1801,0.0177,0.0,0.014199999999999999,0.00159,0.346
1802,0.0178,0.0,0.0143,0.0016200000000000001,0.348
1803,0.0179,0.0,0.0144,0.00165,0.349
1804,0.0179,0.0,0.0144,0.0016799999999999999,0.351
1805,0.018,0.0,0.0145,0.00171,0.353
1806,0.0181,0.0,0.0146,0.00174,0.355
1807,0.0182,0.0,0.0146,0.00177,0.357
1808,0.0183,0.0,0.0147,0.00181,0.359
1809,0.0183,0.0,0.0148,0.00184,0.36
1810,0.0184,0.0,0.0149,0.0018700000000000001,0.362
1811,0.0185,0.0,0.0149,0.0019,0.364
1812,0.018600000000000002,0.0,0.015,0.0019299999999999999,0.366
1813,0.018600000000000002,0.0,0.015099999999999999,0.00196,0.368
1814,0.018699999999999998,0.0,0.0152,0.00199,0.37
1815,0.0188,0.0,0.015300000000000001,0.00202,0.372
1816,0.0189,0.0,0.015300000000000001,0.0020499999999999997,0.374
1817,0.0189,0.0,0.0154,0.00209,0.376
1818,0.019,0.0,0.0155,0.00212,0.377
1819,0.019100000000000002,0.0,0.0156,0.00215,0.379
1820,0.0192,0.0,0.0157,0.00218,0.381
1821,0.0202,0.0,0.0165,0.00221,0.403
1822,0.0213,0.0,0.0174,0.0022400000000000002,0.424
1823,0.0224,0.0,0.0183,0.00227,0.446
1824,0.023399999999999997,0.0,0.0192,0.0023,0.468
1825,0.0245,0.0,0.0201,0.00233,0.489
1826,0.0255,0.0,0.021,0.00237,0.511
1827,0.026600000000000002,0.0,0.0219,0.0024,0.532
1828,0.027600000000000003,0.0,0.022699999999999998,0.0024300000000000003,0.554
1829,0.0287,0.0,0.023600000000000003,0.00246,0.576
1830,0.0297,0.0,0.0245,0.00249,0.597
1831,0.0304,0.0,0.0251,0.00252,0.612
1832,0.031100000000000003,0.0,0.0257,0.0025499999999999997,0.627
1833,0.0318,0.0,0.0264,0.0025800000000000003,0.642
