year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0025
1851,0.0025
1852,0.0025
1853,0.0025
1854,0.0025
1855,0.0025
1856,0.0025
1857,0.0025
1858,0.0025
1859,0.0025
1860,0.0025
1861,0.0025
1862,0.0025
1863,0.0025
1864,0.0025099999999999996
1865,0.0025099999999999996
1866,0.0025099999999999996
1867,0.0025099999999999996
1868,0.0025099999999999996
1869,0.0025099999999999996
1870,0.0025099999999999996
1871,0.0025099999999999996
1872,0.0025099999999999996
1873,0.0025099999999999996
1874,0.0025099999999999996
1875,0.0025099999999999996
1876,0.0025099999999999996
1877,0.0025099999999999996
1878,0.0025099999999999996
1879,0.0025099999999999996
1880,0.0025099999999999996
1881,0.0025099999999999996
1882,0.0025099999999999996
1883,0.0025099999999999996
1884,0.0025099999999999996
1885,0.0025099999999999996
1886,0.0025099999999999996
1887,0.0025099999999999996
1888,0.0025099999999999996
1889,0.0025099999999999996
1890,0.0025099999999999996
1891,0.00294
1892,0.00411
1893,0.005900000000000001
1894,0.008140000000000001
1895,0.0107
1896,0.0134
1897,0.0162
1898,0.0188
1899,0.0211
1900,0.023
1901,0.0246
1902,0.026
1903,0.0273
1904,0.0286
1905,0.0298
1906,0.031
1907,0.032299999999999995
1908,0.033600000000000005
1909,0.0351
1910,0.0367
1911,0.0385
1912,0.0404
1913,0.0424
1914,0.0445
1915,0.046799999999999994
1916,0.049100000000000005
1917,0.0516
1918,0.054200000000000005
1919,0.0569
1920,0.0597
1921,0.071
1922,0.09709999999999999
1923,0.135
1924,0.183
1925,0.236
1926,0.293
1927,0.351
1928,0.406
1929,0.456
1930,0.498
1931,0.534
1932,0.569
1933,0.603
1934,0.636
1935,0.668
1936,0.7
1937,0.732
1938,0.764
1939,0.797
1940,0.83
1941,0.864
1942,0.899
1943,0.935
1944,0.972
1945,1.01
1946,1.05
1947,1.1
1948,1.14
1949,1.2
1950,1.25
1951,1.31
1952,1.37
1953,1.44
1954,1.52
1955,1.6
1956,1.68
1957,1.77
1958,1.86
1959,1.95
1960,2.04
1961,2.14
1962,2.26
1963,2.38
1964,2.51
1965,2.65
1966,2.78
1967,2.91
1968,3.02
1969,3.12
1970,3.2
1971,3.27
1972,3.34
1973,3.41
1974,3.48
1975,3.54
1976,3.6
1977,3.66
1978,3.71
1979,3.75
1980,3.78
1981,3.79
1982,3.8
1983,3.8
1984,3.78
1985,3.77
1986,3.75
1987,3.74
1988,3.73
1989,3.65
1990,2.3
1991,2.11
1992,1.47
1993,1.53
1994,1.62
1995,1.93
1996,1.93
1997,1.93
1998,1.9
1999,1.74
2000,1.44
2001,1.23
2002,0.962
2003,0.455
2004,0.391
2005,0.409
2006,0.485
2007,0.611
2008,0.838
2009,0.821
2010,0.879
2011,0.959
2012,1.04
2013,1.13
2014,1.19
2015,1.3
2016,1.44
2017,1.59
2018,1.65
2019,1.68
2020,1.74
2021,1.79
2022,1.84
2023,1.89
