year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.33,0.0,0.758,0.0,3.87
1751,0.332,0.0,0.763,0.0,3.9
1752,0.334,0.0,0.769,0.0,3.93
1753,0.337,0.0,0.774,0.0,3.95
1754,0.339,0.0,0.779,0.0,3.98
1755,0.341,0.0,0.785,0.0,4.01
1756,0.344,0.0,0.79,0.0,4.04
1757,0.346,0.0,0.796,0.0,4.06
1758,0.348,0.0,0.801,0.0,4.09
1759,0.351,0.0,0.806,0.0,4.12
1760,0.353,0.0,0.812,0.0,4.15
1761,0.356,0.0,0.818,0.0,4.18
1762,0.358,0.0,0.823,0.0,4.21
1763,0.361,0.0,0.829,0.0,4.24
1764,0.363,0.0,0.835,0.0,4.26
1765,0.366,0.0,0.841,0.0,4.29
1766,0.368,0.0,0.847,0.0,4.32
1767,0.371,0.0,0.852,0.0,4.35
1768,0.373,0.0,0.858,0.0,4.38
1769,0.376,0.0,0.864,0.0,4.41
1770,0.378,0.0,0.87,0.0,4.44
1771,0.381,0.0,0.876,0.0,4.47
1772,0.384,0.0,0.882,0.0,4.51
1773,0.386,0.0,0.888,0.0,4.54
1774,0.389,0.0,0.895,0.0,4.57
1775,0.392,0.0,0.901,0.0,4.6
1776,0.395,0.0,0.907,0.0,4.63
1777,0.397,0.0,0.913,0.0,4.66
1778,0.4,0.0,0.919,0.0,4.7
1779,0.403,0.0,0.926,0.0,4.73
1780,0.405,0.0,0.932,0.0,4.76
1781,0.408,0.0,0.939,0.0,4.79
1782,0.411,0.0,0.945,0.0,4.83
1783,0.414,0.0,0.952,0.0,4.86
1784,0.417,0.0,0.959,0.0,4.9
1785,0.42,0.0,0.965,0.0,4.93
1786,0.423,0.0,0.972,0.0,4.96
1787,0.426,0.0,0.979,0.0,5.0
1788,0.428,0.0,0.985,0.0,5.03
1789,0.431,0.0,0.992,0.0,5.07
1790,0.434,0.0,0.998,0.0,5.1
1791,0.437,0.0,1.01,0.0,5.14
1792,0.44,0.0,1.01,0.0,5.17
1793,0.444,0.0,1.02,0.0,5.21
1794,0.447,0.0,1.03,0.0,5.25
1795,0.45,0.0,1.03,0.0,5.28
1796,0.453,0.0,1.04,0.0,5.32
1797,0.456,0.0,1.05,0.0,5.35
1798,0.459,0.0,1.06,0.0,5.39
1799,0.462,0.0,1.06,0.0,5.43
1800,0.465,0.0,1.07,0.0,5.46
1801,0.469,0.0,1.08,0.0,5.5
1802,0.472,0.0,1.09,0.0,5.54
1803,0.475,0.0,1.09,0.0,5.58
1804,0.478,0.0,1.1,0.0,5.62
1805,0.482,0.0,1.11,0.0,5.66
1806,0.485,0.0,1.12,0.0,5.7
1807,0.488,0.0,1.12,0.0,5.74
1808,0.492,0.0,1.13,0.0,5.78
1809,0.495,0.0,1.14,0.0,5.82
1810,0.498,0.0,1.15,0.0,5.85
1811,0.501,0.0,1.15,0.0,5.9
1812,0.505,0.0,1.16,0.0,5.94
1813,0.508,0.0,1.17,0.0,5.98
1814,0.512,0.0,1.18,0.0,6.02
1815,0.515,0.0,1.19,0.0,6.06
1816,0.519,0.0,1.2,0.0,6.11
1817,0.522,0.0,1.2,0.0,6.15
1818,0.526,0.0,1.21,0.0,6.19
1819,0.529,0.0,1.22,0.0,6.23
1820,0.532,0.0,1.23,0.0,6.27
1821,0.538,0.0,1.24,0.0,6.34
1822,0.544,0.0,1.25,0.0,6.41
1823,0.549,0.0,1.27,0.0,6.48
1824,0.555,0.0,1.28,0.0,6.55
1825,0.561,0.0,1.3,0.0,6.61
1826,0.566,0.0,1.31,0.0,6.68
1827,0.572,0.0,1.32,0.0,6.75
1828,0.578,0.0,1.34,0.0,6.82
1829,0.583,0.0,1.35,0.0,6.89
1830,0.589,0.0,1.36,0.0,6.96
1831,0.592,0.0,1.37,0.0,7.0
1832,0.596,0.0,1.38,0.0,7.04
1833,0.599,0.0,1.39,0.0,7.09
1834,0.603,0.0,1.4,0.0,7.13
1835,0.606,0.0,1.4,0.0,7.17
1836,0.61,0.0,1.41,0.0,7.22
1837,0.613,0.0,1.42,0.0,7.26
1838,0.616,0.0,1.43,0.0,7.31
1839,0.62,0.0,1.44,0.0,7.35
1840,0.623,0.0,1.45,0.0,7.39
1841,0.627,0.0,1.46,0.0,7.44
1842,0.631,0.0,1.47,0.0,7.48
1843,0.634,0.0,1.47,0.0,7.53
1844,0.638,0.0,1.48,0.0,7.58
1845,0.641,0.0,1.49,0.0,7.62
1846,0.645,0.0,1.5,0.0,7.67
1847,0.649,0.0,1.51,0.0,7.72
1848,0.652,0.0,1.52,0.0,7.76
1849,0.656,0.0,1.53,0.0,7.81
1850,0.669,0.00276,1.54,0.0,7.85
1851,0.673,0.00276,1.55,0.0,7.91
1852,0.678,0.00276,1.56,0.0,7.97
1853,0.683,0.00276,1.57,0.0,8.03
1854,0.688,0.00276,1.58,0.0,8.09
1855,0.692,0.00276,1.6,0.0,8.15
1856,0.697,0.00276,1.61,0.0,8.21
1857,0.702,0.00276,1.62,0.0,8.27
1858,0.712,0.0031,1.63,0.0,8.33
1859,0.716,0.0031,1.64,0.0,8.39
1860,0.721,0.0031,1.65,0.0,8.45
1861,0.731,0.0034500000000000004,1.66,0.0,8.5
1862,0.74,0.00379,1.67,0.0,8.56
1863,0.745,0.00379,1.69,0.0,8.61
1864,0.755,0.00413,1.7,0.0,8.67
1865,0.759,0.00413,1.71,0.0,8.73
1866,0.769,0.0044800000000000005,1.72,0.0,8.78
1867,0.779,0.0048200000000000005,1.73,0.0,8.84
1868,0.789,0.0051600000000000005,1.74,0.0,8.89
1869,0.794,0.0051600000000000005,1.75,0.0,8.95
1870,0.814,0.00619,1.76,0.0,9.01
1871,0.824,0.00654,1.78,0.0,9.07
1872,0.83,0.00654,1.79,0.0,9.14
1873,0.841,0.00688,1.8,0.0,9.21
1874,0.848,0.00688,1.81,0.0,9.3
1875,0.859,0.00722,1.83,0.0,9.38
1876,0.865,0.00722,1.84,0.0,9.46
1877,0.872,0.00722,1.86,0.0,9.54
1878,0.878,0.00722,1.87,0.0,9.62
1879,0.885,0.00722,1.88,0.0,9.7
1880,0.891,0.00722,1.9,0.0,9.76
1881,0.901,0.00756,1.91,0.0,9.83
1882,1.08,0.0499,1.92,0.0,9.89
1883,1.26,0.0963,1.93,0.0,9.95
1884,1.33,0.107,1.94,0.0,10.0
1885,1.32,0.104,1.95,0.0,10.1
1886,1.35,0.113,1.97,0.0,10.1
1887,1.4,0.124,1.98,0.0,10.2
1888,1.51,0.148,1.99,0.0,10.2
1889,1.54,0.145,2.0,0.0,10.3
1890,1.72,0.18,2.01,0.0,10.4
1891,2.05,0.25,2.02,0.0,10.4
1892,1.99,0.23,2.04,0.0,10.5
1893,2.07,0.257,2.05,0.0,10.5
1894,1.98,0.238,2.06,0.0,10.5
1895,2.03,0.245,2.07,0.0,10.6
1896,2.09,0.258,2.09,0.0,10.6
1897,2.28,0.294,2.1,0.0,10.6
1898,2.75,0.365,2.11,0.0,10.7
1899,2.7,0.319,2.12,0.0,10.7
1900,2.37,0.217,2.14,0.0,10.8
1901,2.76,0.285,2.15,0.0,10.9
1902,2.79,0.272,2.17,0.0,10.9
1903,3.12,0.295,2.19,0.0,11.0
1904,3.56,0.325,2.2,0.0,11.1
1905,4.14,0.372,2.22,0.0,11.2
1906,5.3,0.469,2.24,0.0,11.3
1907,6.37,0.626,2.26,0.0,11.4
1908,6.21,0.59,2.27,0.0,11.5
1909,6.84,0.603,2.29,0.0,11.5
1910,6.78,0.61,2.31,0.0,11.6
1911,7.96,0.709,2.32,0.0,11.7
1912,8.42,0.636,2.33,0.0,11.8
1913,9.32,0.911,2.34,0.0,11.9
1914,8.11,0.626,2.35,0.0,12.0
1915,7.31,0.576,2.36,0.0,12.1
1916,4.67,0.372,2.37,0.0,12.3
1917,4.05,0.338,2.38,0.0,12.4
1918,4.88,0.392,2.39,0.0,12.6
1919,6.22,0.758,2.4,0.0,12.7
1920,7.2,0.833,2.41,0.0,12.9
1921,7.65,0.921,2.44,0.0,13.2
1922,8.99,1.13,2.48,0.0,13.5
1923,10.4,1.42,2.52,0.0,13.8
1924,12.1,1.66,2.56,0.0,14.2
1925,14.1,1.92,2.59,0.0,14.6
1926,17.5,2.23,2.63,0.0,14.9
1927,19.4,2.71,2.67,0.0,15.3
1928,21.8,2.88,2.71,0.0,15.6
1929,24.4,3.13,2.74,0.0,15.8
1930,27.8,3.27,2.78,0.0,16.0
1931,31.1,3.32,2.8,0.0,16.1
1932,33.0,3.45,2.82,0.0,16.1
1933,32.9,3.48,2.83,0.0,16.0
1934,37.9,4.04,2.85,0.0,15.9
1935,37.6,4.17,2.87,0.0,15.8
1936,39.4,4.36,2.89,0.0,15.6
1937,33.7,4.13,2.9,0.0,15.5
1938,31.5,4.11,2.92,0.0,15.3
1939,29.7,4.1,2.94,0.0,15.2
1940,28.2,4.03,2.96,0.0,15.1
1941,26.5,4.09,3.0,0.0,15.2
1942,27.8,4.11,3.04,0.0,15.5
1943,25.9,4.19,3.09,0.0,15.9
1944,17.8,3.48,3.14,0.0,16.4
1945,22.4,3.86,3.2,0.0,16.9
1946,20.7,3.88,3.26,0.0,17.5
1947,19.3,4.09,3.33,0.0,18.0
1948,26.6,5.76,3.39,0.0,18.4
1949,27.5,3.95,3.45,0.0,18.8
1950,21.6,6.0,3.5,0.0,18.9
1951,24.8,7.16,3.6,0.0,19.2
1952,29.3,8.56,3.68,0.0,19.3
1953,33.6,9.89,3.76,0.0,19.5
1954,37.1,10.9,3.85,0.0,19.6
1955,40.8,12.4,3.93,0.0,19.8
1956,45.4,13.9,4.02,0.0,19.9
1957,51.2,15.6,4.11,0.0,20.0
1958,55.7,17.0,4.19,0.0,20.2
1959,56.5,18.3,4.28,0.0,20.3
1960,59.6,19.9,4.36,0.0,20.4
1961,62.3,21.5,4.44,0.0,23.8
1962,71.6,24.7,4.51,0.0,22.3
1963,77.8,27.5,4.59,0.0,21.8
1964,80.8,29.6,4.67,0.0,22.2
1965,88.4,32.4,4.76,0.0,23.4
1966,94.7,35.7,4.86,0.0,24.5
1967,104.0,39.2,4.96,0.0,26.3
1968,113.0,44.0,5.07,0.0,27.1
1969,127.0,49.4,5.18,0.0,26.8
1970,134.0,44.0,4.95,0.0,26.6
1971,139.0,44.0,5.24,0.0,28.5
1972,145.0,46.8,5.28,0.0,29.4
1973,156.0,48.7,5.37,0.0,30.3
1974,162.0,49.7,5.64,0.0,31.0
1975,173.0,49.5,6.01,0.0,33.5
1976,184.0,52.1,6.03,0.0,32.9
1977,187.0,52.0,6.06,0.0,33.6
1978,199.0,52.9,6.25,0.0,35.4
1979,199.0,56.1,6.13,0.0,36.3
1980,199.0,51.5,6.14,0.0,35.3
1981,202.0,49.5,6.18,0.0,37.6
1982,200.0,49.0,6.24,0.0,38.0
1983,205.0,45.9,6.26,0.0,37.7
1984,195.0,54.3,6.31,0.0,40.0
1985,199.0,51.7,6.3,0.0,41.1
1986,204.0,57.9,6.21,0.0,38.2
1987,212.0,54.6,6.12,0.0,38.2
1988,212.0,46.7,6.11,0.0,38.0
1989,221.0,44.9,5.73,0.0,38.3
1990,185.0,31.9,5.64,0.0,34.1
1991,153.0,22.8,5.52,0.0,28.7
1992,144.0,19.7,5.44,0.0,25.2
1993,134.0,19.6,5.47,0.0,25.0
1994,132.0,19.8,5.5,0.0,24.1
1995,136.0,22.9,5.74,0.0,24.2
1996,140.0,22.2,5.8,0.0,23.7
1997,136.0,20.5,5.89,0.0,22.3
1998,121.0,19.4,5.84,0.0,21.7
1999,107.0,16.9,5.91,0.0,20.6
2000,98.3,18.1,6.04,0.0,19.6
2001,102.0,17.8,6.14,0.0,19.6
2002,103.0,18.7,6.21,0.0,20.1
2003,107.0,19.4,6.49,0.0,20.5
2004,103.0,21.6,6.61,0.0,20.4
2005,102.0,21.5,6.67,0.0,20.8
2006,103.0,21.1,6.43,0.0,21.0
2007,106.0,21.3,6.57,0.0,20.8
2008,106.0,18.2,6.5,0.0,20.4
2009,91.8,12.1,6.47,0.0,19.8
2010,86.5,13.8,6.54,0.0,17.8
2011,93.7,14.4,5.99,0.0,18.0
2012,92.0,13.1,6.22,0.0,17.8
2013,81.5,11.4,6.5,0.0,18.4
2014,80.8,12.1,6.48,0.0,18.5
2015,79.3,12.2,6.47,0.0,18.8
2016,77.3,12.3,6.5,0.0,18.6
2017,79.9,12.4,6.55,0.0,18.8
2018,79.9,12.7,6.5,0.0,19.4
2019,76.9,12.6,6.56,0.0,19.1
2020,73.5,12.7,6.54,0.0,18.6
2021,76.9,12.8,6.53,0.0,19.0
2022,75.1,10.1,6.55,0.0,18.0
2023,70.0,10.6,6.56,0.0,18.0
