year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.247,0.0,0.574,0.0,2.97
1751,0.249,0.0,0.578,0.0,2.99
1752,0.251,0.0,0.582,0.0,3.01
1753,0.252,0.0,0.586,0.0,3.03
1754,0.254,0.0,0.59,0.0,3.05
1755,0.256,0.0,0.594,0.0,3.07
1756,0.258,0.0,0.598,0.0,3.09
1757,0.26,0.0,0.602,0.0,3.12
1758,0.261,0.0,0.607,0.0,3.14
1759,0.263,0.0,0.611,0.0,3.16
1760,0.265,0.0,0.615,0.0,3.18
1761,0.267,0.0,0.619,0.0,3.2
1762,0.269,0.0,0.624,0.0,3.22
1763,0.27,0.0,0.628,0.0,3.25
1764,0.272,0.0,0.632,0.0,3.27
1765,0.274,0.0,0.637,0.0,3.29
1766,0.276,0.0,0.641,0.0,3.31
1767,0.278,0.0,0.646,0.0,3.34
1768,0.28,0.0,0.65,0.0,3.36
1769,0.282,0.0,0.654,0.0,3.38
1770,0.284,0.0,0.659,0.0,3.41
1771,0.286,0.0,0.663,0.0,3.43
1772,0.288,0.0,0.668,0.0,3.45
1773,0.29,0.0,0.673,0.0,3.48
1774,0.292,0.0,0.677,0.0,3.5
1775,0.294,0.0,0.682,0.0,3.53
1776,0.296,0.0,0.687,0.0,3.55
1777,0.298,0.0,0.692,0.0,3.58
1778,0.3,0.0,0.696,0.0,3.6
1779,0.302,0.0,0.701,0.0,3.62
1780,0.304,0.0,0.706,0.0,3.65
1781,0.306,0.0,0.711,0.0,3.68
1782,0.308,0.0,0.716,0.0,3.7
1783,0.311,0.0,0.721,0.0,3.73
1784,0.313,0.0,0.726,0.0,3.75
1785,0.315,0.0,0.731,0.0,3.78
1786,0.317,0.0,0.736,0.0,3.81
1787,0.319,0.0,0.741,0.0,3.83
1788,0.321,0.0,0.746,0.0,3.86
1789,0.324,0.0,0.751,0.0,3.88
1790,0.326,0.0,0.756,0.0,3.91
1791,0.328,0.0,0.762,0.0,3.94
1792,0.33,0.0,0.767,0.0,3.97
1793,0.333,0.0,0.772,0.0,3.99
1794,0.335,0.0,0.778,0.0,4.02
1795,0.337,0.0,0.783,0.0,4.05
1796,0.34,0.0,0.789,0.0,4.08
