year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.15,0.0,0.189,0.0,0.279
1751,0.15,0.0,0.19,0.0006760000000000001,0.279
1752,0.15,0.0,0.19,0.00135,0.28
1753,0.151,0.0,0.191,0.0020299999999999997,0.28
1754,0.151,0.0,0.191,0.0027,0.281
1755,0.151,0.0,0.191,0.0033799999999999998,0.281
1756,0.151,0.0,0.192,0.004059999999999999,0.282
1757,0.152,0.0,0.192,0.004730000000000001,0.282
1758,0.152,0.0,0.192,0.00541,0.283
1759,0.152,0.0,0.193,0.00608,0.284
1760,0.153,0.0,0.193,0.0067599999999999995,0.284
1761,0.153,0.0,0.194,0.00743,0.285
1762,0.153,0.0,0.194,0.00811,0.285
1763,0.153,0.0,0.194,0.00879,0.286
1764,0.154,0.0,0.195,0.009460000000000001,0.287
1765,0.154,0.0,0.195,0.0101,0.287
1766,0.154,0.0,0.196,0.0108,0.288
1767,0.154,0.0,0.196,0.0115,0.288
1768,0.155,0.0,0.196,0.012199999999999999,0.289
1769,0.155,0.0,0.197,0.0128,0.289
1770,0.155,0.0,0.197,0.0135,0.29
1771,0.155,0.0,0.198,0.014199999999999999,0.291
1772,0.156,0.0,0.198,0.0149,0.291
1773,0.156,0.0,0.198,0.0155,0.292
1774,0.156,0.0,0.199,0.0162,0.292
1775,0.156,0.0,0.199,0.0169,0.293
1776,0.157,0.0,0.2,0.0176,0.294
1777,0.157,0.0,0.2,0.0182,0.294
1778,0.157,0.0,0.2,0.0189,0.295
1779,0.158,0.0,0.201,0.019600000000000003,0.295
1780,0.158,0.0,0.201,0.020300000000000002,0.296
1781,0.158,0.0,0.202,0.021,0.297
1782,0.158,0.0,0.202,0.0216,0.297
1783,0.159,0.0,0.202,0.0223,0.298
1784,0.159,0.0,0.203,0.023,0.298
1785,0.159,0.0,0.203,0.0237,0.299
1786,0.159,0.0,0.204,0.024300000000000002,0.3
1787,0.16,0.0,0.204,0.025,0.3
1788,0.16,0.0,0.205,0.0257,0.301
1789,0.16,0.0,0.205,0.0264,0.301
1790,0.16,0.0,0.205,0.027,0.302
1791,0.161,0.0,0.206,0.0277,0.303
1792,0.161,0.0,0.206,0.028399999999999998,0.303
1793,0.161,0.0,0.207,0.0291,0.304
1794,0.161,0.0,0.207,0.0297,0.304
1795,0.162,0.0,0.207,0.0304,0.305
1796,0.162,0.0,0.208,0.031100000000000003,0.306
1797,0.162,0.0,0.208,0.0318,0.306
1798,0.163,0.0,0.209,0.0324,0.307
1799,0.163,0.0,0.209,0.033100000000000004,0.307
1800,0.163,0.0,0.21,0.0338,0.308
1801,0.163,0.0,0.21,0.0345,0.309
1802,0.164,0.0,0.21,0.0351,0.309
1803,0.164,0.0,0.211,0.0358,0.31
1804,0.164,0.0,0.211,0.0365,0.311
1805,0.164,0.0,0.212,0.037200000000000004,0.311
1806,0.165,0.0,0.212,0.0378,0.312
1807,0.165,0.0,0.213,0.0385,0.313
1808,0.165,0.0,0.213,0.039200000000000006,0.313
1809,0.165,0.0,0.213,0.0399,0.314
