year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.641,0.0,0.594,1.0899999999999999e-17,6.48
1751,0.641,0.0,0.595,0.0007840000000000001,6.48
1752,0.642,0.0,0.595,0.00157,6.49
1753,0.642,0.0,0.596,0.00235,6.5
1754,0.643,0.0,0.596,0.00314,6.5
1755,0.644,0.0,0.597,0.00392,6.51
1756,0.644,0.0,0.598,0.0047,6.51
1757,0.645,0.0,0.598,0.00549,6.52
1758,0.645,0.0,0.599,0.0062699999999999995,6.53
1759,0.646,0.0,0.599,0.00705,6.53
1760,0.646,0.0,0.6,0.00784,6.54
1761,0.647,0.0,0.601,0.00862,6.55
1762,0.648,0.0,0.601,0.00941,6.55
1763,0.648,0.0,0.602,0.010199999999999999,6.56
1764,0.649,0.0,0.602,0.011,6.57
1765,0.649,0.0,0.603,0.011800000000000001,6.57
1766,0.65,0.0,0.604,0.0125,6.58
1767,0.651,0.0,0.604,0.013300000000000001,6.59
1768,0.651,0.0,0.605,0.0141,6.59
1769,0.652,0.0,0.605,0.0149,6.6
1770,0.652,0.0,0.606,0.0157,6.61
1771,0.653,0.0,0.607,0.0165,6.61
1772,0.653,0.0,0.607,0.0172,6.62
1773,0.654,0.0,0.608,0.018,6.63
1774,0.655,0.0,0.608,0.0188,6.63
1775,0.655,0.0,0.609,0.019600000000000003,6.64
1776,0.656,0.0,0.61,0.020399999999999998,6.65
1777,0.656,0.0,0.61,0.0212,6.65
1778,0.657,0.0,0.611,0.0219,6.66
1779,0.658,0.0,0.611,0.022699999999999998,6.67
1780,0.658,0.0,0.612,0.0235,6.67
1781,0.659,0.0,0.613,0.024300000000000002,6.68
1782,0.659,0.0,0.613,0.0251,6.69
1783,0.66,0.0,0.614,0.0259,6.69
1784,0.66,0.0,0.615,0.026699999999999998,6.7
1785,0.661,0.0,0.615,0.027399999999999997,6.71
1786,0.662,0.0,0.616,0.0282,6.71
1787,0.662,0.0,0.616,0.029,6.72
1788,0.663,0.0,0.617,0.0298,6.73
1789,0.663,0.0,0.618,0.030600000000000002,6.73
1790,0.664,0.0,0.618,0.0314,6.74
1791,0.664,0.0,0.619,0.032100000000000004,6.75
1792,0.665,0.0,0.62,0.0329,6.75
1793,0.666,0.0,0.62,0.0337,6.76
1794,0.666,0.0,0.621,0.0345,6.77
1795,0.667,0.0,0.621,0.0353,6.78
1796,0.667,0.0,0.622,0.0361,6.78
1797,0.668,0.0,0.623,0.0368,6.79
1798,0.669,0.0,0.623,0.0376,6.8
1799,0.669,0.0,0.624,0.0384,6.8
1800,0.67,0.0,0.625,0.039200000000000006,6.81
1801,0.67,0.0,0.625,0.04,6.82
1802,0.671,0.0,0.626,0.040799999999999996,6.82
1803,0.671,0.0,0.626,0.0415,6.83
