year,IPC1,IPC2,IPC4,IPC5
1750,1.29e-06,0.0,0.000185,0.0
1751,1.29e-06,0.0,0.000185,3.7e-08
1752,1.29e-06,0.0,0.000185,7.4e-08
1753,1.29e-06,0.0,0.000185,1.11e-07
1754,1.29e-06,0.0,0.000185,1.48e-07
1755,1.29e-06,0.0,0.000185,1.85e-07
1756,1.29e-06,0.0,0.000185,2.22e-07
1757,1.29e-06,0.0,0.000185,2.5900000000000003e-07
1758,1.29e-06,0.0,0.000185,2.96e-07
1759,1.28e-06,0.0,0.000185,3.3300000000000003e-07
1760,1.28e-06,0.0,0.000185,3.7e-07
1761,1.28e-06,0.0,0.000185,4.0700000000000003e-07
1762,1.28e-06,0.0,0.000185,4.44e-07
1763,1.28e-06,0.0,0.000185,4.81e-07
1764,1.28e-06,0.0,0.000185,5.180000000000001e-07
1765,1.28e-06,0.0,0.000185,5.550000000000001e-07
1766,1.28e-06,0.0,0.000185,5.92e-07
1767,1.28e-06,0.0,0.000185,6.29e-07
1768,1.28e-06,0.0,0.000185,6.660000000000001e-07
1769,1.28e-06,0.0,0.000185,7.03e-07
1770,1.2700000000000001e-06,0.0,0.000185,7.4e-07
1771,1.2700000000000001e-06,0.0,0.000185,7.77e-07
1772,1.2700000000000001e-06,0.0,0.000185,8.140000000000001e-07
1773,1.2700000000000001e-06,0.0,0.000185,8.51e-07
1774,1.2700000000000001e-06,0.0,0.000185,8.88e-07
1775,1.2700000000000001e-06,0.0,0.000185,9.25e-07
1776,1.2700000000000001e-06,0.0,0.000185,9.62e-07
1777,1.2700000000000001e-06,0.0,0.000185,9.99e-07
1778,1.2700000000000001e-06,0.0,0.000185,1.04e-06
1779,1.2700000000000001e-06,0.0,0.000185,1.07e-06
1780,1.2700000000000001e-06,0.0,0.000185,1.1100000000000002e-06
1781,1.2700000000000001e-06,0.0,0.000185,1.15e-06
1782,1.26e-06,0.0,0.000185,1.1800000000000001e-06
1783,1.26e-06,0.0,0.000185,1.22e-06
1784,1.26e-06,0.0,0.000185,1.26e-06
1785,1.26e-06,0.0,0.000185,1.29e-06
1786,1.26e-06,0.0,0.000185,1.33e-06
1787,1.26e-06,0.0,0.000185,1.37e-06
1788,1.26e-06,0.0,0.000185,1.41e-06
1789,1.26e-06,0.0,0.000185,1.4400000000000002e-06
1790,1.26e-06,0.0,0.000185,1.48e-06
1791,1.26e-06,0.0,0.000185,1.52e-06
1792,1.26e-06,0.0,0.000185,1.55e-06
1793,1.26e-06,0.0,0.000185,1.59e-06
1794,1.26e-06,0.0,0.000185,1.6299999999999999e-06
1795,1.26e-06,0.0,0.000185,1.66e-06
1796,1.26e-06,0.0,0.000185,1.6999999999999998e-06
1797,1.26e-06,0.0,0.000185,1.74e-06
1798,1.25e-06,0.0,0.000185,1.78e-06
1799,1.25e-06,0.0,0.000185,1.81e-06
1800,1.25e-06,0.0,0.000185,1.85e-06
1801,1.25e-06,0.0,0.000185,1.89e-06
1802,1.25e-06,0.0,0.000185,1.9200000000000003e-06
1803,1.25e-06,0.0,0.000185,1.96e-06
1804,1.25e-06,0.0,0.000185,2e-06
1805,1.25e-06,0.0,0.000185,2.03e-06
1806,1.25e-06,0.0,0.000185,2.0699999999999997e-06
1807,1.25e-06,0.0,0.000185,2.1099999999999997e-06
1808,1.25e-06,0.0,0.000185,2.15e-06
1809,1.25e-06,0.0,0.000185,2.18e-06
1810,1.25e-06,0.0,0.000185,2.2200000000000003e-06
1811,1.25e-06,0.0,0.000185,2.26e-06
1812,1.25e-06,0.0,0.000185,2.29e-06
1813,1.25e-06,0.0,0.000186,2.33e-06
1814,1.25e-06,0.0,0.000186,2.37e-06
1815,1.25e-06,0.0,0.000186,2.4e-06
1816,1.25e-06,0.0,0.000186,2.44e-06
1817,1.26e-06,0.0,0.000186,2.48e-06
1818,1.26e-06,0.0,0.000186,2.52e-06
1819,1.26e-06,0.0,0.000187,2.55e-06
1820,1.26e-06,0.0,0.000187,2.5899999999999998e-06
1821,1.26e-06,0.0,0.000187,2.63e-06
1822,1.2700000000000001e-06,0.0,0.000188,2.66e-06
1823,1.2700000000000001e-06,0.0,0.000188,2.7e-06
1824,1.28e-06,0.0,0.000189,2.74e-06
1825,1.28e-06,0.0,0.000189,2.7699999999999997e-06
1826,1.29e-06,0.0,0.000189,2.81e-06
1827,1.29e-06,0.0,0.00019,2.8500000000000002e-06
1828,1.2999999999999998e-06,0.0,0.00019,2.8900000000000003e-06
1829,1.2999999999999998e-06,0.0,0.000191,2.92e-06
1830,1.31e-06,0.0,0.000191,2.96e-06
1831,1.32e-06,0.0,0.000192,3e-06
1832,1.32e-06,0.0,0.000193,3.0300000000000002e-06
1833,1.33e-06,0.0,0.000193,3.07e-06
1834,1.33e-06,0.0,0.000194,3.11e-06
1835,1.34e-06,0.0,0.000194,3.14e-06
1836,1.35e-06,0.0,0.000195,3.18e-06
1837,1.35e-06,0.0,0.00019600000000000002,3.22e-06
1838,1.3600000000000001e-06,0.0,0.00019600000000000002,3.2599999999999997e-06
1839,1.37e-06,0.0,0.00019700000000000002,3.29e-06
1840,1.37e-06,0.0,0.00019700000000000002,3.33e-06
1841,1.38e-06,0.0,0.00019800000000000002,3.3700000000000003e-06
1842,1.39e-06,0.0,0.000199,3.3999999999999996e-06
1843,1.39e-06,0.0,0.000199,3.44e-06
1844,1.4e-06,0.0,0.0002,3.48e-06
1845,1.41e-06,0.0,0.000201,3.5100000000000003e-06
1846,1.41e-06,0.0,0.000201,3.5500000000000003e-06
1847,1.42e-06,0.0,0.000202,3.59e-06
1848,1.43e-06,0.0,0.000203,3.63e-06
1849,1.43e-06,0.0,0.000203,3.66e-06
1850,1.82e-06,0.0,0.000204,3.7e-06
1851,1.84e-06,0.0,0.000205,3.7399999999999998e-06
1852,1.8699999999999999e-06,0.0,0.000206,3.77e-06
1853,1.89e-06,0.0,0.000207,3.81e-06
1854,1.91e-06,0.0,0.000208,3.85e-06
1855,1.93e-06,0.0,0.000208,3.88e-06
1856,1.95e-06,0.0,0.00020899999999999998,3.92e-06
1857,1.9699999999999998e-06,0.0,0.00020999999999999998,3.96e-06
1858,1.99e-06,0.0,0.000211,4e-06
1859,2.0100000000000002e-06,0.0,0.000212,4.0299999999999995e-06
1860,2.03e-06,0.0,0.000213,4.07e-06
1861,2.0500000000000003e-06,0.0,0.000214,4.11e-06
1862,2.0699999999999997e-06,0.0,0.000215,4.139999999999999e-06
1863,2.2200000000000003e-06,0.0,0.000216,4.18e-06
1864,2.2399999999999997e-06,0.0,0.00021799999999999999,4.219999999999999e-06
1865,2.26e-06,0.0,0.000219,4.25e-06
1866,2.2799999999999998e-06,0.0,0.00022,4.2900000000000004e-06
1867,2.3e-06,0.0,0.000221,4.33e-06
1868,2.32e-06,0.0,0.000222,4.37e-06
1869,2.34e-06,0.0,0.000223,4.4e-06
1870,2.3600000000000003e-06,0.0,0.000224,4.440000000000001e-06
1871,2.39e-06,0.0,0.00022600000000000002,4.4799999999999995e-06
1872,2.43e-06,0.0,0.00022700000000000002,4.51e-06
1873,2.48e-06,0.0,0.000229,4.5500000000000005e-06
1874,2.5300000000000003e-06,0.0,0.000231,4.59e-06
1875,2.5899999999999998e-06,0.0,0.000232,4.62e-06
1876,2.65e-06,0.0,0.00023400000000000002,4.66e-06
1877,2.7200000000000002e-06,0.0,0.000236,4.7e-06
1878,2.78e-06,0.0,0.000237,4.74e-06
1879,2.84e-06,0.0,0.00023899999999999998,4.77e-06
1880,2.8800000000000004e-06,0.0,0.000241,4.81e-06
1881,2.92e-06,0.0,0.000242,4.85e-06
1882,2.96e-06,0.0,0.000243,4.88e-06
1883,2.99e-06,0.0,0.000244,4.9199999999999995e-06
1884,3.0300000000000002e-06,0.0,0.000246,4.96e-06
1885,3.0799999999999997e-06,0.0,0.000247,4.99e-06
1886,3.1199999999999998e-06,0.0,0.000248,5.03e-06
1887,3.1600000000000002e-06,0.0,0.000249,5.07e-06
1888,3.2000000000000003e-06,0.0,0.000251,5.1e-06
1889,3.24e-06,0.0,0.000252,5.14e-06
1890,3.3899999999999997e-06,0.0,0.000253,5.1799999999999995e-06
1891,3.46e-06,0.0,0.000255,5.22e-06
1892,3.54e-06,0.0,0.000256,5.2500000000000006e-06
1893,3.6900000000000002e-06,0.0,0.000258,5.29e-06
1894,3.8e-06,0.0,0.000259,5.33e-06
1895,3.9300000000000005e-06,0.0,0.000261,5.36e-06
1896,4.06e-06,0.0,0.000262,5.4e-06
1897,4.16e-06,0.0,0.000264,5.4400000000000004e-06
1898,4.3e-06,0.0,0.000266,5.47e-06
1899,4.35e-06,0.0,0.00026700000000000004,5.51e-06
1900,4.24e-06,0.0,0.00026900000000000003,5.55e-06
1901,4.52e-06,0.0,0.00027100000000000003,5.590000000000001e-06
1902,4.8e-06,0.0,0.000273,5.62e-06
1903,5.060000000000001e-06,0.0,0.000275,5.66e-06
1904,5.28e-06,0.0,0.000277,5.7000000000000005e-06
1905,5.51e-06,0.0,0.000279,5.73e-06
1906,5.81e-06,0.0,0.00028100000000000005,5.77e-06
1907,6.0699999999999995e-06,0.0,0.000283,5.81e-06
1908,6.29e-06,0.0,0.00028599999999999996,5.84e-06
1909,6.58e-06,0.0,0.00028799999999999995,5.88e-06
1910,6.8599999999999995e-06,0.0,0.00029,5.92e-06
1911,7.05e-06,0.0,0.00029499999999999996,5.96e-06
1912,7.34e-06,0.0,0.0003,5.989999999999999e-06
1913,7.67e-06,0.0,0.000306,6.03e-06
1914,7.820000000000001e-06,0.0,0.000311,6.0699999999999995e-06
1915,7.939999999999999e-06,0.0,0.000316,6.1e-06
1916,8.279999999999999e-06,0.0,0.000322,6.14e-06
1917,8.540000000000001e-06,0.0,0.00032700000000000003,6.18e-06
1918,8.68e-06,0.0,0.000332,6.21e-06
1919,8.84e-06,0.0,0.00033800000000000003,6.25e-06
