year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,2.53e-07
1851,2.53e-07
1852,2.53e-07
1853,2.53e-07
1854,2.53e-07
1855,2.53e-07
1856,2.53e-07
1857,2.53e-07
1858,2.53e-07
1859,2.53e-07
1860,2.53e-07
1861,2.53e-07
1862,2.53e-07
1863,2.53e-07
1864,2.53e-07
1865,2.53e-07
1866,2.53e-07
1867,2.53e-07
1868,2.53e-07
1869,2.53e-07
1870,2.53e-07
1871,2.53e-07
1872,2.53e-07
1873,2.53e-07
1874,2.53e-07
1875,2.53e-07
1876,2.53e-07
1877,2.53e-07
1878,2.53e-07
1879,2.53e-07
1880,2.53e-07
1881,2.53e-07
1882,2.53e-07
1883,2.53e-07
1884,2.53e-07
1885,2.53e-07
1886,2.53e-07
1887,2.53e-07
1888,2.53e-07
1889,2.53e-07
1890,2.53e-07
1891,2.96e-07
1892,4.13e-07
1893,5.91e-07
1894,8.140000000000001e-07
1895,1.07e-06
1896,1.34e-06
1897,1.61e-06
1898,1.8699999999999999e-06
1899,2.1e-06
1900,2.29e-06
1901,2.45e-06
1902,2.5899999999999998e-06
1903,2.7200000000000002e-06
1904,2.8500000000000002e-06
1905,2.97e-06
1906,3.09e-06
1907,3.22e-06
1908,3.35e-06
1909,3.5e-06
1910,3.66e-06
1911,3.8400000000000005e-06
1912,4.0299999999999995e-06
1913,4.23e-06
1914,4.440000000000001e-06
1915,4.66e-06
1916,4.890000000000001e-06
1917,5.14e-06
1918,5.4e-06
1919,5.67e-06
1920,5.950000000000001e-06
1921,7.08e-06
1922,9.72e-06
1923,1.3599999999999999e-05
1924,1.83e-05
1925,2.3800000000000003e-05
1926,2.95e-05
1927,3.53e-05
1928,4.09e-05
1929,4.5900000000000004e-05
1930,5.02e-05
1931,5.38e-05
1932,5.73e-05
1933,6.07e-05
1934,6.4e-05
1935,6.73e-05
1936,7.049999999999999e-05
1937,7.37e-05
1938,7.7e-05
1939,8.03e-05
1940,8.36e-05
1941,8.7e-05
1942,9.049999999999999e-05
1943,9.42e-05
1944,9.800000000000001e-05
1945,0.000102
1946,0.000106
1947,0.000111
1948,0.000115
1949,0.000121
1950,0.000126
1951,0.000132
1952,0.00013900000000000002
1953,0.000146
1954,0.000153
1955,0.000161
1956,0.00016900000000000002
1957,0.000178
1958,0.000187
1959,0.00019600000000000002
1960,0.000206
1961,0.000216
1962,0.000228
1963,0.00023999999999999998
1964,0.000254
1965,0.00026700000000000004
1966,0.00028000000000000003
1967,0.00029299999999999997
1968,0.000305
1969,0.000315
1970,0.000323
1971,0.00033
1972,0.000337
1973,0.00034399999999999996
1974,0.00035099999999999997
1975,0.000357
1976,0.000363
1977,0.00036899999999999997
1978,0.000374
1979,0.000377
1980,0.000381
1981,0.000382
1982,0.000383
1983,0.000382
1984,0.000381
1985,0.00038
1986,0.000378
1987,0.000377
1988,0.000376
1989,0.000376
1990,0.000322
1991,0.000306
1992,0.000102
1993,0.000101
1994,0.000115
1995,8.87e-05
1996,9.460000000000001e-05
1997,0.000106
1998,0.000126
1999,0.000133
2000,0.000175
2001,0.000146
2002,0.000152
2003,0.000155
2004,0.00013900000000000002
2005,0.000121
2006,9.97e-05
2007,9.96e-05
2008,8.2e-05
2009,6.37e-05
2010,7.82e-05
2011,8.77e-05
2012,7.61e-05
2013,8.19e-05
2014,9.57e-05
2015,8.09e-05
2016,7.13e-05
2017,7.08e-05
2018,8.47e-05
2019,7.87e-05
2020,7.280000000000001e-05
2021,7.85e-05
2022,7.52e-05
2023,7.37e-05
