year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.301,0.0,0.060899999999999996,0.0,0.626
1751,0.302,0.0,0.061200000000000004,0.0,0.629
1752,0.303,0.0,0.061399999999999996,0.0,0.632
1753,0.304,0.0,0.061700000000000005,0.0,0.634
1754,0.305,0.0,0.0619,0.0,0.637
1755,0.306,0.0,0.062200000000000005,0.0,0.639
1756,0.307,0.0,0.0624,0.0,0.642
1757,0.308,0.0,0.0627,0.0,0.644
1758,0.309,0.0,0.0629,0.0,0.647
1759,0.31,0.0,0.0632,0.0,0.649
1760,0.311,0.0,0.0634,0.0,0.652
1761,0.312,0.0,0.0637,0.0,0.655
1762,0.313,0.0,0.0639,0.0,0.657
1763,0.315,0.0,0.06420000000000001,0.0,0.66
1764,0.316,0.0,0.0645,0.0,0.663
1765,0.317,0.0,0.06470000000000001,0.0,0.665
1766,0.318,0.0,0.065,0.0,0.668
1767,0.319,0.0,0.06520000000000001,0.0,0.671
1768,0.32,0.0,0.0655,0.0,0.673
1769,0.321,0.0,0.0658,0.0,0.676
1770,0.322,0.0,0.066,0.0,0.679
1771,0.323,0.0,0.0663,0.0,0.681
1772,0.324,0.0,0.06659999999999999,0.0,0.684
1773,0.326,0.0,0.0668,0.0,0.687
1774,0.327,0.0,0.06709999999999999,0.0,0.69
1775,0.328,0.0,0.0674,0.0,0.692
1776,0.329,0.0,0.0676,0.0,0.695
1777,0.33,0.0,0.0679,0.0,0.698
1778,0.331,0.0,0.0682,0.0,0.701
1779,0.332,0.0,0.0684,0.0,0.704
1780,0.333,0.0,0.0687,0.0,0.706
1781,0.335,0.0,0.069,0.0,0.709
1782,0.336,0.0,0.0693,0.0,0.712
1783,0.337,0.0,0.0695,0.0,0.715
1784,0.338,0.0,0.0698,0.0,0.718
1785,0.339,0.0,0.0701,0.0,0.721
1786,0.34,0.0,0.0704,0.0,0.724
1787,0.341,0.0,0.0707,0.0,0.727
1788,0.342,0.0,0.071,0.0,0.729
1789,0.344,0.0,0.0712,0.0,0.732
1790,0.345,0.0,0.0715,0.0,0.735
1791,0.346,0.0,0.0718,0.0,0.738
1792,0.347,0.0,0.0721,0.0,0.741
1793,0.348,0.0,0.0724,0.0,0.744
1794,0.349,0.0,0.0727,0.0,0.747
1795,0.351,0.0,0.073,0.0,0.75
1796,0.352,0.0,0.0733,0.0,0.753
1797,0.353,0.0,0.0736,0.0,0.756
1798,0.354,0.0,0.07379999999999999,0.0,0.759
1799,0.355,0.0,0.0741,0.0,0.762
1800,0.356,0.0,0.07440000000000001,0.0,0.765
1801,0.357,0.0,0.0747,0.0,0.768
1802,0.359,0.0,0.075,0.0,0.771
1803,0.36,0.0,0.07529999999999999,0.0,0.775
1804,0.361,0.0,0.0756,0.0,0.778
1805,0.362,0.0,0.07590000000000001,0.0,0.781
1806,0.363,0.0,0.07629999999999999,0.0,0.784
1807,0.364,0.0,0.07659999999999999,0.0,0.787
1808,0.366,0.0,0.07690000000000001,0.0,0.79
1809,0.367,0.0,0.0772,0.0,0.793
1810,0.368,0.0,0.0775,0.0,0.796
1811,0.37,0.0,0.07790000000000001,0.0,0.801
1812,0.372,0.0,0.07840000000000001,0.0,0.806
1813,0.374,0.0,0.07890000000000001,0.0,0.811
1814,0.375,0.0,0.0793,0.0,0.816
1815,0.377,0.0,0.0798,0.0,0.821
1816,0.379,0.0,0.0803,0.0,0.825
1817,0.381,0.0,0.0808,0.0,0.83
1818,0.383,0.0,0.08120000000000001,0.0,0.835
1819,0.385,0.0,0.08170000000000001,0.0,0.84
1820,0.387,0.0,0.08220000000000001,0.0,0.845
1821,0.389,0.0,0.08270000000000001,0.0,0.85
1822,0.391,0.0,0.0832,0.0,0.855
1823,0.393,0.0,0.0837,0.0,0.86
1824,0.395,0.0,0.0842,0.0,0.865
1825,0.397,0.0,0.0847,0.0,0.87
1826,0.398,0.0,0.0852,0.0,0.875
1827,0.4,0.0,0.0856,0.0,0.881
1828,0.402,0.0,0.0861,0.0,0.886
1829,0.404,0.0,0.0866,0.0,0.891
1830,0.406,0.0,0.0871,0.0,0.896
1831,0.408,0.0,0.0877,0.0,0.901
1832,0.41,0.0,0.0882,0.0,0.907
1833,0.412,0.0,0.0887,0.0,0.912
1834,0.414,0.0,0.08929999999999999,0.0,0.918
1835,0.416,0.0,0.08979999999999999,0.0,0.923
1836,0.418,0.0,0.09029999999999999,0.0,0.928
1837,0.42,0.0,0.09079999999999999,0.0,0.934
1838,0.422,0.0,0.09140000000000001,0.0,0.939
1839,0.424,0.0,0.09190000000000001,0.0,0.945
1840,0.426,0.0,0.09240000000000001,0.0,0.95
1841,0.428,0.0,0.093,0.0,0.956
1842,0.43,0.0,0.0935,0.0,0.962
