year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,2.17e-05,0.0,1.9900000000000003e-05
1751,0.0,0.0,2.18e-05,2.86e-06,2e-05
1752,0.0,0.0,2.19e-05,5.72e-06,2.01e-05
1753,0.0,0.0,2.2e-05,8.580000000000001e-06,2.01e-05
1754,0.0,0.0,2.2100000000000002e-05,1.1400000000000001e-05,2.02e-05
1755,0.0,0.0,2.22e-05,1.43e-05,2.03e-05
1756,0.0,0.0,2.23e-05,1.72e-05,2.04e-05
1757,0.0,0.0,2.23e-05,2e-05,2.05e-05
1758,0.0,0.0,2.24e-05,2.29e-05,2.05e-05
1759,0.0,0.0,2.2499999999999998e-05,2.57e-05,2.06e-05
1760,0.0,0.0,2.2599999999999997e-05,2.86e-05,2.07e-05
1761,0.0,0.0,2.2700000000000003e-05,3.15e-05,2.0799999999999997e-05
1762,0.0,0.0,2.2800000000000002e-05,3.43e-05,2.09e-05
1763,0.0,0.0,2.29e-05,3.7199999999999996e-05,2.1000000000000002e-05
1764,0.0,0.0,2.3e-05,4e-05,2.1000000000000002e-05
1765,0.0,0.0,2.31e-05,4.29e-05,2.11e-05
1766,0.0,0.0,2.3199999999999998e-05,4.58e-05,2.12e-05
1767,0.0,0.0,2.33e-05,4.8599999999999995e-05,2.13e-05
1768,0.0,0.0,2.34e-05,5.15e-05,2.14e-05
1769,0.0,0.0,2.34e-05,5.43e-05,2.1499999999999997e-05
1770,0.0,0.0,2.35e-05,5.72e-05,2.16e-05
1771,0.0,0.0,2.36e-05,6.0100000000000004e-05,2.16e-05
1772,0.0,0.0,2.37e-05,6.29e-05,2.17e-05
1773,0.0,0.0,2.3800000000000003e-05,6.58e-05,2.18e-05
1774,0.0,0.0,2.39e-05,6.86e-05,2.19e-05
1775,0.0,0.0,2.4e-05,7.149999999999999e-05,2.2e-05
1776,0.0,0.0,2.41e-05,7.439999999999999e-05,2.2100000000000002e-05
1777,0.0,0.0,2.42e-05,7.72e-05,2.22e-05
1778,0.0,0.0,2.4299999999999998e-05,8.010000000000001e-05,2.23e-05
1779,0.0,0.0,2.44e-05,8.29e-05,2.23e-05
1780,0.0,0.0,2.4500000000000003e-05,8.58e-05,2.24e-05
1781,0.0,0.0,2.46e-05,8.87e-05,2.2499999999999998e-05
1782,0.0,0.0,2.47e-05,9.15e-05,2.2599999999999997e-05
1783,0.0,0.0,2.48e-05,9.44e-05,2.2700000000000003e-05
1784,0.0,0.0,2.49e-05,9.719999999999999e-05,2.2800000000000002e-05
1785,0.0,0.0,2.5e-05,0.0001,2.29e-05
1786,0.0,0.0,2.51e-05,0.000103,2.3e-05
1787,0.0,0.0,2.52e-05,0.000106,2.31e-05
1788,0.0,0.0,2.53e-05,0.00010899999999999999,2.3199999999999998e-05
1789,0.0,0.0,2.5399999999999997e-05,0.000112,2.33e-05
1790,0.0,0.0,2.55e-05,0.000114,2.34e-05
1791,0.0,0.0,2.5600000000000002e-05,0.00011700000000000001,2.34e-05
1792,0.0,0.0,2.57e-05,0.00011999999999999999,2.35e-05
1793,0.0,0.0,2.58e-05,0.000123,2.36e-05
1794,0.0,0.0,2.59e-05,0.000126,2.37e-05
1795,0.0,0.0,2.6e-05,0.000129,2.3800000000000003e-05
1796,0.0,0.0,2.61e-05,0.000132,2.39e-05
1797,0.0,0.0,2.62e-05,0.000134,2.4e-05
1798,0.0,0.0,2.63e-05,0.00013700000000000002,2.41e-05
1799,0.0,0.0,2.64e-05,0.00014000000000000001,2.42e-05
1800,0.0,0.0,2.65e-05,0.00014299999999999998,2.4299999999999998e-05
1801,0.0,0.0,2.66e-05,0.000146,2.44e-05
1802,0.0,0.0,2.68e-05,0.000149,2.4500000000000003e-05
1803,0.0,0.0,2.69e-05,0.000152,2.46e-05
1804,0.0,0.0,2.7e-05,0.000154,2.47e-05
1805,0.0,0.0,2.7099999999999998e-05,0.000157,2.48e-05
1806,0.0,0.0,2.7199999999999997e-05,0.00016,2.49e-05
1807,0.0,0.0,2.7300000000000003e-05,0.000163,2.5e-05
1808,0.0,0.0,2.7400000000000002e-05,0.000166,2.51e-05
1809,0.0,0.0,2.75e-05,0.00016900000000000002,2.52e-05
1810,0.0,0.0,2.76e-05,0.00017199999999999998,2.53e-05
1811,0.0,0.0,2.7799999999999998e-05,0.000174,2.5399999999999997e-05
1812,0.0,0.0,2.8e-05,0.000177,2.5600000000000002e-05
1813,0.0,0.0,2.81e-05,0.00017999999999999998,2.58e-05
1814,0.0,0.0,2.83e-05,0.000183,2.59e-05
1815,0.0,0.0,2.85e-05,0.000186,2.61e-05
1816,0.0,0.0,2.86e-05,0.000189,2.62e-05
1817,0.0,0.0,2.88e-05,0.000192,2.64e-05
1818,0.0,0.0,2.9e-05,0.000194,2.65e-05
1819,0.0,0.0,2.91e-05,0.00019700000000000002,2.6700000000000002e-05
1820,0.0,0.0,2.93e-05,0.0002,2.68e-05
1821,0.0,0.0,2.95e-05,0.000203,2.7e-05
1822,0.0,0.0,2.97e-05,0.000206,2.7199999999999997e-05
1823,0.0,0.0,2.98e-05,0.00020899999999999998,2.7300000000000003e-05
1824,0.0,0.0,2.9999999999999997e-05,0.000212,2.75e-05
1825,0.0,0.0,3.0200000000000002e-05,0.000215,2.76e-05
1826,0.0,0.0,3.04e-05,0.000217,2.7799999999999998e-05
1827,0.0,0.0,3.05e-05,0.00022,2.8e-05
1828,0.0,0.0,3.07e-05,0.000223,2.81e-05
1829,0.0,0.0,3.09e-05,0.00022600000000000002,2.83e-05
1830,0.0,0.0,3.11e-05,0.000229,2.85e-05
1831,0.0,0.0,3.13e-05,0.000232,2.86e-05
1832,0.0,0.0,3.14e-05,0.000235,2.88e-05
1833,0.0,0.0,3.16e-05,0.000237,2.9e-05
1834,0.0,0.0,3.18e-05,0.00023999999999999998,2.91e-05
1835,0.0,0.0,3.2e-05,0.000243,2.93e-05
1836,0.0,0.0,3.22e-05,0.000246,2.95e-05
1837,0.0,0.0,3.24e-05,0.000249,2.97e-05
1838,0.0,0.0,3.26e-05,0.000252,2.98e-05
1839,0.0,0.0,3.2800000000000004e-05,0.000255,2.9999999999999997e-05
1840,0.0,0.0,3.3e-05,0.000257,3.0200000000000002e-05
1841,0.0,0.0,3.32e-05,0.00026000000000000003,3.04e-05
1842,0.0,0.0,3.34e-05,0.000263,3.05e-05
1843,0.0,0.0,3.36e-05,0.000266,3.07e-05
1844,0.0,0.0,3.3799999999999995e-05,0.00026900000000000003,3.09e-05
1845,0.0,0.0,3.4e-05,0.000272,3.11e-05
1846,0.0,0.0,3.4200000000000005e-05,0.000275,3.13e-05
1847,0.0,0.0,3.44e-05,0.000277,3.15e-05
1848,0.0,0.0,3.46e-05,0.00028000000000000003,3.16e-05
1849,0.0,0.0,3.48e-05,0.000283,3.18e-05
1850,8.51e-06,0.0,3.4200000000000005e-05,0.00028599999999999996,0.000204
