year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,3.09e-07,0.0,1.43e-05
1751,0.0,0.0,3.14e-07,5.75e-08,1.45e-05
1752,0.0,0.0,3.1799999999999996e-07,1.15e-07,1.47e-05
1753,0.0,0.0,3.22e-07,1.73e-07,1.49e-05
1754,0.0,0.0,3.2600000000000003e-07,2.3e-07,1.5100000000000001e-05
1755,0.0,0.0,3.3e-07,2.88e-07,1.53e-05
1756,0.0,0.0,3.34e-07,3.45e-07,1.55e-05
1757,0.0,0.0,3.38e-07,4.03e-07,1.57e-05
1758,0.0,0.0,3.42e-07,4.6e-07,1.59e-05
1759,0.0,0.0,3.4699999999999997e-07,5.180000000000001e-07,1.61e-05
1760,0.0,0.0,3.51e-07,5.75e-07,1.63e-05
1761,0.0,0.0,3.5599999999999996e-07,6.33e-07,1.65e-05
1762,0.0,0.0,3.6000000000000005e-07,6.91e-07,1.67e-05
1763,0.0,0.0,3.65e-07,7.48e-07,1.6899999999999997e-05
1764,0.0,0.0,3.7e-07,8.06e-07,1.7100000000000002e-05
1765,0.0,0.0,3.75e-07,8.63e-07,1.74e-05
1766,0.0,0.0,3.8e-07,9.210000000000001e-07,1.76e-05
1767,0.0,0.0,3.84e-07,9.78e-07,1.78e-05
1768,0.0,0.0,3.89e-07,1.04e-06,1.7999999999999997e-05
1769,0.0,0.0,3.94e-07,1.09e-06,1.83e-05
1770,0.0,0.0,3.99e-07,1.15e-06,1.85e-05
1771,0.0,0.0,4.05e-07,1.2099999999999998e-06,1.87e-05
1772,0.0,0.0,4.1e-07,1.2700000000000001e-06,1.9e-05
1773,0.0,0.0,4.1599999999999997e-07,1.32e-06,1.93e-05
1774,0.0,0.0,4.22e-07,1.38e-06,1.95e-05
1775,0.0,0.0,4.27e-07,1.4400000000000002e-06,1.98e-05
1776,0.0,0.0,4.33e-07,1.5e-06,2.01e-05
1777,0.0,0.0,4.39e-07,1.55e-06,2.03e-05
1778,0.0,0.0,4.44e-07,1.61e-06,2.06e-05
1779,0.0,0.0,4.5e-07,1.67e-06,2.0799999999999997e-05
1780,0.0,0.0,4.56e-07,1.73e-06,2.11e-05
1781,0.0,0.0,4.6200000000000003e-07,1.78e-06,2.14e-05
1782,0.0,0.0,4.6900000000000003e-07,1.84e-06,2.17e-05
1783,0.0,0.0,4.7600000000000003e-07,1.9e-06,2.2e-05
1784,0.0,0.0,4.82e-07,1.96e-06,2.24e-05
1785,0.0,0.0,4.89e-07,2.0100000000000002e-06,2.2700000000000003e-05
1786,0.0,0.0,4.96e-07,2.0699999999999997e-06,2.3e-05
1787,0.0,0.0,5.019999999999999e-07,2.13e-06,2.33e-05
1788,0.0,0.0,5.09e-07,2.19e-06,2.36e-05
1789,0.0,0.0,5.16e-07,2.2399999999999997e-06,2.39e-05
1790,0.0,0.0,5.23e-07,2.3e-06,2.42e-05
1791,0.0,0.0,5.31e-07,2.3600000000000003e-06,2.46e-05
1792,0.0,0.0,5.389999999999999e-07,2.4199999999999997e-06,2.5e-05
1793,0.0,0.0,5.469999999999999e-07,2.47e-06,2.53e-05
1794,0.0,0.0,5.550000000000001e-07,2.5300000000000003e-06,2.57e-05
1795,0.0,0.0,5.63e-07,2.5899999999999998e-06,2.61e-05
1796,0.0,0.0,5.71e-07,2.65e-06,2.64e-05
1797,0.0,0.0,5.79e-07,2.7e-06,2.68e-05
1798,0.0,0.0,5.87e-07,2.76e-06,2.7199999999999997e-05
1799,0.0,0.0,5.95e-07,2.82e-06,2.76e-05
1800,0.0,0.0,6.02e-07,2.8800000000000004e-06,2.79e-05
1801,0.0,0.0,6.12e-07,2.93e-06,2.8400000000000003e-05
1802,0.0,0.0,6.22e-07,2.99e-06,2.88e-05
1803,0.0,0.0,6.310000000000001e-07,3.05e-06,2.93e-05
1804,0.0,0.0,6.41e-07,3.11e-06,2.97e-05
1805,0.0,0.0,6.51e-07,3.17e-06,3.0200000000000002e-05
1806,0.0,0.0,6.6e-07,3.22e-06,3.06e-05
1807,0.0,0.0,6.7e-07,3.28e-06,3.1e-05
1808,0.0,0.0,6.79e-07,3.34e-06,3.15e-05
1809,0.0,0.0,6.890000000000001e-07,3.3999999999999996e-06,3.1899999999999996e-05
1810,0.0,0.0,6.99e-07,3.45e-06,3.24e-05
1811,0.0,0.0,7.1e-07,3.5100000000000003e-06,3.29e-05
1812,0.0,0.0,7.22e-07,3.5699999999999997e-06,3.35e-05
1813,0.0,0.0,7.34e-07,3.63e-06,3.4e-05
1814,0.0,0.0,7.45e-07,3.68e-06,3.4500000000000005e-05
1815,0.0,0.0,7.57e-07,3.7399999999999998e-06,3.51e-05
1816,0.0,0.0,7.690000000000001e-07,3.8e-06,3.56e-05
1817,0.0,0.0,7.799999999999999e-07,3.86e-06,3.6200000000000006e-05
1818,0.0,0.0,7.92e-07,3.910000000000001e-06,3.6700000000000004e-05
1819,0.0,0.0,8.04e-07,3.969999999999999e-06,3.7199999999999996e-05
1820,0.0,0.0,8.149999999999999e-07,4.0299999999999995e-06,3.78e-05
1821,0.0,0.0,8.29e-07,4.09e-06,3.84e-05
1822,0.0,0.0,8.44e-07,4.139999999999999e-06,3.91e-05
1823,0.0,0.0,8.580000000000001e-07,4.2e-06,3.9800000000000005e-05
1824,0.0,0.0,8.720000000000001e-07,4.26e-06,4.04e-05
1825,0.0,0.0,8.86e-07,4.32e-06,4.1099999999999996e-05
