year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,2.01e-05,0.0,0.0019299999999999999,0.0,0.0008070000000000001
1751,2.01e-05,0.0,0.0019299999999999999,2.27e-06,0.0008070000000000001
1752,2.01e-05,0.0,0.0019299999999999999,4.5500000000000005e-06,0.0008070000000000001
1753,2.01e-05,0.0,0.0019299999999999999,6.82e-06,0.0008070000000000001
1754,2.01e-05,0.0,0.0019299999999999999,9.100000000000001e-06,0.000808
1755,2.01e-05,0.0,0.0019299999999999999,1.1400000000000001e-05,0.000808
1756,2.01e-05,0.0,0.0019299999999999999,1.3599999999999999e-05,0.000808
1757,2.01e-05,0.0,0.0019299999999999999,1.59e-05,0.000809
1758,2.01e-05,0.0,0.0019299999999999999,1.8200000000000002e-05,0.000809
1759,2.01e-05,0.0,0.0019299999999999999,2.05e-05,0.000809
1760,2.01e-05,0.0,0.0019299999999999999,2.2700000000000003e-05,0.000809
1761,2.01e-05,0.0,0.0019299999999999999,2.5e-05,0.0008100000000000001
1762,2.01e-05,0.0,0.0019299999999999999,2.7300000000000003e-05,0.0008100000000000001
1763,2.01e-05,0.0,0.0019299999999999999,2.96e-05,0.0008100000000000001
1764,2.01e-05,0.0,0.0019399999999999999,3.18e-05,0.0008100000000000001
1765,2.01e-05,0.0,0.0019399999999999999,3.4099999999999995e-05,0.0008110000000000001
1766,2.01e-05,0.0,0.0019399999999999999,3.6400000000000004e-05,0.0008110000000000001
1767,2.01e-05,0.0,0.0019399999999999999,3.87e-05,0.0008110000000000001
1768,2.01e-05,0.0,0.0019399999999999999,4.09e-05,0.000812
1769,2.01e-05,0.0,0.0019399999999999999,4.32e-05,0.000812
1770,2.01e-05,0.0,0.0019399999999999999,4.55e-05,0.000812
1771,2.01e-05,0.0,0.0019399999999999999,4.78e-05,0.000812
1772,2.01e-05,0.0,0.0019399999999999999,5e-05,0.0008129999999999999
1773,2.01e-05,0.0,0.0019399999999999999,5.23e-05,0.0008129999999999999
1774,2.01e-05,0.0,0.0019399999999999999,5.4600000000000006e-05,0.0008129999999999999
1775,2.01e-05,0.0,0.0019399999999999999,5.69e-05,0.0008129999999999999
1776,2.01e-05,0.0,0.0019399999999999999,5.91e-05,0.0008139999999999999
1777,2.01e-05,0.0,0.0019399999999999999,6.14e-05,0.0008139999999999999
1778,2.01e-05,0.0,0.0019399999999999999,6.37e-05,0.0008139999999999999
1779,2.01e-05,0.0,0.0019399999999999999,6.59e-05,0.0008139999999999999
1780,2e-05,0.0,0.00195,6.819999999999999e-05,0.000815
1781,2e-05,0.0,0.00195,7.049999999999999e-05,0.000815
1782,2e-05,0.0,0.00195,7.280000000000001e-05,0.000815
1783,2e-05,0.0,0.00195,7.5e-05,0.000816
1784,2e-05,0.0,0.00195,7.73e-05,0.000816
1785,2e-05,0.0,0.00195,7.960000000000001e-05,0.000816
1786,2e-05,0.0,0.00195,8.19e-05,0.000816
1787,2e-05,0.0,0.00195,8.41e-05,0.0008169999999999999
1788,2e-05,0.0,0.00195,8.64e-05,0.0008169999999999999
1789,2e-05,0.0,0.00195,8.87e-05,0.0008169999999999999
1790,2e-05,0.0,0.00195,9.1e-05,0.0008169999999999999
1791,2e-05,0.0,0.00195,9.32e-05,0.0008179999999999999
1792,2e-05,0.0,0.00195,9.55e-05,0.0008179999999999999
1793,2e-05,0.0,0.00195,9.779999999999999e-05,0.0008179999999999999
1794,2e-05,0.0,0.00195,0.0001,0.000819
1795,2e-05,0.0,0.00196,0.000102,0.000819
1796,2e-05,0.0,0.00196,0.00010499999999999999,0.000819
1797,2e-05,0.0,0.00196,0.000107,0.000819
1798,2e-05,0.0,0.00196,0.00010899999999999999,0.00082
1799,2e-05,0.0,0.00196,0.000111,0.00082
1800,2e-05,0.0,0.00196,0.000114,0.00082
1801,2e-05,0.0,0.00196,0.000116,0.00082
1802,1.9900000000000003e-05,0.0,0.00196,0.000118,0.0008209999999999999
1803,1.9900000000000003e-05,0.0,0.00196,0.000121,0.0008209999999999999
1804,1.9900000000000003e-05,0.0,0.00196,0.000123,0.0008209999999999999
1805,1.9900000000000003e-05,0.0,0.00196,0.000125,0.0008219999999999999
1806,1.9900000000000003e-05,0.0,0.00196,0.000127,0.0008219999999999999
1807,1.9900000000000003e-05,0.0,0.00196,0.00013000000000000002,0.0008219999999999999
1808,1.9900000000000003e-05,0.0,0.00196,0.000132,0.0008219999999999999
1809,1.9900000000000003e-05,0.0,0.00196,0.000134,0.000823
1810,1.9900000000000003e-05,0.0,0.00197,0.000136,0.000823
1811,1.9900000000000003e-05,0.0,0.00197,0.00013900000000000002,0.000824
1812,1.9900000000000003e-05,0.0,0.00197,0.00014099999999999998,0.000824
1813,1.9900000000000003e-05,0.0,0.00197,0.00014299999999999998,0.000825
1814,1.9900000000000003e-05,0.0,0.00197,0.000146,0.0008259999999999999
1815,1.9900000000000003e-05,0.0,0.00197,0.000148,0.0008259999999999999
1816,1.9900000000000003e-05,0.0,0.00198,0.00015,0.0008269999999999999
1817,1.9900000000000003e-05,0.0,0.00198,0.000152,0.000828
1818,1.9900000000000003e-05,0.0,0.00198,0.000155,0.000828
1819,1.9900000000000003e-05,0.0,0.00198,0.000157,0.000829
1820,1.9900000000000003e-05,0.0,0.00198,0.00015900000000000002,0.00083
1821,1.9900000000000003e-05,0.0,0.00198,0.000161,0.0008309999999999999
1822,1.9900000000000003e-05,0.0,0.00198,0.000164,0.0008309999999999999
1823,1.9900000000000003e-05,0.0,0.00199,0.000166,0.000832
1824,1.9900000000000003e-05,0.0,0.00199,0.00016800000000000002,0.000833
1825,1.9900000000000003e-05,0.0,0.00199,0.000171,0.000833
1826,1.9900000000000003e-05,0.0,0.00199,0.00017299999999999998,0.000834
1827,1.9900000000000003e-05,0.0,0.00199,0.000175,0.0008349999999999999
1828,1.9900000000000003e-05,0.0,0.00199,0.000177,0.0008349999999999999
1829,1.9900000000000003e-05,0.0,0.002,0.00017999999999999998,0.0008359999999999999
1830,1.9900000000000003e-05,0.0,0.002,0.000182,0.000837
1831,1.9900000000000003e-05,0.0,0.002,0.000184,0.000838
1832,1.9900000000000003e-05,0.0,0.002,0.000186,0.000838
1833,1.9900000000000003e-05,0.0,0.002,0.000189,0.000839
1834,1.9900000000000003e-05,0.0,0.002,0.000191,0.0008399999999999999
1835,1.9900000000000003e-05,0.0,0.0020099999999999996,0.000193,0.0008399999999999999
1836,1.9900000000000003e-05,0.0,0.0020099999999999996,0.00019600000000000002,0.000841
1837,1.9900000000000003e-05,0.0,0.0020099999999999996,0.00019800000000000002,0.000842
1838,1.9900000000000003e-05,0.0,0.0020099999999999996,0.0002,0.000842
1839,1.9900000000000003e-05,0.0,0.0020099999999999996,0.000202,0.000843
1840,1.9900000000000003e-05,0.0,0.00202,0.000205,0.000844
1841,1.9900000000000003e-05,0.0,0.00202,0.000207,0.0008449999999999999
1842,1.9900000000000003e-05,0.0,0.00202,0.00020899999999999998,0.0008449999999999999
1843,1.9900000000000003e-05,0.0,0.00202,0.000211,0.000846
1844,1.9900000000000003e-05,0.0,0.00202,0.000214,0.000847
1845,1.9900000000000003e-05,0.0,0.00202,0.000216,0.000847
1846,1.9900000000000003e-05,0.0,0.0020299999999999997,0.00021799999999999999,0.000848
1847,1.9900000000000003e-05,0.0,0.0020299999999999997,0.000221,0.0008489999999999999
1848,1.9900000000000003e-05,0.0,0.0020299999999999997,0.000223,0.00085
1849,1.9900000000000003e-05,0.0,0.0020299999999999997,0.000225,0.00085
1850,2.65e-05,0.0,0.0020299999999999997,0.00022700000000000002,0.000903
1851,3.2099999999999994e-05,0.0,0.0020299999999999997,0.00023,0.000905
1852,3.2099999999999994e-05,0.0,0.00204,0.000232,0.000907
1853,3.2099999999999994e-05,0.0,0.00204,0.00023400000000000002,0.000909
1854,3.2099999999999994e-05,0.0,0.00204,0.000237,0.000911
1855,3.2500000000000004e-05,0.0,0.00204,0.00023899999999999998,0.0009130000000000001
1856,3.2800000000000004e-05,0.0,0.00204,0.000241,0.000915
1857,3.32e-05,0.0,0.0020499999999999997,0.000243,0.0009170000000000001
1858,3.35e-05,0.0,0.0020499999999999997,0.000246,0.0009180000000000001
1859,3.3799999999999995e-05,0.0,0.0020499999999999997,0.000248,0.000919
1860,3.4200000000000005e-05,0.0,0.0020499999999999997,0.00025,0.00092
1861,3.4500000000000005e-05,0.0,0.00206,0.000252,0.0009220000000000001
1862,3.47e-05,0.0,0.00206,0.000255,0.000924
1863,5.9e-05,0.0,0.00206,0.000257,0.0009260000000000001
1864,5.92e-05,0.0,0.00207,0.000259,0.0009270000000000001
1865,5.94e-05,0.0,0.00207,0.000262,0.000929
1866,5.9499999999999996e-05,0.0,0.0020800000000000003,0.000264,0.0009310000000000001
1867,5.97e-05,0.0,0.0020800000000000003,0.000266,0.000933
1868,5.99e-05,0.0,0.0020800000000000003,0.000268,0.000934
1869,6.0100000000000004e-05,0.0,0.00209,0.00027100000000000003,0.0009360000000000001
1870,6.03e-05,0.0,0.00209,0.000273,0.0009379999999999999
1871,6.07e-05,0.0,0.0021000000000000003,0.000275,0.000941
