year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.502,0.0,0.0994,1.2199999999999999e-18,0.264
1751,0.504,0.0,0.0999,8.23e-05,0.266
1752,0.506,0.0,0.1,0.000165,0.267
1753,0.509,0.0,0.101,0.000247,0.268
1754,0.511,0.0,0.101,0.00032900000000000003,0.27
1755,0.513,0.0,0.102,0.00041099999999999996,0.271
1756,0.515,0.0,0.102,0.000494,0.272
1757,0.518,0.0,0.103,0.0005759999999999999,0.274
1758,0.52,0.0,0.103,0.0006580000000000001,0.275
1759,0.522,0.0,0.104,0.00074,0.276
1760,0.524,0.0,0.104,0.000823,0.278
1761,0.527,0.0,0.105,0.000905,0.279
1762,0.529,0.0,0.105,0.000987,0.28
1763,0.531,0.0,0.106,0.00107,0.282
1764,0.534,0.0,0.106,0.00115,0.283
1765,0.536,0.0,0.107,0.00123,0.285
1766,0.538,0.0,0.107,0.00132,0.286
1767,0.541,0.0,0.108,0.0014,0.287
1768,0.543,0.0,0.109,0.00148,0.289
1769,0.545,0.0,0.109,0.00156,0.29
1770,0.548,0.0,0.11,0.00165,0.292
1771,0.55,0.0,0.11,0.00173,0.293
1772,0.552,0.0,0.111,0.00181,0.295
1773,0.555,0.0,0.111,0.00189,0.296
1774,0.557,0.0,0.112,0.00197,0.297
1775,0.56,0.0,0.112,0.00206,0.299
1776,0.562,0.0,0.113,0.00214,0.3
1777,0.564,0.0,0.113,0.00222,0.302
1778,0.567,0.0,0.114,0.0023,0.303
1779,0.569,0.0,0.115,0.00239,0.305
1780,0.572,0.0,0.115,0.0024700000000000004,0.306
1781,0.574,0.0,0.116,0.0025499999999999997,0.308
1782,0.576,0.0,0.116,0.00263,0.309
1783,0.579,0.0,0.117,0.00271,0.311
1784,0.581,0.0,0.117,0.0028,0.312
1785,0.584,0.0,0.118,0.0028799999999999997,0.314
1786,0.586,0.0,0.119,0.00296,0.315
1787,0.589,0.0,0.119,0.00304,0.317
1788,0.591,0.0,0.12,0.00313,0.318
1789,0.594,0.0,0.12,0.00321,0.32
1790,0.596,0.0,0.121,0.00329,0.321
1791,0.599,0.0,0.121,0.00337,0.323
1792,0.601,0.0,0.122,0.0034500000000000004,0.325
1793,0.604,0.0,0.123,0.00354,0.326
1794,0.606,0.0,0.123,0.00362,0.328
1795,0.609,0.0,0.124,0.0037,0.33
1796,0.611,0.0,0.124,0.00378,0.331
1797,0.614,0.0,0.125,0.00387,0.333
1798,0.616,0.0,0.126,0.00395,0.334
1799,0.619,0.0,0.126,0.004030000000000001,0.336
1800,0.621,0.0,0.127,0.00411,0.338
1801,0.624,0.0,0.127,0.004200000000000001,0.339
1802,0.627,0.0,0.128,0.00428,0.341
1803,0.629,0.0,0.129,0.00436,0.343
1804,0.632,0.0,0.129,0.00444,0.344
1805,0.634,0.0,0.13,0.00452,0.346
1806,0.637,0.0,0.131,0.00461,0.348
1807,0.639,0.0,0.131,0.004690000000000001,0.349
1808,0.642,0.0,0.132,0.00477,0.351
1809,0.645,0.0,0.133,0.004849999999999999,0.353
1810,0.647,0.0,0.133,0.004940000000000001,0.354
1811,0.65,0.0,0.134,0.005019999999999999,0.356
1812,0.652,0.0,0.135,0.0050999999999999995,0.358
1813,0.655,0.0,0.135,0.00518,0.36
1814,0.658,0.0,0.136,0.00526,0.362
1815,0.66,0.0,0.137,0.00535,0.363
1816,0.663,0.0,0.137,0.00543,0.365
1817,0.666,0.0,0.138,0.00551,0.367
1818,0.668,0.0,0.139,0.0055899999999999995,0.369
1819,0.671,0.0,0.139,0.005679999999999999,0.37
1820,0.673,0.0,0.14,0.0057599999999999995,0.372
1821,0.676,0.0,0.14,0.00584,0.374
1822,0.678,0.0,0.141,0.00592,0.375
1823,0.68,0.0,0.142,0.006,0.377
1824,0.682,0.0,0.142,0.00609,0.378
1825,0.684,0.0,0.143,0.00617,0.38
1826,0.686,0.0,0.143,0.00625,0.382
1827,0.688,0.0,0.144,0.00633,0.383
1828,0.691,0.0,0.145,0.00642,0.385
1829,0.693,0.0,0.145,0.0065,0.386
1830,0.695,0.0,0.146,0.00658,0.388
1831,0.696,0.0,0.146,0.00666,0.389
1832,0.698,0.0,0.147,0.00675,0.39
1833,0.699,0.0,0.147,0.00683,0.392
1834,0.701,0.0,0.148,0.00691,0.393
1835,0.702,0.0,0.148,0.0069900000000000006,0.394
1836,0.704,0.0,0.149,0.00707,0.395
1837,0.705,0.0,0.149,0.0071600000000000006,0.397
1838,0.707,0.0,0.149,0.00724,0.398
1839,0.708,0.0,0.15,0.00732,0.399
1840,0.709,0.0,0.15,0.0074,0.4
1841,0.711,0.0,0.151,0.00749,0.402
1842,0.712,0.0,0.151,0.00757,0.403
1843,0.714,0.0,0.152,0.0076500000000000005,0.404
1844,0.715,0.0,0.152,0.007730000000000001,0.406
1845,0.717,0.0,0.153,0.007809999999999999,0.407
1846,0.718,0.0,0.153,0.0079,0.408
1847,0.719,0.0,0.154,0.007980000000000001,0.409
1848,0.721,0.0,0.154,0.008060000000000001,0.411
1849,0.722,0.0,0.155,0.008140000000000001,0.412
1850,0.724,0.0,0.155,0.008230000000000001,0.412
1851,0.725,0.0,0.156,0.00831,0.414
1852,0.726,0.0,0.156,0.00839,0.417
1853,0.728,0.0,0.157,0.00847,0.419
1854,0.729,0.0,0.157,0.00855,0.421
1855,0.731,0.0,0.158,0.00864,0.423
1856,0.732,0.0,0.159,0.00872,0.425
1857,0.733,0.0,0.159,0.0088,0.427
1858,0.734,0.0,0.16,0.00888,0.429
1859,0.736,0.0,0.16,0.00897,0.431
1860,0.737,0.0,0.161,0.00905,0.432
1861,0.738,0.0,0.161,0.009130000000000001,0.433
1862,0.74,0.0,0.162,0.009210000000000001,0.434
1863,0.741,0.0,0.162,0.009300000000000001,0.436
1864,0.742,0.0,0.163,0.009380000000000001,0.437
1865,0.743,0.0,0.163,0.009460000000000001,0.438
1866,0.745,0.0,0.164,0.00954,0.439
1867,0.746,0.0,0.164,0.00962,0.441
1868,0.747,0.0,0.165,0.009710000000000002,0.442
1869,0.748,0.0,0.165,0.009789999999999998,0.443
1870,0.75,0.0,0.166,0.009869999999999999,0.444
1871,0.758,0.0,0.168,0.009949999999999999,0.45
1872,0.766,0.0,0.17,0.01,0.458
