year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,3.99e-06,0.0,0.00030199999999999997
1751,0.0,0.0,3.99e-06,1.35e-07,0.00030199999999999997
1752,0.0,0.0,3.99e-06,2.7e-07,0.00030199999999999997
1753,0.0,0.0,3.99e-06,4.05e-07,0.00030199999999999997
1754,0.0,0.0,3.99e-06,5.4e-07,0.000303
1755,0.0,0.0,3.99e-06,6.75e-07,0.000303
1756,0.0,0.0,4e-06,8.1e-07,0.000303
1757,0.0,0.0,4e-06,9.45e-07,0.000303
1758,0.0,0.0,4e-06,1.08e-06,0.000303
1759,0.0,0.0,4e-06,1.2099999999999998e-06,0.000303
1760,0.0,0.0,4e-06,1.35e-06,0.000303
1761,0.0,0.0,4e-06,1.48e-06,0.000303
1762,0.0,0.0,4e-06,1.62e-06,0.000303
1763,0.0,0.0,4e-06,1.75e-06,0.000303
1764,0.0,0.0,4.01e-06,1.89e-06,0.000304
1765,0.0,0.0,4.01e-06,2.02e-06,0.000304
1766,0.0,0.0,4.01e-06,2.16e-06,0.000304
1767,0.0,0.0,4.01e-06,2.29e-06,0.000304
1768,0.0,0.0,4.01e-06,2.43e-06,0.000304
1769,0.0,0.0,4.01e-06,2.56e-06,0.000304
1770,0.0,0.0,4.01e-06,2.7e-06,0.000304
1771,0.0,0.0,4.0200000000000005e-06,2.83e-06,0.000304
1772,0.0,0.0,4.0200000000000005e-06,2.97e-06,0.000304
1773,0.0,0.0,4.0200000000000005e-06,3.1e-06,0.000304
1774,0.0,0.0,4.0200000000000005e-06,3.24e-06,0.000305
1775,0.0,0.0,4.0200000000000005e-06,3.3700000000000003e-06,0.000305
1776,0.0,0.0,4.0200000000000005e-06,3.5100000000000003e-06,0.000305
1777,0.0,0.0,4.0200000000000005e-06,3.64e-06,0.000305
1778,0.0,0.0,4.0200000000000005e-06,3.78e-06,0.000305
1779,0.0,0.0,4.0299999999999995e-06,3.910000000000001e-06,0.000305
1780,0.0,0.0,4.0299999999999995e-06,4.05e-06,0.000305
1781,0.0,0.0,4.0299999999999995e-06,4.18e-06,0.000305
1782,0.0,0.0,4.0299999999999995e-06,4.32e-06,0.000305
1783,0.0,0.0,4.0299999999999995e-06,4.45e-06,0.000306
1784,0.0,0.0,4.0299999999999995e-06,4.59e-06,0.000306
1785,0.0,0.0,4.0299999999999995e-06,4.7200000000000005e-06,0.000306
1786,0.0,0.0,4.04e-06,4.86e-06,0.000306
1787,0.0,0.0,4.04e-06,4.99e-06,0.000306
1788,0.0,0.0,4.04e-06,5.13e-06,0.000306
1789,0.0,0.0,4.04e-06,5.26e-06,0.000306
1790,0.0,0.0,4.04e-06,5.4e-06,0.000306
1791,0.0,0.0,4.04e-06,5.53e-06,0.000306
1792,0.0,0.0,4.04e-06,5.67e-06,0.000306
1793,0.0,0.0,4.05e-06,5.7999999999999995e-06,0.000307
1794,0.0,0.0,4.05e-06,5.94e-06,0.000307
1795,0.0,0.0,4.05e-06,6.0699999999999995e-06,0.000307
1796,0.0,0.0,4.05e-06,6.21e-06,0.000307
1797,0.0,0.0,4.05e-06,6.34e-06,0.000307
1798,0.0,0.0,4.05e-06,6.48e-06,0.000307
1799,0.0,0.0,4.05e-06,6.61e-06,0.000307
1800,0.0,0.0,4.05e-06,6.75e-06,0.000307
1801,0.0,0.0,4.06e-06,6.88e-06,0.000307
1802,0.0,0.0,4.06e-06,7.0200000000000006e-06,0.000307
1803,0.0,0.0,4.06e-06,7.15e-06,0.000308
1804,0.0,0.0,4.06e-06,7.29e-06,0.000308
1805,0.0,0.0,4.06e-06,7.42e-06,0.000308
1806,0.0,0.0,4.06e-06,7.56e-06,0.000308
1807,0.0,0.0,4.06e-06,7.69e-06,0.000308
1808,0.0,0.0,4.07e-06,7.83e-06,0.000308
1809,0.0,0.0,4.07e-06,7.96e-06,0.000308
1810,0.0,0.0,4.07e-06,8.1e-06,0.000308
1811,0.0,0.0,4.07e-06,8.229999999999999e-06,0.000309
1812,0.0,0.0,4.07e-06,8.370000000000001e-06,0.000309
1813,0.0,0.0,4.08e-06,8.5e-06,0.000309
1814,0.0,0.0,4.08e-06,8.64e-06,0.000309
1815,0.0,0.0,4.09e-06,8.77e-06,0.00031
1816,0.0,0.0,4.09e-06,8.91e-06,0.00031
1817,0.0,0.0,4.09e-06,9.04e-06,0.00031
1818,0.0,0.0,4.1000000000000006e-06,9.18e-06,0.00031
1819,0.0,0.0,4.1000000000000006e-06,9.31e-06,0.000311
1820,0.0,0.0,4.1000000000000006e-06,9.45e-06,0.000311
1821,0.0,0.0,4.11e-06,9.58e-06,0.000311
1822,0.0,0.0,4.11e-06,9.72e-06,0.000311
1823,0.0,0.0,4.11e-06,9.849999999999999e-06,0.000312
1824,0.0,0.0,4.12e-06,9.990000000000001e-06,0.000312
1825,0.0,0.0,4.12e-06,1.01e-05,0.000312
1826,0.0,0.0,4.12e-06,1.03e-05,0.000312
1827,0.0,0.0,4.13e-06,1.0399999999999999e-05,0.000313
1828,0.0,0.0,4.13e-06,1.0500000000000001e-05,0.000313
1829,0.0,0.0,4.13e-06,1.07e-05,0.000313
1830,0.0,0.0,4.139999999999999e-06,1.08e-05,0.000313
1831,0.0,0.0,4.139999999999999e-06,1.09e-05,0.000314
1832,0.0,0.0,4.139999999999999e-06,1.11e-05,0.000314
1833,0.0,0.0,4.15e-06,1.12e-05,0.000314
1834,0.0,0.0,4.15e-06,1.1299999999999999e-05,0.000315
1835,0.0,0.0,4.15e-06,1.15e-05,0.000315
1836,0.0,0.0,4.16e-06,1.1599999999999999e-05,0.000315
1837,0.0,0.0,4.16e-06,1.17e-05,0.000315
1838,0.0,0.0,4.16e-06,1.1900000000000001e-05,0.000316
1839,0.0,0.0,4.17e-06,1.2e-05,0.000316
1840,0.0,0.0,4.17e-06,1.21e-05,0.000316
1841,0.0,0.0,4.18e-06,1.23e-05,0.000316
1842,0.0,0.0,4.18e-06,1.24e-05,0.000317
1843,0.0,0.0,4.18e-06,1.26e-05,0.000317
1844,0.0,0.0,4.1900000000000005e-06,1.2699999999999999e-05,0.000317
1845,0.0,0.0,4.1900000000000005e-06,1.2800000000000001e-05,0.000317
1846,0.0,0.0,4.1900000000000005e-06,1.3e-05,0.00031800000000000003
1847,0.0,0.0,4.2e-06,1.31e-05,0.00031800000000000003
1848,0.0,0.0,4.2e-06,1.32e-05,0.00031800000000000003
1849,0.0,0.0,4.2e-06,1.34e-05,0.000319
1850,4.75e-06,0.0,4.13e-06,1.35e-05,0.000313
1851,4.85e-06,0.0,4.219999999999999e-06,1.3599999999999999e-05,0.00032
1852,4.95e-06,0.0,4.3e-06,1.38e-05,0.000326
1853,5.04e-06,0.0,4.38e-06,1.3899999999999999e-05,0.000332
1854,5.13e-06,0.0,4.4600000000000005e-06,1.4e-05,0.00033800000000000003
1855,5.21e-06,0.0,4.53e-06,1.4200000000000001e-05,0.00034300000000000004
1856,5.28e-06,0.0,4.59e-06,1.43e-05,0.000348
1857,5.3400000000000005e-06,0.0,4.64e-06,1.44e-05,0.000352
1858,5.38e-06,0.0,4.68e-06,1.46e-05,0.00035499999999999996
