year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,1.91e-20,0.0,0.0,0.0,0.0
1751,1.91e-20,0.0,0.0,0.0,0.0
1752,1.91e-20,0.0,0.0,0.0,0.0
1753,1.91e-20,0.0,0.0,0.0,0.0
1754,1.91e-20,0.0,0.0,0.0,0.0
1755,1.91e-20,0.0,0.0,0.0,0.0
1756,1.91e-20,0.0,0.0,0.0,0.0
1757,1.91e-20,0.0,0.0,0.0,0.0
1758,1.91e-20,0.0,0.0,0.0,0.0
1759,1.91e-20,0.0,0.0,0.0,0.0
1760,1.91e-20,0.0,0.0,0.0,0.0
1761,1.91e-20,0.0,0.0,0.0,0.0
1762,1.91e-20,0.0,0.0,0.0,0.0
1763,1.91e-20,0.0,0.0,0.0,0.0
1764,1.91e-20,0.0,0.0,0.0,0.0
1765,1.91e-20,0.0,0.0,0.0,0.0
1766,1.91e-20,0.0,0.0,0.0,0.0
1767,1.91e-20,0.0,0.0,0.0,0.0
1768,1.91e-20,0.0,0.0,0.0,0.0
1769,1.91e-20,0.0,0.0,0.0,0.0
1770,1.91e-20,0.0,0.0,0.0,0.0
1771,1.91e-20,0.0,0.0,0.0,0.0
1772,1.91e-20,0.0,0.0,0.0,0.0
1773,1.91e-20,0.0,0.0,0.0,0.0
1774,1.91e-20,0.0,0.0,0.0,0.0
1775,1.91e-20,0.0,0.0,0.0,0.0
1776,1.91e-20,0.0,0.0,0.0,0.0
1777,1.91e-20,0.0,0.0,0.0,0.0
1778,1.91e-20,0.0,0.0,0.0,0.0
1779,1.91e-20,0.0,0.0,0.0,0.0
1780,1.91e-20,0.0,0.0,0.0,0.0
1781,1.91e-20,0.0,0.0,0.0,0.0
1782,1.91e-20,0.0,0.0,0.0,0.0
1783,1.91e-20,0.0,0.0,0.0,0.0
1784,1.91e-20,0.0,0.0,0.0,0.0
1785,1.91e-20,0.0,0.0,0.0,0.0
1786,1.91e-20,0.0,0.0,0.0,0.0
1787,1.91e-20,0.0,0.0,0.0,0.0
1788,1.91e-20,0.0,0.0,0.0,0.0
1789,1.91e-20,0.0,0.0,0.0,0.0
1790,1.91e-20,0.0,0.0,0.0,0.0
