year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.000412
1851,0.000412
1852,0.000412
1853,0.000412
1854,0.000412
1855,0.000412
1856,0.000412
1857,0.000412
1858,0.000412
1859,0.000412
1860,0.000412
1861,0.000412
1862,0.000412
1863,0.000412
1864,0.000412
1865,0.000412
1866,0.000412
1867,0.000412
1868,0.000412
1869,0.000412
1870,0.000412
1871,0.000412
1872,0.000412
1873,0.000412
1874,0.000412
1875,0.000412
1876,0.000412
1877,0.000412
1878,0.000412
1879,0.000412
1880,0.000412
1881,0.000412
1882,0.000412
1883,0.000412
1884,0.000412
1885,0.000412
1886,0.000412
1887,0.000412
1888,0.000412
1889,0.000412
1890,0.000412
1891,0.000483
1892,0.0006770000000000001
1893,0.000972
1894,0.00134
1895,0.00176
1896,0.00221
1897,0.00266
1898,0.00309
1899,0.00348
1900,0.00379
1901,0.00405
1902,0.00428
1903,0.0045
1904,0.00471
1905,0.00491
1906,0.00511
1907,0.00532
1908,0.00555
1909,0.00579
1910,0.006059999999999999
1911,0.00635
1912,0.00666
1913,0.0069900000000000006
1914,0.00734
1915,0.00771
1916,0.0081
1917,0.00851
1918,0.00893
1919,0.009380000000000001
1920,0.00984
1921,0.011699999999999999
1922,0.016
1923,0.0223
1924,0.030100000000000002
1925,0.0389
1926,0.048299999999999996
1927,0.0577
1928,0.0668
1929,0.075
1930,0.0819
1931,0.0879
1932,0.09359999999999999
1933,0.0991
1934,0.105
1935,0.11
1936,0.115
1937,0.12
1938,0.126
1939,0.131
1940,0.137
1941,0.142
1942,0.148
1943,0.154
1944,0.16
1945,0.166
1946,0.173
1947,0.18
1948,0.188
1949,0.197
1950,0.205
1951,0.215
1952,0.226
1953,0.237
1954,0.25
1955,0.263
1956,0.276
1957,0.29
1958,0.305
1959,0.32
1960,0.335
1961,0.352
1962,0.371
1963,0.392
1964,0.413
1965,0.435
1966,0.457
1967,0.478
1968,0.497
1969,0.513
1970,0.526
1971,0.538
1972,0.549
1973,0.561
1974,0.572
1975,0.582
1976,0.592
1977,0.601
1978,0.609
1979,0.616
1980,0.621
1981,0.624
1982,0.625
1983,0.624
1984,0.622
1985,0.62
1986,0.617
1987,0.615
1988,0.614
1989,0.614
1990,0.554
1991,0.653
1992,0.609
1993,0.609
1994,0.545
1995,0.48
1996,0.496
1997,0.496
1998,0.496
1999,0.495
2000,0.641
2001,0.79
2002,1.03
2003,1.3
2004,1.66
2005,1.93
2006,2.2
2007,2.67
2008,2.87
2009,2.91
2010,4.37
2011,4.82
2012,5.74
2013,5.93
2014,6.5
2015,6.26
2016,6.57
2017,6.78
2018,6.5
2019,7.32
2020,8.36
2021,9.27
2022,8.67
2023,9.91
