year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.659,0.0,0.344,0.0,6.45
1751,0.66,0.0,0.345,0.00219,6.46
1752,0.66,0.0,0.345,0.00438,6.47
1753,0.661,0.0,0.346,0.00657,6.48
1754,0.662,0.0,0.346,0.00876,6.49
1755,0.663,0.0,0.347,0.0109,6.5
1756,0.664,0.0,0.347,0.013099999999999999,6.51
1757,0.664,0.0,0.348,0.015300000000000001,6.52
1758,0.665,0.0,0.349,0.0175,6.53
1759,0.666,0.0,0.349,0.0197,6.54
1760,0.667,0.0,0.35,0.0219,6.55
1761,0.668,0.0,0.35,0.0241,6.56
1762,0.668,0.0,0.351,0.0263,6.57
1763,0.669,0.0,0.351,0.0285,6.58
1764,0.67,0.0,0.352,0.030699999999999998,6.59
1765,0.671,0.0,0.352,0.032799999999999996,6.6
1766,0.672,0.0,0.353,0.035,6.61
1767,0.672,0.0,0.353,0.037200000000000004,6.62
1768,0.673,0.0,0.354,0.0394,6.63
1769,0.674,0.0,0.355,0.0416,6.64
1770,0.675,0.0,0.355,0.0438,6.65
1771,0.676,0.0,0.356,0.046,6.66
1772,0.676,0.0,0.356,0.0482,6.67
1773,0.677,0.0,0.357,0.0504,6.69
1774,0.678,0.0,0.357,0.0526,6.7
1775,0.679,0.0,0.358,0.054700000000000006,6.71
1776,0.679,0.0,0.358,0.0569,6.72
1777,0.68,0.0,0.359,0.0591,6.73
1778,0.681,0.0,0.359,0.0613,6.74
1779,0.682,0.0,0.36,0.0635,6.75
1780,0.682,0.0,0.361,0.06570000000000001,6.76
1781,0.683,0.0,0.361,0.0679,6.77
1782,0.684,0.0,0.362,0.0701,6.78
1783,0.685,0.0,0.362,0.0723,6.79
1784,0.685,0.0,0.363,0.0745,6.8
1785,0.686,0.0,0.363,0.07659999999999999,6.81
1786,0.687,0.0,0.364,0.0788,6.82
1787,0.688,0.0,0.365,0.081,6.83
1788,0.688,0.0,0.365,0.0832,6.84
1789,0.689,0.0,0.366,0.0854,6.85
1790,0.69,0.0,0.366,0.0876,6.86
1791,0.691,0.0,0.367,0.08979999999999999,6.87
1792,0.691,0.0,0.367,0.092,6.88
1793,0.692,0.0,0.368,0.0942,6.9
1794,0.693,0.0,0.369,0.0964,6.91
1795,0.694,0.0,0.369,0.0985,6.92
1796,0.694,0.0,0.37,0.101,6.93
1797,0.695,0.0,0.37,0.103,6.94
1798,0.696,0.0,0.371,0.105,6.95
1799,0.697,0.0,0.371,0.107,6.96
1800,0.697,0.0,0.372,0.109,6.97
1801,0.698,0.0,0.373,0.112,6.98
1802,0.699,0.0,0.373,0.114,6.99
1803,0.699,0.0,0.374,0.116,7.0
1804,0.7,0.0,0.374,0.118,7.01
1805,0.701,0.0,0.375,0.12,7.03
1806,0.701,0.0,0.375,0.123,7.04
1807,0.702,0.0,0.376,0.125,7.05
1808,0.703,0.0,0.377,0.127,7.06
1809,0.704,0.0,0.377,0.129,7.07
1810,0.704,0.0,0.378,0.131,7.08
1811,0.705,0.0,0.378,0.134,7.09
1812,0.706,0.0,0.379,0.136,7.1
1813,0.706,0.0,0.38,0.138,7.11
1814,0.707,0.0,0.38,0.14,7.12
1815,0.708,0.0,0.381,0.142,7.13
1816,0.708,0.0,0.381,0.145,7.15
