year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00014099999999999998
1851,0.00014099999999999998
1852,0.00014099999999999998
1853,0.00014099999999999998
1854,0.00014099999999999998
1855,0.00014099999999999998
1856,0.00014099999999999998
1857,0.00014099999999999998
1858,0.00014099999999999998
1859,0.00014099999999999998
1860,0.00014099999999999998
1861,0.00014099999999999998
1862,0.00014099999999999998
1863,0.00014099999999999998
1864,0.00014099999999999998
1865,0.00014099999999999998
1866,0.00014099999999999998
1867,0.00014099999999999998
1868,0.00014099999999999998
1869,0.00014099999999999998
1870,0.00014099999999999998
1871,0.00014099999999999998
1872,0.00014099999999999998
1873,0.00014099999999999998
1874,0.00014099999999999998
1875,0.00014099999999999998
1876,0.00014099999999999998
1877,0.00014099999999999998
1878,0.00014099999999999998
1879,0.00014099999999999998
1880,0.00014099999999999998
1881,0.00014099999999999998
1882,0.00014099999999999998
1883,0.00014099999999999998
1884,0.00014099999999999998
1885,0.00014099999999999998
1886,0.00014099999999999998
1887,0.00014099999999999998
1888,0.00014099999999999998
1889,0.00014099999999999998
1890,0.00014099999999999998
1891,0.000165
1892,0.00023
1893,0.00032900000000000003
1894,0.00045400000000000003
1895,0.0005949999999999999
1896,0.000746
1897,0.000898
1898,0.0010400000000000001
1899,0.00117
1900,0.00128
1901,0.00136
1902,0.0014399999999999999
1903,0.00152
1904,0.00159
1905,0.00165
1906,0.00172
1907,0.0017900000000000001
1908,0.0018700000000000001
1909,0.00195
1910,0.00204
1911,0.00214
1912,0.0022400000000000002
1913,0.00235
1914,0.0024700000000000004
1915,0.0026
1916,0.00273
1917,0.0028599999999999997
1918,0.0030099999999999997
1919,0.00316
1920,0.00331
1921,0.00394
1922,0.00541
1923,0.00756
1924,0.010199999999999999
1925,0.0132
1926,0.016399999999999998
1927,0.0197
1928,0.0228
1929,0.0256
1930,0.027899999999999998
1931,0.03
1932,0.0319
1933,0.0338
1934,0.0357
1935,0.0375
1936,0.039299999999999995
1937,0.041100000000000005
1938,0.0429
1939,0.044700000000000004
1940,0.0466
1941,0.0485
1942,0.0504
1943,0.052399999999999995
1944,0.0546
1945,0.056799999999999996
1946,0.0591
1947,0.0616
1948,0.0643
1949,0.06709999999999999
1950,0.0702
1951,0.0735
1952,0.07709999999999999
1953,0.08109999999999999
1954,0.0853
1955,0.0897
1956,0.09440000000000001
1957,0.0992
1958,0.104
1959,0.109
1960,0.115
1961,0.12
1962,0.127
1963,0.134
1964,0.141
1965,0.149
1966,0.156
1967,0.163
1968,0.17
1969,0.175
1970,0.18
1971,0.184
1972,0.188
1973,0.192
1974,0.195
1975,0.199
1976,0.202
1977,0.205
1978,0.208
1979,0.21
1980,0.212
1981,0.213
1982,0.213
1983,0.213
1984,0.212
1985,0.211
1986,0.211
1987,0.21
1988,0.209
1989,0.209
1990,0.212
1991,0.169
1992,0.128
1993,0.129
1994,0.145
1995,0.16
1996,0.129
1997,0.138
1998,0.121
1999,0.105
2000,0.119
2001,0.128
2002,0.149
2003,0.168
2004,0.261
2005,0.398
2006,0.478
2007,0.664
2008,0.764
2009,0.671
2010,0.722
2011,0.769
2012,0.792
2013,0.839
2014,0.825
2015,0.767
2016,0.885
2017,1.01
2018,1.34
2019,1.62
2020,1.68
2021,1.83
2022,2.0
