year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,2.22,0.0,0.434,3.31e-17,10.5
1751,2.23,0.0,0.435,0.0114,10.6
1752,2.24,0.0,0.437,0.022699999999999998,10.6
1753,2.24,0.0,0.439,0.0341,10.7
1754,2.25,0.0,0.44,0.0455,10.7
1755,2.26,0.0,0.442,0.0569,10.7
1756,2.27,0.0,0.443,0.0682,10.8
1757,2.28,0.0,0.445,0.07959999999999999,10.8
1758,2.29,0.0,0.447,0.091,10.9
1759,2.29,0.0,0.448,0.102,10.9
1760,2.3,0.0,0.45,0.114,10.9
1761,2.31,0.0,0.452,0.125,11.0
1762,2.32,0.0,0.453,0.136,11.0
1763,2.33,0.0,0.455,0.148,11.1
1764,2.34,0.0,0.457,0.159,11.1
1765,2.34,0.0,0.458,0.171,11.1
1766,2.35,0.0,0.46,0.182,11.2
1767,2.36,0.0,0.462,0.193,11.2
1768,2.37,0.0,0.463,0.205,11.3
1769,2.38,0.0,0.465,0.216,11.3
1770,2.39,0.0,0.467,0.227,11.3
1771,2.39,0.0,0.468,0.239,11.4
1772,2.4,0.0,0.47,0.25,11.4
1773,2.41,0.0,0.472,0.262,11.5
1774,2.42,0.0,0.473,0.273,11.5
1775,2.43,0.0,0.475,0.284,11.6
1776,2.44,0.0,0.477,0.296,11.6
1777,2.44,0.0,0.479,0.307,11.6
1778,2.45,0.0,0.48,0.318,11.7
1779,2.46,0.0,0.482,0.33,11.7
1780,2.47,0.0,0.484,0.341,11.8
1781,2.48,0.0,0.486,0.353,11.8
1782,2.49,0.0,0.487,0.364,11.8
1783,2.49,0.0,0.489,0.375,11.9
1784,2.5,0.0,0.491,0.387,11.9
1785,2.51,0.0,0.493,0.398,12.0
1786,2.52,0.0,0.495,0.409,12.0
1787,2.53,0.0,0.496,0.421,12.1
1788,2.54,0.0,0.498,0.432,12.1
1789,2.54,0.0,0.5,0.444,12.2
1790,2.55,0.0,0.502,0.455,12.2
1791,2.56,0.0,0.504,0.466,12.2
1792,2.57,0.0,0.505,0.478,12.3
1793,2.58,0.0,0.507,0.489,12.3
