year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,0.00176,0.0,0.033299999999999996
1751,0.0,0.0,0.00177,0.000704,0.033600000000000005
1752,0.0,0.0,0.0017800000000000001,0.00141,0.0339
1753,0.0,0.0,0.0017800000000000001,0.00211,0.0342
1754,0.0,0.0,0.0017900000000000001,0.00282,0.0345
1755,0.0,0.0,0.0018,0.00352,0.0348
1756,0.0,0.0,0.00181,0.00423,0.0351
1757,0.0,0.0,0.00182,0.0049299999999999995,0.0354
1758,0.0,0.0,0.00183,0.00564,0.0357
1759,0.0,0.0,0.00184,0.00634,0.036
1760,0.0,0.0,0.00185,0.00704,0.0363
1761,0.0,0.0,0.00186,0.00775,0.0366
1762,0.0,0.0,0.0018700000000000001,0.00845,0.037
1763,0.0,0.0,0.00189,0.00916,0.0373
1764,0.0,0.0,0.0019,0.009859999999999999,0.037700000000000004
1765,0.0,0.0,0.00191,0.0106,0.038
1766,0.0,0.0,0.0019199999999999998,0.011300000000000001,0.0384
1767,0.0,0.0,0.0019299999999999999,0.012,0.038700000000000005
1768,0.0,0.0,0.0019399999999999999,0.0127,0.0391
1769,0.0,0.0,0.00195,0.0134,0.0394
1770,0.0,0.0,0.00196,0.0141,0.039799999999999995
1771,0.0,0.0,0.00198,0.0148,0.0402
1772,0.0,0.0,0.00199,0.0155,0.040600000000000004
1773,0.0,0.0,0.002,0.0162,0.041
1774,0.0,0.0,0.00202,0.0169,0.0414
1775,0.0,0.0,0.0020299999999999997,0.0176,0.0418
1776,0.0,0.0,0.00204,0.0183,0.0422
1777,0.0,0.0,0.0020499999999999997,0.019,0.0426
1778,0.0,0.0,0.00207,0.0197,0.043
1779,0.0,0.0,0.0020800000000000003,0.020399999999999998,0.0435
1780,0.0,0.0,0.00209,0.0211,0.0439
1781,0.0,0.0,0.00211,0.0218,0.0444
1782,0.0,0.0,0.00212,0.0225,0.044899999999999995
1783,0.0,0.0,0.00214,0.0232,0.0453
1784,0.0,0.0,0.00215,0.023899999999999998,0.0458
1785,0.000122,0.0,0.00217,0.0247,0.046299999999999994
1786,0.000122,0.0,0.00218,0.0254,0.046799999999999994
1787,0.000122,0.0,0.0022,0.0261,0.047299999999999995
1788,0.000122,0.0,0.00221,0.0268,0.047799999999999995
1789,0.000122,0.0,0.0022299999999999998,0.0275,0.048299999999999996
1790,0.000122,0.0,0.00225,0.0282,0.048799999999999996
1791,0.000122,0.0,0.00227,0.0289,0.0497
1792,0.000122,0.0,0.0023,0.0296,0.0506
1793,0.000122,0.0,0.00232,0.0303,0.0514
1794,0.000122,0.0,0.00235,0.031,0.0523
1795,0.000122,0.0,0.00237,0.0317,0.053200000000000004
1796,0.000122,0.0,0.0024,0.0324,0.0541
1797,0.000122,0.0,0.00242,0.033100000000000004,0.0549
1798,0.000122,0.0,0.0024500000000000004,0.0338,0.055799999999999995
1799,0.000122,0.0,0.00248,0.0345,0.0567
1800,0.000417,0.0,0.0025,0.0352,0.0576
1801,0.000434,0.0,0.0025299999999999997,0.0359,0.0587
1802,0.00045900000000000004,0.0,0.00257,0.0366,0.0599
1803,0.00046800000000000005,0.0,0.0026,0.0373,0.061
1804,0.0005110000000000001,0.0,0.00263,0.038,0.062200000000000005
1805,0.000519,0.0,0.00267,0.038700000000000005,0.0634
1806,0.0005110000000000001,0.0,0.0027,0.0394,0.0645
1807,0.0005620000000000001,0.0,0.00273,0.040100000000000004,0.06570000000000001
1808,0.000579,0.0,0.00277,0.0409,0.0668
1809,0.000592,0.0,0.0028,0.0416,0.068
1810,0.000609,0.0,0.00283,0.0423,0.0692
1811,0.000643,0.0,0.0028799999999999997,0.043,0.0707
1812,0.0006850000000000001,0.0,0.00292,0.0437,0.0722
1813,0.000728,0.0,0.00297,0.0444,0.07379999999999999
1814,0.000775,0.0,0.0030099999999999997,0.0451,0.07529999999999999
1815,0.0008219999999999999,0.0,0.0030600000000000002,0.0458,0.0768
1816,0.0008950000000000001,0.0,0.0031,0.0465,0.0783
1817,0.000959,0.0,0.00315,0.047200000000000006,0.0799
1818,0.00103,0.0,0.00319,0.0479,0.0814
1819,0.00101,0.0,0.00323,0.048600000000000004,0.0829
1820,0.0010400000000000001,0.0,0.00328,0.0493,0.0845
1821,0.00109,0.0,0.0033399999999999997,0.05,0.0865
1822,0.00113,0.0,0.0034,0.0507,0.0885
1823,0.00117,0.0,0.00346,0.0514,0.0906
1824,0.0013,0.0,0.00352,0.0521,0.09259999999999999
1825,0.00145,0.0,0.00357,0.0528,0.0947
1826,0.00165,0.0,0.00363,0.0535,0.09670000000000001
1827,0.00181,0.0,0.00369,0.054200000000000005,0.0987
1828,0.00198,0.0,0.00375,0.0549,0.101
1829,0.00221,0.0,0.00381,0.055600000000000004,0.103
1830,0.00261,0.0,0.00387,0.0564,0.105
1831,0.00283,0.0,0.00395,0.0571,0.108
1832,0.00369,0.0,0.004030000000000001,0.0578,0.111
1833,0.00429,0.0,0.00412,0.0585,0.114
1834,0.00413,0.0,0.004200000000000001,0.0592,0.117
1835,0.00523,0.0,0.00428,0.0599,0.12
1836,0.005730000000000001,0.0,0.00436,0.0606,0.122
1837,0.00641,0.0,0.00444,0.0613,0.125
1838,0.0060999999999999995,0.0,0.00453,0.062,0.128
1839,0.006679999999999999,0.0,0.00461,0.0627,0.131
1840,0.0070999999999999995,0.0,0.004690000000000001,0.0634,0.134
1841,0.00752,0.0,0.0048,0.06409999999999999,0.138
1842,0.00835,0.0,0.004900000000000001,0.0648,0.142
1843,0.009349999999999999,0.0,0.00501,0.0655,0.146
1844,0.0112,0.0,0.00511,0.06620000000000001,0.15
1845,0.0134,0.0,0.00522,0.0669,0.154
1846,0.0159,0.0,0.00532,0.0676,0.157
1847,0.0189,0.0,0.00543,0.0683,0.161
1848,0.0212,0.0,0.00553,0.069,0.165
1849,0.023100000000000002,0.0,0.00564,0.0697,0.169
1850,0.019899999999999998,0.0,0.00552,0.0704,0.171
1851,0.020399999999999998,0.0,0.00563,0.0711,0.175
1852,0.0208,0.0,0.00575,0.0718,0.178
1853,0.0212,0.0,0.005849999999999999,0.0726,0.182
1854,0.0215,0.0,0.00596,0.0733,0.185
1855,0.0219,0.0,0.00605,0.074,0.188
1856,0.0222,0.0,0.00613,0.0747,0.19
1857,0.0224,0.0,0.0062,0.07540000000000001,0.192
1858,0.022600000000000002,0.0,0.00626,0.0761,0.194
1859,0.0228,0.0,0.0063,0.0768,0.195
1860,0.0228,0.0,0.00632,0.0775,0.196
1861,0.0229,0.0,0.00633,0.0782,0.196
1862,0.0229,0.0,0.00634,0.07890000000000001,0.197
1863,0.0229,0.0,0.00634,0.07959999999999999,0.197
1864,0.0229,0.0,0.00635,0.0803,0.197
1865,0.0229,0.0,0.00635,0.081,0.197
1866,0.023,0.0,0.00635,0.08170000000000001,0.197
1867,0.023,0.0,0.00636,0.0824,0.197
1868,0.023,0.0,0.00637,0.0831,0.197
1869,0.023,0.0,0.00637,0.0838,0.198
1870,0.023100000000000002,0.0,0.00639,0.0845,0.198
1871,0.0235,0.0,0.00649,0.0852,0.201
1872,0.024399999999999998,0.0,0.0067599999999999995,0.0859,0.21
1873,0.0259,0.0,0.0071600000000000006,0.0866,0.222
1874,0.027600000000000003,0.0,0.00764,0.0873,0.237
1875,0.0295,0.0,0.00818,0.088,0.254
1876,0.0315,0.0,0.00872,0.0888,0.271
1877,0.0334,0.0,0.00924,0.0895,0.287
1878,0.035,0.0,0.009699999999999999,0.0902,0.301
1879,0.0363,0.0,0.0101,0.09090000000000001,0.312
1880,0.0371,0.0,0.0103,0.0916,0.318
1881,0.0375,0.0,0.0104,0.0923,0.322
1882,0.037899999999999996,0.0,0.0105,0.093,0.325
1883,0.038200000000000005,0.0,0.0106,0.0937,0.328
1884,0.0385,0.0,0.0106,0.09440000000000001,0.33
1885,0.038700000000000005,0.0,0.0107,0.09509999999999999,0.332
1886,0.039,0.0,0.0108,0.0958,0.334
1887,0.039200000000000006,0.0,0.0108,0.0965,0.336
1888,0.0394,0.0,0.0109,0.09720000000000001,0.338
1889,0.039700000000000006,0.0,0.011,0.0979,0.341
1890,0.0458,0.0,0.0111,0.0986,0.353
1891,0.0475,0.0,0.0112,0.0993,0.355
1892,0.0493,0.0,0.011300000000000001,0.1,0.356
1893,0.0513,0.0,0.0114,0.101,0.358
1894,0.0535,0.0,0.0115,0.101,0.36
1895,0.0557,0.0,0.0116,0.102,0.361
1896,0.0581,0.0,0.011699999999999999,0.103,0.363
1897,0.0605,0.0,0.011800000000000001,0.104,0.364
1898,0.0631,0.0,0.0119,0.104,0.366
1899,0.0658,0.0,0.0121,0.105,0.367
1900,0.0685,0.0,0.012199999999999999,0.106,0.368
1901,0.0715,0.0,0.0124,0.106,0.369
1902,0.075,0.0,0.0126,0.107,0.37
1903,0.0788,0.0,0.0128,0.108,0.371
1904,0.08270000000000001,0.0,0.013099999999999999,0.108,0.372
1905,0.0868,0.0,0.013300000000000001,0.109,0.373
1906,0.09079999999999999,0.0,0.0136,0.11,0.374
1907,0.0947,0.0,0.013900000000000001,0.111,0.376
1908,0.09820000000000001,0.0,0.014199999999999999,0.111,0.377
1909,0.101,0.0,0.0144,0.112,0.378
1910,0.104,0.0,0.0147,0.113,0.38
1911,0.107,0.0,0.0149,0.113,0.383
1912,0.109,0.0,0.0152,0.114,0.389
1913,0.111,0.0,0.0154,0.115,0.397
1914,0.113,0.0,0.0157,0.116,0.406
1915,0.115,0.0,0.0159,0.116,0.417
1916,0.117,0.0,0.0161,0.117,0.427
1917,0.119,0.0,0.016399999999999998,0.118,0.437
1918,0.12,0.0,0.0166,0.118,0.445
1919,0.122,0.0,0.0169,0.119,0.452
1920,0.123,0.0,0.0171,0.12,0.455
1921,0.123,0.0,0.0174,0.12,0.456
1922,0.124,0.0,0.0177,0.121,0.456
1923,0.125,0.0,0.0179,0.122,0.455
1924,0.126,0.0,0.0182,0.123,0.452
1925,0.127,0.0,0.0185,0.123,0.45
1926,0.128,0.0,0.018699999999999998,0.124,0.447
1927,0.129,0.0,0.019,0.125,0.444
1928,0.13,0.0,0.0192,0.125,0.442
1929,0.131,0.0,0.0195,0.126,0.44
1930,0.132,0.0,0.0197,0.127,0.44
1931,0.132,0.000834,0.019899999999999998,0.127,0.44
1932,0.132,0.00316,0.0201,0.128,0.439
1933,0.131,0.006719999999999999,0.0202,0.129,0.438
1934,0.13,0.0112,0.020399999999999998,0.13,0.436
1935,0.129,0.0165,0.0205,0.13,0.435
1936,0.128,0.0221,0.0207,0.131,0.433
1937,0.127,0.028,0.0208,0.132,0.432
1938,0.126,0.0337,0.021,0.132,0.43
1939,0.126,0.0391,0.0213,0.133,0.43
1940,0.127,0.0439,0.0216,0.134,0.43
1941,0.13,0.048100000000000004,0.0224,0.135,0.443
1942,0.134,0.0519,0.0238,0.135,0.477
1943,0.141,0.055600000000000004,0.0258,0.136,0.528
1944,0.148,0.0592,0.0281,0.137,0.589
1945,0.156,0.0629,0.030699999999999998,0.137,0.657
1946,0.164,0.0669,0.0334,0.138,0.725
1947,0.172,0.0712,0.036,0.139,0.79
1948,0.178,0.076,0.0384,0.139,0.846
1949,0.183,0.0815,0.0405,0.14,0.887
1950,0.186,0.0879,0.0421,0.141,0.909
1951,0.188,0.09670000000000001,0.0432,0.142,0.92
1952,0.19,0.109,0.0442,0.142,0.932
1953,0.193,0.125,0.0451,0.143,0.945
1954,0.195,0.144,0.0458,0.144,0.958
1955,0.198,0.164,0.0466,0.144,0.972
1956,0.201,0.187,0.047299999999999995,0.145,0.986
1957,0.203,0.211,0.048100000000000004,0.146,1.0
1958,0.205,0.235,0.049,0.147,1.02
1959,0.207,0.26,0.05,0.147,1.03
1960,0.208,0.284,0.0513,0.148,1.05
1961,0.208,0.312,0.053,0.149,1.11
1962,0.21,0.345,0.055200000000000006,0.149,1.15
1963,0.213,0.383,0.0578,0.15,1.2
1964,0.216,0.423,0.0608,0.151,1.23
1965,0.219,0.463,0.0639,0.151,1.27
1966,0.223,0.501,0.067,0.152,1.33
1967,0.227,0.536,0.0701,0.153,1.38
1968,0.231,0.566,0.073,0.154,1.41
1969,0.235,0.588,0.0756,0.154,1.43
1970,0.23,0.536,0.0735,0.149,1.48
1971,0.229,0.531,0.0747,0.149,1.53
1972,0.243,0.537,0.075,0.159,1.57
1973,0.257,0.559,0.07540000000000001,0.168,1.63
1974,0.258,0.54,0.07590000000000001,0.168,1.64
1975,0.26,0.491,0.077,0.167,1.73
1976,0.273,0.535,0.079,0.175,1.77
1977,0.282,0.525,0.0782,0.182,1.74
1978,0.29,0.535,0.07909999999999999,0.185,1.74
1979,0.298,0.499,0.08020000000000001,0.186,1.77
1980,0.292,0.44,0.07940000000000001,0.181,1.81
1981,0.29,0.406,0.0809,0.179,1.81
1982,0.29,0.369,0.08120000000000001,0.183,1.77
1983,0.295,0.42,0.0823,0.183,1.76
1984,0.304,0.385,0.0837,0.185,1.84
1985,0.307,0.348,0.0867,0.187,1.84
1986,0.31,0.33,0.087,0.19,1.79
1987,0.323,0.317,0.0896,0.196,1.77
1988,0.337,0.307,0.0902,0.202,1.73
1989,0.344,0.305,0.091,0.202,1.75
1990,0.348,0.229,0.0917,0.201,1.77
1991,0.348,0.22,0.0927,0.199,1.69
1992,0.352,0.209,0.09309999999999999,0.193,1.64
1993,0.357,0.208,0.09409999999999999,0.185,1.68
1994,0.363,0.215,0.09620000000000001,0.19,1.61
1995,0.373,0.225,0.0974,0.186,1.57
