year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,6.62e-09
1922,2.4600000000000002e-08
1923,5.11e-08
1924,8.330000000000001e-08
1925,1.18e-07
1926,1.53e-07
1927,1.85e-07
1928,2.12e-07
1929,2.3e-07
1930,2.37e-07
1931,2.3100000000000002e-07
1932,2.17e-07
1933,1.9499999999999999e-07
1934,1.69e-07
1935,1.41e-07
1936,1.1299999999999999e-07
1937,8.67e-08
1938,6.53e-08
1939,5.08e-08
1940,4.5399999999999996e-08
1941,6.54e-07
1942,2.35e-06
1943,4.95e-06
1944,8.24e-06
1945,1.21e-05
1946,1.62e-05
1947,2.05e-05
1948,2.47e-05
1949,2.86e-05
1950,3.2099999999999994e-05
1951,3.53e-05
1952,3.85e-05
1953,4.1700000000000004e-05
1954,4.4999999999999996e-05
1955,4.82e-05
1956,5.14e-05
1957,5.4600000000000006e-05
1958,5.79e-05
1959,6.110000000000001e-05
1960,6.429999999999999e-05
1961,6.73e-05
1962,7.000000000000001e-05
1963,7.240000000000001e-05
1964,7.48e-05
1965,7.74e-05
1966,8.010000000000001e-05
1967,8.33e-05
1968,8.71e-05
1969,9.16e-05
1970,9.69e-05
1971,0.000107
1972,0.000125
1973,0.00015
1974,0.000179
1975,0.000213
1976,0.000248
1977,0.000285
1978,0.000321
1979,0.00035499999999999996
1980,0.000386
1981,0.00041799999999999997
1982,0.000453
1983,0.000491
1984,0.00053
1985,0.0005669999999999999
1986,0.000601
1987,0.000631
1988,0.000655
1989,0.000671
1990,0.0006770000000000001
1991,0.0006810000000000001
1992,0.000691
1993,0.000742
1994,0.0008489999999999999
1995,0.00102
1996,0.00145
1997,0.00197
1998,0.00273
1999,0.0033900000000000002
2000,0.00488
2001,0.0128
2002,0.0208
2003,0.0175
2004,0.0149
2005,0.022699999999999998
2006,0.0273
2007,0.0829
2008,0.138
2009,0.104
2010,0.0701
2011,0.0945
2012,0.118
2013,0.146
2014,0.174
2015,0.187
2016,0.201
2017,0.234
2018,0.265
2019,0.295
2020,0.283
2021,0.301
