year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,2.64,0.0,0.213,0.0,5.47
1751,2.69,0.0,0.216,0.144,5.57
1752,2.74,0.0,0.22,0.287,5.66
1753,2.78,0.0,0.223,0.431,5.76
1754,2.83,0.0,0.227,0.575,5.85
1755,2.87,0.0,0.23,0.718,5.95
1756,2.92,0.0,0.234,0.862,6.05
1757,2.96,0.0,0.237,1.01,6.14
1758,3.01,0.0,0.241,1.15,6.24
1759,3.05,0.0,0.244,1.29,6.34
1760,3.1,0.0,0.248,1.44,6.43
1761,3.15,0.0,0.252,1.58,6.55
1762,3.21,0.0,0.256,1.72,6.67
1763,3.27,0.0,0.261,1.87,6.79
1764,3.32,0.0,0.265,2.01,6.9
1765,3.38,0.0,0.269,2.15,7.02
1766,3.43,0.0,0.273,2.3,7.14
1767,3.49,0.0,0.277,2.44,7.26
1768,3.54,0.0,0.282,2.59,7.38
1769,3.6,0.0,0.286,2.73,7.5
1770,3.65,0.0,0.29,2.87,7.61
1771,3.72,0.0,0.295,3.02,7.76
1772,3.79,0.0,0.301,3.16,7.91
1773,3.86,0.0,0.306,3.3,8.06
1774,3.93,0.0,0.311,3.45,8.2
1775,4.0,0.0,0.316,3.59,8.35
1776,4.06,0.0,0.322,3.74,8.5
1777,4.13,0.0,0.327,3.88,8.64
1778,4.2,0.0,0.332,4.02,8.79
1779,4.27,0.0,0.337,4.17,8.94
1780,4.34,0.0,0.342,4.31,9.08
1781,4.42,0.0,0.349,4.45,9.27
1782,4.51,0.0,0.355,4.6,9.45
1783,4.59,0.0,0.362,4.74,9.64
1784,4.68,0.0,0.368,4.88,9.82
1785,4.76,0.0,0.375,5.03,10.0
1786,4.85,0.0,0.381,5.17,10.2
1787,4.93,0.0,0.388,5.32,10.4
1788,5.02,0.0,0.394,5.46,10.6
1789,5.1,0.0,0.401,5.6,10.7
1790,5.19,0.0,0.408,5.75,10.9
1791,5.36,0.0,0.42,5.89,11.3
1792,5.53,0.0,0.433,6.03,11.7
1793,5.7,0.0,0.446,6.18,12.0
1794,5.87,0.0,0.459,6.32,12.4
1795,6.04,0.0,0.472,6.46,12.8
1796,6.21,0.0,0.485,6.61,13.2
1797,6.38,0.0,0.497,6.75,13.5
1798,6.54,0.0,0.51,6.9,13.9
1799,6.71,0.0,0.523,7.04,14.3
1800,7.25,0.005889999999999999,0.536,7.18,14.6
1801,7.51,0.00623,0.553,7.33,15.1
1802,7.77,0.00674,0.571,7.47,15.7
1803,8.01,0.00691,0.588,7.61,16.2
1804,8.29,0.00777,0.606,7.76,16.7
