year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.055799999999999995,0.0,0.231,0.0,1.34
1751,0.056,0.0,0.232,0.0,1.35
1752,0.0562,0.0,0.233,0.0,1.35
1753,0.0564,0.0,0.234,0.0,1.36
1754,0.056600000000000004,0.0,0.235,0.0,1.36
1755,0.0567,0.0,0.236,0.0,1.37
1756,0.0569,0.0,0.237,0.0,1.37
1757,0.0571,0.0,0.237,0.0,1.38
1758,0.0573,0.0,0.238,0.0,1.38
1759,0.0574,0.0,0.239,0.0,1.39
1760,0.0576,0.0,0.24,0.0,1.39
1761,0.0578,0.0,0.241,0.0,1.4
1762,0.058,0.0,0.242,0.0,1.4
1763,0.0582,0.0,0.243,0.0,1.41
1764,0.0583,0.0,0.244,0.0,1.41
1765,0.0585,0.0,0.244,0.0,1.42
1766,0.0587,0.0,0.245,0.0,1.42
1767,0.0589,0.0,0.246,0.0,1.43
1768,0.0591,0.0,0.247,0.0,1.43
1769,0.0592,0.0,0.248,0.0,1.44
1770,0.0594,0.0,0.249,0.0,1.44
1771,0.0596,0.0,0.25,0.0,1.45
1772,0.0598,0.0,0.251,0.0,1.45
1773,0.06,0.0,0.252,0.0,1.46
1774,0.0601,0.0,0.253,0.0,1.46
1775,0.0603,0.0,0.253,0.0,1.47
1776,0.0605,0.0,0.254,0.0,1.47
1777,0.060700000000000004,0.0,0.255,0.0,1.48
1778,0.060899999999999996,0.0,0.256,0.0,1.48
1779,0.061,0.0,0.257,0.0,1.49
1780,0.061200000000000004,0.0,0.258,0.0,1.5
1781,0.061399999999999996,0.0,0.259,0.0,1.5
1782,0.0616,0.0,0.26,0.0,1.51
1783,0.061799999999999994,0.0,0.261,0.0,1.51
1784,0.062,0.0,0.262,0.0,1.52
1785,0.0621,0.0,0.263,0.0,1.52
1786,0.062299999999999994,0.0,0.264,0.0,1.53
1787,0.0625,0.0,0.265,0.0,1.53
1788,0.0627,0.0,0.266,0.0,1.54
1789,0.0629,0.0,0.267,0.0,1.55
1790,0.0631,0.0,0.268,0.0,1.55
1791,0.0632,0.0,0.269,0.0,1.56
1792,0.0634,0.0,0.27,0.0,1.56
1793,0.0636,0.0,0.271,0.0,1.57
1794,0.0638,0.0,0.272,0.0,1.57
1795,0.064,0.0,0.273,0.0,1.58
1796,0.06420000000000001,0.0,0.274,0.0,1.59
1797,0.0644,0.0,0.275,0.0,1.59
1798,0.0645,0.0,0.276,0.0,1.6
1799,0.06470000000000001,0.0,0.277,0.0,1.6
1800,0.0649,0.0,0.278,0.0,1.61
1801,0.06509999999999999,0.0,0.279,0.0,1.61
1802,0.0653,0.0,0.28,0.0,1.62
1803,0.0655,0.0,0.281,0.0,1.63
1804,0.06559999999999999,0.0,0.282,0.0,1.63
1805,0.0658,0.0,0.283,0.0,1.64
1806,0.066,0.0,0.284,0.0,1.64
1807,0.06620000000000001,0.0,0.285,0.0,1.65
1808,0.0664,0.0,0.286,0.0,1.66
1809,0.06659999999999999,0.0,0.287,0.0,1.66
1810,0.06670000000000001,0.0,0.288,0.0,1.67
1811,0.0668,0.0,0.288,0.0,1.67
1812,0.0668,0.0,0.289,0.0,1.67
1813,0.0668,0.0,0.289,0.0,1.67
1814,0.0668,0.0,0.289,0.0,1.68
1815,0.0669,0.0,0.29,0.0,1.68
1816,0.0669,0.0,0.29,0.0,1.68
1817,0.0669,0.0,0.29,0.0,1.68
1818,0.0669,0.0,0.291,0.0,1.68
1819,0.067,0.0,0.291,0.0,1.69
1820,0.067,0.0,0.291,0.0,1.69
1821,0.067,0.0,0.292,0.0,1.69
1822,0.067,0.0,0.292,0.0,1.69
1823,0.067,0.0,0.293,0.0,1.7
1824,0.067,0.0,0.293,0.0,1.7
1825,0.06709999999999999,0.0,0.293,0.0,1.7
1826,0.06709999999999999,0.0,0.294,0.0,1.7
1827,0.06709999999999999,0.0,0.294,0.0,1.7
1828,0.06709999999999999,0.0,0.294,0.0,1.71
1829,0.06709999999999999,0.0,0.295,0.0,1.71
1830,0.0705,2.0699999999999997e-06,0.295,0.0,1.71
1831,0.0712,2.4599999999999997e-06,0.296,0.0,1.71
1832,0.0699,1.62e-06,0.296,0.0,1.71
1833,0.0705,2e-06,0.296,0.0,1.72
1834,0.0713,0.0,0.297,0.0,1.72
1835,0.072,0.0,0.297,0.0,1.72
1836,0.0726,0.0,0.297,0.0,1.72
1837,0.0733,0.0,0.298,0.0,1.73
1838,0.07390000000000001,0.0,0.298,0.0,1.73
1839,0.0746,0.0,0.299,0.0,1.73
1840,0.07529999999999999,0.0,0.299,0.0,1.73
1841,0.076,0.0,0.299,0.0,1.73
1842,0.07690000000000001,0.0,0.3,0.0,1.74
1843,0.0778,0.0,0.3,0.0,1.74
1844,0.0788,0.0,0.3,0.0,1.74
1845,0.0799,0.0,0.301,0.0,1.74
1846,0.08120000000000001,0.0,0.301,0.0,1.74
1847,0.08270000000000001,0.0,0.302,0.0,1.75
1848,0.0843,0.0,0.302,0.0,1.75
1849,0.0861,0.0,0.302,0.0,1.75
1850,0.0844,1.08e-05,0.303,0.0,1.75
1851,0.0851,0.0,0.303,0.0,1.76
1852,0.086,0.0,0.303,0.0,1.77
1853,0.087,0.0,0.304,0.0,1.78
1854,0.088,0.0,0.304,0.0,1.79
1855,0.0889,3.1e-05,0.305,0.0,1.8
1856,0.0897,0.0,0.305,0.0,1.8
1857,0.0905,0.0,0.306,0.0,1.81
1858,0.09129999999999999,4.21e-05,0.306,0.0,1.82
1859,0.09190000000000001,4.4200000000000004e-05,0.306,0.0,1.82
1860,0.0938,6.99e-05,0.307,0.0,1.83
1861,0.09559999999999999,8.57e-05,0.309,0.0,1.84
1862,0.09509999999999999,7.81e-05,0.311,0.0,1.85
1863,0.09570000000000001,8.92e-05,0.314,0.0,1.86
1864,0.0969,0.000106,0.316,0.0,1.87
1865,0.0969,0.000106,0.318,0.0,1.88
1866,0.113,0.00026900000000000003,0.321,0.0,1.89
1867,0.117,0.000319,0.323,0.0,1.9
1868,0.113,0.00031800000000000003,0.326,0.0,1.91
1869,0.121,0.00039200000000000004,0.328,0.0,1.92
1870,0.124,0.000417,0.33,0.0,1.93
1871,0.136,0.0005110000000000001,0.333,0.0,1.95
1872,0.138,0.000527,0.335,0.0,1.98
1873,0.139,0.000598,0.338,0.0,2.03
1874,0.151,0.0007880000000000001,0.341,0.0,2.08
1875,0.163,0.00103,0.344,0.0,2.13
1876,0.184,0.00145,0.346,0.0,2.19
1877,0.192,0.00177,0.349,0.0,2.24
1878,0.22,0.00219,0.352,0.0,2.29
1879,0.229,0.0025099999999999996,0.354,0.0,2.32
1880,0.251,0.00287,0.357,0.0,2.35
1881,0.269,0.0035800000000000003,0.36,0.0,2.37
1882,0.28,0.00382,0.363,0.0,2.39
1883,0.303,0.00423,0.365,0.0,2.41
1884,0.327,0.00553,0.368,0.0,2.43
1885,0.36,0.00674,0.371,0.0,2.45
1886,0.368,0.00694,0.373,0.0,2.46
