year,IPC1,IPC2,IPC4,IPCMAG
1750,1.25e-06,0.0,0.0,0.0
1751,1.25e-06,0.0,0.0,0.0
1752,1.25e-06,0.0,0.0,0.0
1753,1.26e-06,0.0,0.0,0.0
1754,1.26e-06,0.0,0.0,0.0
1755,1.26e-06,0.0,0.0,0.0
1756,1.26e-06,0.0,0.0,0.0
1757,1.26e-06,0.0,0.0,0.0
1758,1.26e-06,0.0,0.0,0.0
1759,1.26e-06,0.0,0.0,0.0
1760,1.26e-06,0.0,0.0,0.0
1761,1.2700000000000001e-06,0.0,0.0,0.0
1762,1.2700000000000001e-06,0.0,0.0,0.0
1763,1.2700000000000001e-06,0.0,0.0,0.0
1764,1.2700000000000001e-06,0.0,0.0,0.0
1765,1.2700000000000001e-06,0.0,0.0,0.0
1766,1.2700000000000001e-06,0.0,0.0,0.0
1767,1.2700000000000001e-06,0.0,0.0,0.0
1768,1.2700000000000001e-06,0.0,0.0,0.0
1769,1.2700000000000001e-06,0.0,0.0,0.0
1770,1.2700000000000001e-06,0.0,0.0,0.0
1771,1.28e-06,0.0,0.0,0.0
1772,1.28e-06,0.0,0.0,0.0
1773,1.28e-06,0.0,0.0,0.0
1774,1.28e-06,0.0,0.0,0.0
1775,1.28e-06,0.0,0.0,0.0
1776,1.29e-06,0.0,0.0,0.0
1777,1.29e-06,0.0,0.0,0.0
1778,1.29e-06,0.0,0.0,0.0
1779,1.29e-06,0.0,0.0,0.0
1780,1.29e-06,0.0,0.0,0.0
1781,1.2999999999999998e-06,0.0,0.0,0.0
1782,1.2999999999999998e-06,0.0,0.0,0.0
1783,1.2999999999999998e-06,0.0,0.0,0.0
1784,1.31e-06,0.0,0.0,0.0
1785,1.31e-06,0.0,0.0,0.0
1786,1.31e-06,0.0,0.0,0.0
1787,1.32e-06,0.0,0.0,0.0
1788,1.32e-06,0.0,0.0,0.0
1789,1.32e-06,0.0,0.0,0.0
1790,1.32e-06,0.0,0.0,0.0
1791,1.33e-06,0.0,0.0,0.0
1792,1.33e-06,0.0,0.0,0.0
1793,1.33e-06,0.0,0.0,0.0
1794,1.33e-06,0.0,0.0,0.0
1795,1.33e-06,0.0,0.0,0.0
1796,1.33e-06,0.0,0.0,0.0
1797,1.33e-06,0.0,0.0,0.0
1798,1.34e-06,0.0,0.0,0.0
1799,1.34e-06,0.0,0.0,0.0
1800,1.34e-06,0.0,0.0,0.0
1801,1.34e-06,0.0,0.0,0.0
1802,1.35e-06,0.0,0.0,0.0
1803,1.35e-06,0.0,0.0,0.0
1804,1.35e-06,0.0,0.0,0.0
1805,1.35e-06,0.0,0.0,0.0
1806,1.3600000000000001e-06,0.0,0.0,0.0
1807,1.3600000000000001e-06,0.0,0.0,0.0
1808,1.3600000000000001e-06,0.0,0.0,0.0
1809,1.3600000000000001e-06,0.0,0.0,0.0
1810,1.3600000000000001e-06,0.0,0.0,0.0
1811,1.38e-06,0.0,0.0,0.0
1812,1.39e-06,0.0,0.0,0.0
1813,1.4e-06,0.0,0.0,0.0
1814,1.41e-06,0.0,0.0,0.0
1815,1.42e-06,0.0,0.0,0.0
1816,1.43e-06,0.0,0.0,0.0
1817,1.4400000000000002e-06,0.0,0.0,0.0
1818,1.4499999999999999e-06,0.0,0.0,0.0
1819,1.46e-06,0.0,0.0,0.0
1820,1.47e-06,0.0,0.0,0.0
1821,1.48e-06,0.0,0.0,0.0
1822,1.49e-06,0.0,0.0,0.0
1823,1.5100000000000002e-06,0.0,0.0,0.0
1824,1.52e-06,0.0,0.0,0.0
1825,1.53e-06,0.0,0.0,0.0
1826,1.5399999999999999e-06,0.0,0.0,0.0
1827,1.55e-06,0.0,0.0,0.0
1828,1.5599999999999999e-06,0.0,0.0,0.0
1829,1.5599999999999999e-06,0.0,0.0,0.0
1830,1.59e-06,0.0,0.0,0.0
1831,1.6000000000000001e-06,0.0,0.0,0.0
1832,1.61e-06,0.0,0.0,0.0
1833,1.62e-06,0.0,0.0,0.0
1834,1.6299999999999999e-06,0.0,0.0,0.0
1835,1.64e-06,0.0,0.0,0.0
1836,1.66e-06,0.0,0.0,0.0
1837,1.66e-06,0.0,0.0,0.0
1838,1.67e-06,0.0,0.0,0.0
1839,1.6900000000000001e-06,0.0,0.0,0.0
1840,1.6999999999999998e-06,0.0,0.0,0.0
1841,1.6999999999999998e-06,0.0,0.0,0.0
1842,1.6999999999999998e-06,0.0,0.0,0.0
1843,1.6999999999999998e-06,0.0,0.0,0.0
1844,1.71e-06,0.0,0.0,0.0
1845,1.71e-06,0.0,0.0,0.0
1846,1.71e-06,0.0,0.0,0.0
1847,1.72e-06,0.0,0.0,0.0
1848,1.72e-06,0.0,0.0,0.0
1849,1.73e-06,0.0,0.0,0.0
1850,1.73e-06,0.0,0.0,0.0
1851,1.71e-06,0.0,0.0,0.0
1852,1.71e-06,0.0,0.0,0.0
1853,1.71e-06,0.0,0.0,0.0
1854,1.73e-06,0.0,0.0,0.0
1855,1.72e-06,0.0,0.0,0.0
