year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,1.81e-06
1851,1.81e-06
1852,1.81e-06
1853,1.81e-06
1854,1.81e-06
1855,1.81e-06
1856,1.81e-06
1857,1.81e-06
1858,1.81e-06
1859,1.81e-06
1860,1.81e-06
1861,1.81e-06
1862,1.81e-06
1863,1.81e-06
1864,1.81e-06
1865,1.81e-06
1866,1.81e-06
1867,1.81e-06
1868,1.81e-06
1869,1.81e-06
1870,1.81e-06
1871,1.81e-06
1872,1.81e-06
1873,1.81e-06
1874,1.81e-06
1875,1.81e-06
1876,1.81e-06
1877,1.81e-06
1878,1.81e-06
1879,1.81e-06
1880,1.81e-06
1881,1.81e-06
1882,1.81e-06
1883,1.81e-06
1884,1.81e-06
1885,1.81e-06
1886,1.81e-06
1887,1.81e-06
1888,1.81e-06
1889,1.81e-06
1890,1.81e-06
1891,2.12e-06
1892,2.96e-06
1893,4.23e-06
1894,5.83e-06
1895,7.66e-06
1896,9.6e-06
1897,1.15e-05
1898,1.34e-05
1899,1.5100000000000001e-05
1900,1.6400000000000002e-05
1901,1.7500000000000002e-05
1902,1.8599999999999998e-05
1903,1.95e-05
1904,2.04e-05
1905,2.13e-05
1906,2.2100000000000002e-05
1907,2.3e-05
1908,2.4e-05
1909,2.51e-05
1910,2.62e-05
1911,2.75e-05
1912,2.88e-05
1913,3.03e-05
1914,3.18e-05
1915,3.34e-05
1916,3.51e-05
1917,3.68e-05
1918,3.87e-05
1919,4.06e-05
1920,4.26e-05
1921,5.07e-05
1922,6.96e-05
1923,9.719999999999999e-05
1924,0.000131
1925,0.00017
1926,0.000211
1927,0.000253
1928,0.00029299999999999997
1929,0.00032900000000000003
1930,0.000359
1931,0.00038500000000000003
1932,0.00041
1933,0.000435
1934,0.00045900000000000004
1935,0.000482
1936,0.000505
1937,0.000528
1938,0.0005510000000000001
1939,0.000575
1940,0.0005989999999999999
1941,0.000623
1942,0.000648
1943,0.000674
1944,0.0007019999999999999
1945,0.00073
1946,0.00076
1947,0.0007920000000000001
1948,0.0008269999999999999
1949,0.0008629999999999999
1950,0.000902
1951,0.000945
1952,0.000992
1953,0.0010400000000000001
1954,0.0011
1955,0.00115
1956,0.00121
1957,0.00128
1958,0.00134
1959,0.00141
1960,0.00147
1961,0.00155
1962,0.00163
1963,0.00172
1964,0.00182
1965,0.00191
1966,0.0020099999999999996
1967,0.0021000000000000003
1968,0.00218
1969,0.00225
1970,8.780000000000001e-11
1971,0.199
1972,0.284
1973,0.256
1974,0.329
1975,0.321
1976,0.329
1977,0.333
1978,0.351
1979,0.383
1980,0.398
1981,0.505
1982,0.6
1983,0.788
1984,0.836
1985,0.85
1986,0.869
1987,0.877
1988,0.872
1989,0.861
1990,0.878
1991,0.744
1992,0.695
1993,0.629
1994,0.564
1995,0.592
1996,0.992
1997,1.11
1998,1.13
1999,1.16
2000,1.18
2001,1.21
2002,1.29
2003,1.58
2004,1.77
2005,1.86
2006,2.01
2007,2.08
2008,2.09
2009,2.18
2010,2.29
2011,2.41
2012,2.51
2013,2.61
2014,2.71
2015,2.81
2016,2.91
2017,3.01
2018,3.11
2019,3.22
2020,3.32
2021,3.42
