year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,3.5500000000000003e-06
1851,3.5500000000000003e-06
1852,3.5500000000000003e-06
1853,3.5500000000000003e-06
1854,3.5500000000000003e-06
1855,3.5500000000000003e-06
1856,3.5500000000000003e-06
1857,3.5500000000000003e-06
1858,3.5500000000000003e-06
1859,3.5500000000000003e-06
1860,3.5500000000000003e-06
1861,3.5500000000000003e-06
1862,3.5500000000000003e-06
1863,3.5500000000000003e-06
1864,3.5500000000000003e-06
1865,3.5500000000000003e-06
1866,3.5500000000000003e-06
1867,3.5500000000000003e-06
1868,3.5500000000000003e-06
1869,3.5500000000000003e-06
1870,3.5500000000000003e-06
1871,3.5500000000000003e-06
1872,3.5500000000000003e-06
1873,3.5500000000000003e-06
1874,3.5500000000000003e-06
1875,3.5500000000000003e-06
1876,3.5500000000000003e-06
1877,3.5500000000000003e-06
1878,3.5500000000000003e-06
1879,3.5500000000000003e-06
1880,3.5500000000000003e-06
1881,3.5500000000000003e-06
1882,3.5500000000000003e-06
1883,3.5500000000000003e-06
1884,3.5500000000000003e-06
1885,3.5500000000000003e-06
1886,3.5500000000000003e-06
1887,3.5500000000000003e-06
1888,3.5500000000000003e-06
1889,3.5500000000000003e-06
1890,3.5500000000000003e-06
1891,4.15e-06
1892,5.7999999999999995e-06
1893,8.29e-06
1894,1.1400000000000001e-05
1895,1.4999999999999999e-05
1896,1.88e-05
1897,2.2599999999999997e-05
1898,2.63e-05
1899,2.95e-05
1900,3.22e-05
1901,3.44e-05
1902,3.63e-05
1903,3.82e-05
1904,3.99e-05
1905,4.1599999999999995e-05
1906,4.34e-05
1907,4.51e-05
1908,4.7e-05
1909,4.91e-05
1910,5.14e-05
1911,5.38e-05
1912,5.6500000000000005e-05
1913,5.93e-05
1914,6.22e-05
1915,6.54e-05
1916,6.87e-05
1917,7.209999999999999e-05
1918,7.57e-05
1919,7.950000000000001e-05
1920,8.340000000000001e-05
1921,9.93e-05
1922,0.000136
1923,0.00019
1924,0.000257
1925,0.000333
1926,0.000414
1927,0.000495
1928,0.000574
1929,0.000644
1930,0.000704
1931,0.000755
1932,0.000804
1933,0.000852
1934,0.000898
1935,0.000944
1936,0.000989
1937,0.00103
1938,0.00108
1939,0.00113
1940,0.00117
1941,0.00122
1942,0.00127
1943,0.00132
1944,0.0013700000000000001
1945,0.0014299999999999998
1946,0.00149
1947,0.00155
1948,0.0016200000000000001
1949,0.0016899999999999999
1950,0.00177
1951,0.00185
1952,0.0019399999999999999
1953,0.00204
1954,0.00215
1955,0.00226
1956,0.0023799999999999997
1957,0.0025
1958,0.00262
1959,0.00275
1960,0.0028799999999999997
1961,0.0030299999999999997
1962,0.00319
1963,0.00337
1964,0.0035600000000000002
1965,0.00375
1966,0.00393
1967,0.00411
1968,0.0042699999999999995
1969,0.00441
1970,0.0
1971,0.382
1972,0.55
1973,0.48
1974,0.622
1975,0.589
1976,0.575
1977,0.553
1978,0.554
1979,0.568
1980,0.56
1981,0.537
1982,0.669
1983,1.0
1984,1.03
1985,1.0
1986,1.02
1987,1.02
1988,1.01
1989,0.975
1990,0.992
1991,0.844
1992,0.719
1993,0.581
1994,0.427
1995,0.443
1996,1.16
1997,1.25
1998,1.18
1999,1.13
2000,1.13
2001,1.16
2002,1.03
2003,1.03
2004,1.02
2005,1.0
2006,1.07
2007,1.12
2008,1.12
2009,0.63
2010,0.124
2011,0.159
2012,2.77
2013,2.28
2014,2.4
2015,2.51
2016,2.04
2017,2.13
2018,2.22
2019,2.32
