year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00146,0.0,0.00739,1.0899999999999999e-17,0.0746
1751,0.00149,0.0,0.00752,0.0007099999999999999,0.07590000000000001
1752,0.00152,0.0,0.00766,0.0014199999999999998,0.0773
1753,0.0015400000000000001,0.0,0.00779,0.00213,0.07859999999999999
1754,0.00157,0.0,0.00792,0.0028399999999999996,0.0799
1755,0.00159,0.0,0.00805,0.0035499999999999998,0.0813
1756,0.0016200000000000001,0.0,0.00819,0.00426,0.08259999999999999
1757,0.00165,0.0,0.008320000000000001,0.00497,0.0839
1758,0.0016699999999999998,0.0,0.00845,0.005679999999999999,0.0853
1759,0.0017,0.0,0.00858,0.00639,0.0866
1760,0.00172,0.0,0.00872,0.0070999999999999995,0.088
1761,0.00175,0.0,0.00887,0.007809999999999999,0.0895
1762,0.0017900000000000001,0.0,0.00903,0.00852,0.0911
1763,0.00182,0.0,0.00919,0.00923,0.0927
1764,0.00185,0.0,0.00934,0.00994,0.0943
1765,0.00188,0.0,0.0095,0.0107,0.0959
1766,0.00191,0.0,0.00965,0.0114,0.0974
1767,0.0019399999999999999,0.0,0.009810000000000001,0.0121,0.099
1768,0.00197,0.0,0.009970000000000001,0.0128,0.101
1769,0.002,0.0,0.0101,0.0135,0.102
1770,0.0020299999999999997,0.0,0.0103,0.014199999999999999,0.104
1771,0.00207,0.0,0.0105,0.0149,0.106
1772,0.0021000000000000003,0.0,0.0107,0.0156,0.107
1773,0.00214,0.0,0.0108,0.016300000000000002,0.109
1774,0.00217,0.0,0.011,0.017,0.111
1775,0.00221,0.0,0.0112,0.0178,0.113
1776,0.00225,0.0,0.0114,0.0185,0.115
1777,0.00228,0.0,0.0116,0.0192,0.117
1778,0.00232,0.0,0.011800000000000001,0.019899999999999998,0.119
1779,0.00235,0.0,0.0119,0.0206,0.121
1780,0.00239,0.0,0.0121,0.0213,0.122
1781,0.0024300000000000003,0.0,0.0123,0.022,0.125
1782,0.00248,0.0,0.0126,0.022699999999999998,0.127
1783,0.00252,0.0,0.0128,0.023399999999999997,0.129
1784,0.00256,0.0,0.013,0.0241,0.131
1785,0.0026,0.0,0.0132,0.0249,0.133
1786,0.00264,0.0,0.0134,0.0256,0.136
1787,0.00269,0.0,0.013699999999999999,0.0263,0.138
1788,0.00273,0.0,0.013900000000000001,0.027,0.14
1789,0.00277,0.0,0.0141,0.0277,0.142
1790,0.00281,0.0,0.0143,0.028399999999999998,0.144
1791,0.0028599999999999997,0.0,0.0146,0.0291,0.147
1792,0.0029100000000000003,0.0,0.0148,0.0298,0.15
1793,0.00296,0.0,0.015099999999999999,0.0305,0.152
1794,0.0030099999999999997,0.0,0.015300000000000001,0.0312,0.155
1795,0.0030600000000000002,0.0,0.0156,0.032,0.157
1796,0.00311,0.0,0.0159,0.0327,0.16
1797,0.00316,0.0,0.0161,0.0334,0.163
1798,0.00321,0.0,0.016399999999999998,0.0341,0.165
1799,0.00326,0.0,0.0166,0.0348,0.168
1800,0.00331,0.0,0.0169,0.0355,0.17
1801,0.00337,0.0,0.0172,0.0362,0.174
1802,0.0034300000000000003,0.0,0.0175,0.036899999999999995,0.177
1803,0.00349,0.0,0.0178,0.0376,0.18
1804,0.0035499999999999998,0.0,0.0181,0.038299999999999994,0.183
1805,0.00361,0.0,0.0184,0.0391,0.186
1806,0.00367,0.0,0.018699999999999998,0.039799999999999995,0.189
1807,0.00373,0.0,0.019,0.0405,0.192
1808,0.00378,0.0,0.0193,0.0412,0.195
1809,0.0038399999999999997,0.0,0.019600000000000003,0.0419,0.198
1810,0.0039,0.0,0.019899999999999998,0.0426,0.201
1811,0.0039700000000000004,0.0,0.020300000000000002,0.0433,0.205
1812,0.00404,0.0,0.0207,0.044,0.209
1813,0.00411,0.0,0.021,0.044700000000000004,0.212
1814,0.00418,0.0,0.0214,0.0455,0.216
1815,0.00425,0.0,0.0217,0.046200000000000005,0.219
1816,0.00432,0.0,0.0221,0.0469,0.223
1817,0.00439,0.0,0.0225,0.0476,0.227
1818,0.00445,0.0,0.0228,0.048299999999999996,0.23
1819,0.00452,0.0,0.0232,0.049,0.234
1820,0.0045899999999999995,0.0,0.0235,0.0497,0.238
1821,0.00467,0.0,0.024,0.0504,0.242
1822,0.0047599999999999995,0.0,0.024399999999999998,0.0511,0.246
1823,0.00484,0.0,0.0248,0.0518,0.251
1824,0.00492,0.0,0.0253,0.0526,0.255
1825,0.005,0.0,0.0257,0.0533,0.259
1826,0.00508,0.0,0.0261,0.054,0.263
1827,0.0051600000000000005,0.0,0.0265,0.054700000000000006,0.268
1828,0.00524,0.0,0.027,0.0554,0.272
1829,0.00533,0.0,0.027399999999999997,0.056100000000000004,0.276
1830,0.00541,0.0,0.027800000000000002,0.056799999999999996,0.281
1831,0.0055,0.0,0.028300000000000002,0.0575,0.286
1832,0.0056,0.0,0.0288,0.0582,0.291
1833,0.005690000000000001,0.0,0.0293,0.0589,0.296
1834,0.00579,0.0,0.0298,0.0597,0.301
1835,0.005889999999999999,0.0,0.0303,0.060399999999999995,0.306
1836,0.00598,0.0,0.0308,0.0611,0.311
1837,0.00608,0.0,0.0313,0.061799999999999994,0.316
1838,0.00617,0.0,0.0318,0.0625,0.321
1839,0.0062699999999999995,0.0,0.032299999999999995,0.0632,0.326
1840,0.00636,0.0,0.032799999999999996,0.0639,0.331
1841,0.0064800000000000005,0.0,0.0334,0.06459999999999999,0.337
1842,0.0065899999999999995,0.0,0.034,0.0653,0.343
1843,0.0067,0.0,0.0346,0.066,0.35
1844,0.006809999999999999,0.0,0.0352,0.0668,0.356
1845,0.0069299999999999995,0.0,0.0358,0.0675,0.362
1846,0.00704,0.0,0.0364,0.0682,0.368
1847,0.00715,0.0,0.037,0.0689,0.374
1848,0.00726,0.0,0.0376,0.0696,0.38
1849,0.00738,0.0,0.038200000000000005,0.0703,0.386
1850,0.0161,0.0,0.0386,0.071,0.391
1851,0.0165,0.0,0.039299999999999995,0.0717,0.398
1852,0.0169,0.0,0.040100000000000004,0.0724,0.405
1853,0.0173,0.0,0.040799999999999996,0.0731,0.412
1854,0.0177,0.0,0.0415,0.07390000000000001,0.419
1855,0.018,0.0,0.0422,0.0746,0.426
1856,0.0184,0.0,0.0429,0.07529999999999999,0.433
1857,0.018699999999999998,0.0,0.0435,0.076,0.44
1858,0.019100000000000002,0.0,0.0442,0.0767,0.447
1859,0.019399999999999997,0.0,0.0448,0.07740000000000001,0.454
1860,0.0197,0.0,0.0455,0.07809999999999999,0.461
1861,0.019899999999999998,0.0,0.046200000000000005,0.0788,0.469
1862,0.0202,0.0,0.0469,0.0795,0.477
1863,0.0205,0.0,0.047700000000000006,0.0803,0.485
1864,0.0208,0.0,0.0484,0.081,0.492
1865,0.0211,0.0,0.049100000000000005,0.08170000000000001,0.5
1866,0.0214,0.0,0.0499,0.0824,0.508
1867,0.0217,0.0,0.0506,0.0831,0.516
1868,0.022,0.0,0.0513,0.0838,0.524
1869,0.0224,0.0,0.0521,0.0845,0.532
1870,0.022699999999999998,0.0,0.0528,0.0852,0.54
1871,0.0232,0.0,0.0538,0.0859,0.55
1872,0.024,0.0,0.0549,0.0866,0.56
1873,0.025,0.0,0.056100000000000004,0.0874,0.571
1874,0.0261,0.0,0.0573,0.0881,0.583
1875,0.0273,0.0,0.0587,0.0888,0.594
1876,0.0286,0.0,0.06,0.0895,0.606
1877,0.0298,0.0,0.0613,0.0902,0.618
1878,0.030899999999999997,0.0,0.0626,0.09090000000000001,0.629
1879,0.0319,0.0,0.0637,0.0916,0.64
1880,0.0327,0.0,0.0648,0.0923,0.65
1881,0.033299999999999996,0.0,0.0659,0.093,0.662
1882,0.0339,0.0,0.067,0.0937,0.673
1883,0.0345,0.0,0.0681,0.0945,0.685
1884,0.0351,0.0,0.0692,0.0952,0.696
1885,0.0357,0.0,0.0703,0.0959,0.707
1886,0.0363,0.0,0.0713,0.09659999999999999,0.719
1887,0.036899999999999995,0.0,0.0724,0.0973,0.73
1888,0.0376,0.0,0.0735,0.098,0.741
1889,0.038200000000000005,0.0,0.0746,0.0987,0.753
1890,0.0414,0.0,0.0757,0.0994,0.766
1891,0.0427,0.0,0.077,0.1,0.78
1892,0.0441,0.0,0.0782,0.101,0.793
1893,0.0455,0.0,0.0795,0.102,0.807
1894,0.047,0.0,0.0808,0.102,0.82
1895,0.048600000000000004,0.0,0.08209999999999999,0.103,0.834
1896,0.0503,0.0,0.0834,0.104,0.848
1897,0.052,0.0,0.0847,0.104,0.861
1898,0.053700000000000005,0.0,0.0861,0.105,0.875
1899,0.055600000000000004,0.0,0.0874,0.106,0.889
1900,0.0575,0.0,0.0887,0.107,0.903
1901,0.0595,0.0,0.09029999999999999,0.107,0.919
1902,0.109,0.0,0.09190000000000001,0.108,0.935
1903,0.171,0.022,0.0935,0.109,0.951
1904,0.201,0.0277,0.0952,0.109,0.967
1905,0.289,0.045399999999999996,0.0969,0.11,0.983
1906,0.309,0.0489,0.0985,0.111,1.0
1907,0.336,0.053899999999999997,0.1,0.111,1.02
1908,0.448,0.07659999999999999,0.102,0.112,1.03
1909,0.464,0.07940000000000001,0.104,0.113,1.05
1910,0.487,0.0837,0.105,0.114,1.07
1911,0.564,0.0993,0.107,0.114,1.09
1912,0.573,0.101,0.109,0.115,1.11
1913,0.633,0.113,0.111,0.116,1.13
1914,0.879,0.163,0.113,0.116,1.15
1915,1.02,0.191,0.115,0.117,1.17
1916,1.2,0.229,0.117,0.118,1.2
1917,1.34,0.256,0.119,0.119,1.22
1918,1.2,0.228,0.12,0.119,1.24
1919,1.25,0.238,0.122,0.12,1.27
1920,1.4,0.269,0.124,0.121,1.29
1921,1.4,0.268,0.127,0.121,1.31
1922,1.27,0.24,0.129,0.122,1.34
1923,1.5,0.287,0.131,0.123,1.37
1924,1.58,0.304,0.133,0.124,1.39
1925,1.83,0.354,0.135,0.124,1.42
1926,2.3,0.45,0.138,0.125,1.45
1927,2.39,0.467,0.14,0.126,1.47
1928,2.85,0.562,0.142,0.126,1.5
1929,2.71,0.533,0.144,0.127,1.52
1930,2.47,0.482,0.147,0.128,1.55
1931,1.6,0.302,0.149,0.129,1.57
1932,1.24,0.225,0.152,0.129,1.59
1933,1.36,0.249,0.154,0.13,1.62
1934,1.76,0.332,0.157,0.131,1.64
1935,1.89,0.359,0.159,0.131,1.66
1936,1.93,0.365,0.162,0.132,1.69
1937,2.75,0.534,0.164,0.133,1.71
1938,2.79,0.542,0.167,0.134,1.73
1939,2.98,0.581,0.169,0.134,1.75
1940,3.42,0.67,0.172,0.135,1.78
1941,3.73,0.733,0.178,0.136,1.84
1942,4.11,0.81,0.185,0.136,1.93
1943,4.66,0.923,0.193,0.137,2.03
1944,4.74,0.939,0.2,0.138,2.15
1945,4.41,1.21,0.204,0.138,2.27
1946,4.28,1.47,0.209,0.139,2.39
1947,4.04,1.67,0.212,0.14,2.5
1948,4.52,2.18,0.216,0.141,2.61
1949,5.09,2.82,0.219,0.141,2.69
1950,3.05,0.061399999999999996,0.221,0.142,2.76
1951,3.36,0.0683,0.224,0.143,2.82
1952,3.74,0.09409999999999999,0.226,0.143,2.87
1953,4.06,0.117,0.229,0.144,2.92
1954,4.44,0.141,0.231,0.145,2.97
1955,5.18,0.171,0.233,0.146,3.01
1956,5.62,0.199,0.235,0.146,3.06
1957,5.79,0.229,0.237,0.147,3.11
1958,5.22,0.264,0.239,0.148,3.18
1959,5.86,0.203,0.241,0.148,3.25
1960,5.64,0.205,0.243,0.149,3.35
1961,4.95,0.154,0.245,0.15,4.0
1962,4.84,0.143,0.248,0.151,4.06
1963,4.72,0.139,0.25,0.151,4.15
1964,4.73,5.37,0.253,0.152,4.0
1965,5.42,6.03,0.256,0.153,4.06
1966,6.27,8.92,0.258,0.153,3.96
1967,5.71,7.68,0.26,0.154,4.45
1968,6.58,9.62,0.261,0.155,4.61
1969,6.93,10.5,0.262,0.156,5.31
1970,8.83,8.72,0.271,0.174,6.19
1971,9.29,7.87,0.289,0.175,5.93
1972,8.69,7.91,0.301,0.179,6.04
1973,9.71,9.21,0.31,0.184,6.16
