year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.046700000000000005,0.0,0.331,0.0,1.56
1751,0.046700000000000005,0.0,0.331,0.000553,1.56
1752,0.046700000000000005,0.0,0.331,0.00111,1.57
1753,0.046799999999999994,0.0,0.331,0.00166,1.57
1754,0.046799999999999994,0.0,0.331,0.00221,1.57
1755,0.046799999999999994,0.0,0.331,0.00277,1.57
1756,0.046799999999999994,0.0,0.331,0.00332,1.57
1757,0.046799999999999994,0.0,0.332,0.00387,1.57
1758,0.046799999999999994,0.0,0.332,0.00443,1.57
1759,0.046799999999999994,0.0,0.332,0.00498,1.57
1760,0.046799999999999994,0.0,0.332,0.00553,1.57
1761,0.046799999999999994,0.0,0.332,0.00609,1.57
1762,0.046799999999999994,0.0,0.332,0.00664,1.57
1763,0.0469,0.0,0.332,0.00719,1.57
1764,0.0469,0.0,0.332,0.00775,1.57
1765,0.0469,0.0,0.332,0.0083,1.57
1766,0.0469,0.0,0.333,0.00886,1.57
1767,0.0469,0.0,0.333,0.00941,1.57
1768,0.0469,0.0,0.333,0.00996,1.57
1769,0.0469,0.0,0.333,0.0105,1.57
1770,0.0469,0.0,0.333,0.0111,1.57
1771,0.0469,0.0,0.333,0.0116,1.58
1772,0.0469,0.0,0.333,0.012199999999999999,1.58
1773,0.047,0.0,0.333,0.0127,1.58
1774,0.047,0.0,0.333,0.013300000000000001,1.58
1775,0.047,0.0,0.334,0.013800000000000002,1.58
1776,0.047,0.0,0.334,0.0144,1.58
1777,0.047,0.0,0.334,0.0149,1.58
1778,0.047,0.0,0.334,0.0155,1.58
1779,0.047,0.0,0.334,0.016,1.58
1780,0.047,0.0,0.334,0.0166,1.58
1781,0.047,0.0,0.334,0.0172,1.58
1782,0.047,0.0,0.334,0.0177,1.58
1783,0.047,0.0,0.334,0.0183,1.58
1784,0.047,0.0,0.335,0.0188,1.58
1785,0.0471,0.0,0.335,0.019399999999999997,1.58
1786,0.0471,0.0,0.335,0.019899999999999998,1.58
1787,0.0471,0.0,0.335,0.0205,1.58
1788,0.0471,0.0,0.335,0.021,1.58
1789,0.0471,0.0,0.335,0.0216,1.58
1790,0.0471,0.0,0.335,0.0221,1.59
1791,0.0471,0.0,0.335,0.022699999999999998,1.59
1792,0.0471,0.0,0.335,0.0232,1.59
1793,0.0471,0.0,0.336,0.0238,1.59
1794,0.0471,0.0,0.336,0.024399999999999998,1.59
1795,0.0471,0.0,0.336,0.0249,1.59
1796,0.0471,0.0,0.336,0.0255,1.59
1797,0.047200000000000006,0.0,0.336,0.026,1.59
1798,0.047200000000000006,0.0,0.336,0.026600000000000002,1.59
1799,0.047200000000000006,0.0,0.336,0.027100000000000003,1.59
1800,0.047200000000000006,0.0,0.336,0.0277,1.59
1801,0.047200000000000006,0.0,0.336,0.0282,1.59
1802,0.047200000000000006,0.0,0.337,0.0288,1.59
1803,0.047200000000000006,0.0,0.337,0.0293,1.59
1804,0.047200000000000006,0.0,0.337,0.0299,1.59
1805,0.047200000000000006,0.0,0.337,0.0304,1.59
1806,0.047200000000000006,0.0,0.337,0.031,1.59
1807,0.047200000000000006,0.0,0.337,0.0315,1.59
1808,0.047200000000000006,0.0,0.337,0.032100000000000004,1.59
1809,0.047200000000000006,0.0,0.337,0.0327,1.6
1810,0.047200000000000006,0.0,0.337,0.0332,1.6
1811,0.047299999999999995,0.0,0.338,0.0338,1.6
1812,0.047299999999999995,0.0,0.338,0.0343,1.6
1813,0.047299999999999995,0.0,0.338,0.0349,1.6
1814,0.0474,0.0,0.339,0.0354,1.6
1815,0.0474,0.0,0.339,0.036,1.6
1816,0.0474,0.0,0.339,0.0365,1.6
1817,0.0475,0.0,0.339,0.0371,1.61
1818,0.0475,0.0,0.34,0.0376,1.61
1819,0.0475,0.0,0.34,0.038200000000000005,1.61
1820,0.0475,0.0,0.34,0.038700000000000005,1.61
1821,0.0476,0.0,0.341,0.039299999999999995,1.61
1822,0.0476,0.0,0.341,0.039799999999999995,1.61
1823,0.0476,0.0,0.341,0.0404,1.61
1824,0.047700000000000006,0.0,0.341,0.041,1.61
1825,0.047700000000000006,0.0,0.342,0.0415,1.62
1826,0.047700000000000006,0.0,0.342,0.0421,1.62
1827,0.047700000000000006,0.0,0.342,0.0426,1.62
1828,0.047799999999999995,0.0,0.343,0.0432,1.62
1829,0.047799999999999995,0.0,0.343,0.0437,1.62
1830,0.047799999999999995,0.0,0.343,0.0443,1.62
1831,0.0479,0.0,0.343,0.0448,1.62
1832,0.0479,0.0,0.344,0.045399999999999996,1.63
1833,0.0479,0.0,0.344,0.045899999999999996,1.63
1834,0.0479,0.0,0.344,0.0465,1.63
1835,0.048,0.0,0.345,0.047,1.63
1836,0.048,0.0,0.345,0.0476,1.63
1837,0.048,0.0,0.345,0.048100000000000004,1.63
1838,0.048100000000000004,0.0,0.345,0.0487,1.63
1839,0.048100000000000004,0.0,0.346,0.0493,1.63
1840,0.048100000000000004,0.0,0.346,0.0498,1.64
1841,0.048100000000000004,0.0,0.346,0.0504,1.64
1842,0.0482,0.0,0.347,0.0509,1.64
1843,0.0482,0.0,0.347,0.0515,1.64
1844,0.0482,0.0,0.347,0.052,1.64
1845,0.048299999999999996,0.0,0.348,0.0526,1.64
1846,0.048299999999999996,0.0,0.348,0.0531,1.64
1847,0.048299999999999996,0.0,0.348,0.053700000000000005,1.65
1848,0.048299999999999996,0.0,0.348,0.054200000000000005,1.65
1849,0.0484,0.0,0.349,0.054799999999999995,1.65
1850,0.056600000000000004,0.0,0.349,0.055299999999999995,1.64
1851,0.056799999999999996,0.0,0.349,0.0559,1.65
1852,0.0571,0.0,0.35,0.0565,1.66
1853,0.0573,0.0,0.35,0.057,1.68
1854,0.0576,0.0,0.35,0.0576,1.69
1855,0.0578,0.0,0.351,0.0581,1.7
1856,0.058,0.0,0.351,0.0587,1.7
1857,0.0582,0.0,0.351,0.0592,1.71
1858,0.0584,0.0,0.352,0.0598,1.72
1859,0.0598,0.0,0.352,0.0603,1.72
1860,0.061200000000000004,0.0,0.352,0.060899999999999996,1.73
1861,0.0627,0.0,0.353,0.061399999999999996,1.73
1862,0.06420000000000001,0.0,0.354,0.062,1.73
1863,0.066,0.0,0.354,0.0625,1.74
1864,0.0676,0.0,0.355,0.0631,1.74
1865,0.0694,0.0,0.356,0.0636,1.74
1866,0.0713,0.0,0.357,0.06420000000000001,1.74
1867,0.0733,0.0,0.357,0.0648,1.75
1868,0.07529999999999999,0.0,0.358,0.0653,1.75
1869,0.07740000000000001,0.0,0.359,0.0659,1.75
1870,0.0795,0.0,0.359,0.0664,1.76
1871,0.0819,0.0,0.36,0.067,1.77
1872,0.0846,0.0,0.361,0.0675,1.8
1873,0.0875,0.0,0.362,0.0681,1.84
1874,0.0906,0.0,0.363,0.0686,1.89
1875,0.09390000000000001,0.0,0.364,0.0692,1.94
1876,0.0973,0.0,0.365,0.0697,1.99
1877,0.101,0.0,0.366,0.0703,2.05
1878,0.104,0.0,0.367,0.0708,2.09
1879,0.107,0.0,0.368,0.0714,2.13
1880,0.111,0.0,0.369,0.0719,2.15
1881,0.114,0.0,0.37,0.0725,2.17
1882,0.117,0.0,0.371,0.0731,2.18
1883,0.12,0.0,0.371,0.0736,2.19
1884,0.124,0.0,0.372,0.0742,2.2
1885,0.127,0.0,0.373,0.0747,2.21
1886,0.131,0.0,0.374,0.07529999999999999,2.22
1887,0.135,0.0,0.375,0.07579999999999999,2.22
1888,0.139,0.0,0.375,0.07640000000000001,2.23
1889,0.143,0.0,0.376,0.07690000000000001,2.24
1890,0.148,0.0,0.377,0.0775,2.3
1891,0.148,0.0,0.378,0.078,2.31
1892,0.147,0.0,0.379,0.07859999999999999,2.33
1893,0.147,0.0,0.379,0.07909999999999999,2.34
1894,0.146,0.0,0.38,0.07970000000000001,2.36
1895,0.146,0.0,0.381,0.08020000000000001,2.37
1896,0.146,0.0,0.382,0.0808,2.39
1897,0.146,0.0,0.383,0.0814,2.4
1898,0.146,0.0,0.383,0.0819,2.42
1899,0.146,0.0,0.384,0.0825,2.43
1900,0.145,0.0,0.385,0.083,2.45
1901,0.159,0.0,0.387,0.0836,2.47
1902,0.173,0.0,0.388,0.0841,2.49
1903,0.187,0.0,0.389,0.0847,2.5
1904,0.2,0.0,0.391,0.0852,2.52
1905,0.213,0.0,0.392,0.0858,2.54
1906,0.227,0.0,0.394,0.0863,2.56
1907,0.24,0.0,0.395,0.0869,2.58
1908,0.252,0.0,0.397,0.0874,2.61
1909,0.265,0.0,0.398,0.088,2.64
1910,0.277,0.0,0.399,0.0886,2.67
1911,0.284,0.0,0.403,0.0891,2.72
1912,0.291,0.0,0.407,0.0897,2.79
1913,0.297,0.0,0.41,0.0902,2.87
1914,0.303,0.0,0.414,0.09079999999999999,2.97
1915,0.309,0.0,0.418,0.09129999999999999,3.08
1916,0.324,0.0,0.421,0.09190000000000001,3.2
1917,0.339,0.0,0.425,0.09240000000000001,3.31
1918,0.355,0.0,0.429,0.093,3.43
1919,0.372,0.0,0.432,0.0935,3.54
1920,0.388,0.0,0.436,0.09409999999999999,3.64
1921,0.401,3.91e-07,0.44,0.09459999999999999,3.75
1922,0.415,1.4499999999999999e-06,0.444,0.0952,3.86
1923,0.428,3.01e-06,0.447,0.09570000000000001,3.99
1924,0.442,4.9100000000000004e-06,0.451,0.0963,4.11
1925,0.455,6.969999999999999e-06,0.455,0.0969,4.23
1926,0.469,9.04e-06,0.459,0.0974,4.35
1927,0.483,1.09e-05,0.463,0.098,4.45
1928,0.497,1.25e-05,0.467,0.0985,4.53
1929,0.512,1.3599999999999999e-05,0.471,0.0991,4.59
1930,0.526,1.3899999999999999e-05,0.474,0.0996,4.62
1931,0.509,0.000183,0.479,0.1,4.62
1932,0.494,0.000656,0.483,0.101,4.6
1933,0.48,0.00138,0.487,0.101,4.57
1934,0.468,0.0023,0.491,0.102,4.52
1935,0.497,0.0033599999999999997,0.495,0.102,4.47
1936,0.528,0.00451,0.499,0.103,4.62
1937,0.552,0.0057,0.503,0.103,4.78
1938,0.577,0.00687,0.507,0.104,4.95
1939,0.603,0.00797,0.511,0.105,5.14
1940,0.629,0.00895,0.515,0.105,5.36
1941,0.658,0.0099,0.521,0.106,5.87
1942,0.689,0.0109,0.528,0.106,6.86
1943,0.721,0.012,0.535,0.107,8.21
1944,0.755,0.013099999999999999,0.543,0.107,9.8
1945,0.805,0.014199999999999999,0.536,0.108,11.5
1946,0.836,0.0152,0.53,0.108,13.2
1947,0.867,0.0162,0.523,0.109,14.8
1948,0.898,0.0169,0.516,0.11,16.2
1949,0.943,0.0175,0.508,0.11,17.3
1950,1.93,0.0184,0.499,0.111,17.8
1951,2.21,0.0188,0.496,0.111,18.1
1952,2.52,0.0192,0.492,0.112,18.1
1953,2.5,0.0339,0.488,0.112,17.9
1954,2.95,0.0414,0.483,0.113,17.7
1955,3.25,0.0565,0.478,0.113,17.4
1956,4.03,0.06459999999999999,0.471,0.114,17.1
1957,4.42,0.087,0.464,0.115,16.8
1958,4.35,0.105,0.457,0.115,16.7
1959,4.5,0.0986,0.448,0.116,16.8
1960,3.75,0.101,0.44,0.116,17.1
1961,3.48,0.0991,0.431,0.117,17.0
1962,7.47,0.111,0.422,0.117,17.1
1963,7.47,0.125,0.412,0.118,17.2
1964,7.5,0.138,0.402,0.118,17.4
1965,7.27,0.156,0.391,0.119,17.7
1966,8.91,0.173,0.379,0.12,17.8
1967,6.05,0.18,0.367,0.12,18.1
1968,9.15,0.204,0.353,0.121,18.1
1969,14.3,0.255,0.339,0.121,18.3
1970,13.4,0.277,0.358,0.121,29.9
1971,12.8,0.318,0.372,0.123,14.2
1972,15.2,0.366,0.385,0.135,15.8
1973,16.8,0.441,0.401,0.135,17.4
1974,17.2,0.435,0.408,0.138,14.4
1975,16.0,0.386,0.423,0.135,18.3
1976,12.4,0.211,0.438,0.131,15.4
1977,16.6,0.211,0.46,0.13,18.6
