year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0056500000000000005,0.0,0.000512,0.0,0.00907
1751,0.00567,0.0,0.000514,0.0,0.0091
1752,0.005690000000000001,0.0,0.000516,0.0,0.009130000000000001
1753,0.00571,0.0,0.000517,0.0,0.00916
1754,0.005730000000000001,0.0,0.000519,0.0,0.009179999999999999
1755,0.00574,0.0,0.000521,0.0,0.009210000000000001
1756,0.0057599999999999995,0.0,0.000522,0.0,0.00924
1757,0.00578,0.0,0.000524,0.0,0.009269999999999999
1758,0.0058,0.0,0.000526,0.0,0.009300000000000001
1759,0.0058200000000000005,0.0,0.000527,0.0,0.00933
1760,0.00583,0.0,0.0005290000000000001,0.0,0.00936
1761,0.005849999999999999,0.0,0.00053,0.0,0.00939
1762,0.00587,0.0,0.000532,0.0,0.00942
1763,0.005889999999999999,0.0,0.0005340000000000001,0.0,0.00945
1764,0.00591,0.0,0.000535,0.0,0.009470000000000001
1765,0.00592,0.0,0.000537,0.0,0.0095
1766,0.00594,0.0,0.000539,0.0,0.009529999999999999
1767,0.00596,0.0,0.00054,0.0,0.00956
1768,0.00598,0.0,0.0005420000000000001,0.0,0.00959
1769,0.006,0.0,0.000544,0.0,0.00962
1770,0.00601,0.0,0.000545,0.0,0.00965
1771,0.006030000000000001,0.0,0.0005470000000000001,0.0,0.00968
1772,0.00605,0.0,0.0005480000000000001,0.0,0.009710000000000002
1773,0.00607,0.0,0.00055,0.0,0.00974
1774,0.00609,0.0,0.0005520000000000001,0.0,0.00976
1775,0.0060999999999999995,0.0,0.000553,0.0,0.009789999999999998
1776,0.0061200000000000004,0.0,0.000555,0.0,0.00982
1777,0.00614,0.0,0.0005570000000000001,0.0,0.00985
1778,0.0061600000000000005,0.0,0.000558,0.0,0.009880000000000002
1779,0.00618,0.0,0.0005600000000000001,0.0,0.00991
1780,0.0062,0.0,0.0005620000000000001,0.0,0.00994
1781,0.00621,0.0,0.0005629999999999999,0.0,0.009970000000000001
1782,0.00623,0.0,0.000565,0.0,0.01
1783,0.00625,0.0,0.000566,0.0,0.01
1784,0.0062699999999999995,0.0,0.0005679999999999999,0.0,0.0101
1785,0.0062900000000000005,0.0,0.00057,0.0,0.0101
1786,0.0063,0.0,0.000571,0.0,0.0101
1787,0.00632,0.0,0.0005729999999999999,0.0,0.0101
1788,0.00634,0.0,0.000575,0.0,0.010199999999999999
1789,0.00636,0.0,0.0005759999999999999,0.0,0.010199999999999999
1790,0.00638,0.0,0.000578,0.0,0.010199999999999999
1791,0.00639,0.0,0.00058,0.0,0.0103
1792,0.00641,0.0,0.0005809999999999999,0.0,0.0103
1793,0.00643,0.0,0.000583,0.0,0.0103
1794,0.00645,0.0,0.000585,0.0,0.0103
1795,0.00647,0.0,0.0005859999999999999,0.0,0.0104
