year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.000247
1851,0.000494
1852,0.000741
1853,0.000988
1854,0.00123
1855,0.00148
1856,0.00173
1857,0.00198
1858,0.00222
1859,0.0024700000000000004
1860,0.00272
1861,0.00296
1862,0.00321
1863,0.00346
1864,0.0037
1865,0.00395
1866,0.004200000000000001
1867,0.00444
1868,0.004690000000000001
1869,0.004940000000000001
1870,0.00519
1871,0.00543
1872,0.005679999999999999
1873,0.0059299999999999995
1874,0.00617
1875,0.00642
1876,0.00667
1877,0.00691
1878,0.0071600000000000006
1879,0.00741
1880,0.0076500000000000005
1881,0.0079
1882,0.008150000000000001
1883,0.008400000000000001
1884,0.00864
1885,0.00889
1886,0.00914
1887,0.009380000000000001
1888,0.009630000000000001
1889,0.009880000000000002
1890,0.0101
1891,0.0104
1892,0.0106
1893,0.0109
1894,0.0111
1895,0.0114
1896,0.0116
1897,0.0119
1898,0.0121
1899,0.0123
1900,0.0126
1901,0.0128
1902,0.013099999999999999
1903,0.013300000000000001
1904,0.0136
1905,0.013800000000000002
1906,0.0141
1907,0.0143
1908,0.0146
1909,0.0148
1910,0.015099999999999999
1911,0.015300000000000001
1912,0.0156
1913,0.0158
1914,0.016
1915,0.016300000000000002
1916,0.0165
1917,0.016800000000000002
1918,0.017
1919,0.0173
1920,0.0175
1921,0.0178
1922,0.0183
1923,0.0188
1924,0.019399999999999997
1925,0.02
1926,0.0206
1927,0.0212
1928,0.0217
1929,0.0221
1930,0.0224
1931,0.022600000000000002
1932,0.022699999999999998
1933,0.022699999999999998
1934,0.022699999999999998
1935,0.022699999999999998
1936,0.022600000000000002
1937,0.022600000000000002
1938,0.022600000000000002
1939,0.022699999999999998
1940,0.0229
1941,0.0232
1942,0.0235
1943,0.0238
1944,0.0241
1945,0.024399999999999998
1946,0.0247
1947,0.025
1948,0.0253
1949,0.0257
1950,0.026
1951,0.0263
1952,0.026699999999999998
1953,0.027
1954,0.027399999999999997
1955,0.027800000000000002
1956,0.0282
1957,0.0286
1958,0.029
1959,0.0294
1960,0.0299
1961,0.0303
1962,0.0308
1963,0.0313
1964,0.0319
1965,0.0325
1966,0.033100000000000004
1967,0.0338
1968,0.0345
1969,0.0352
1970,0.0359
1971,0.0367
1972,0.037700000000000004
1973,0.038700000000000005
1974,0.039799999999999995
1975,0.041
1976,0.0422
1977,0.0434
1978,0.0446
1979,0.0458
1980,0.0469
1981,0.0479
1982,0.0489
1983,0.0499
1984,0.0509
1985,0.0519
1986,0.052899999999999996
1987,0.054
1988,0.0551
1989,0.056299999999999996
1990,0.0573
1991,0.0728
1992,0.0852
1993,0.104
1994,0.164
1995,0.232
1996,0.339
1997,0.456
1998,0.613
1999,0.876
2000,1.48
2001,2.01
2002,2.46
2003,2.94
2004,3.45
2005,4.06
2006,4.7
2007,4.83
2008,5.05
2009,5.27
2010,5.31
2011,5.39
2012,5.54
2013,5.75
2014,6.26
2015,6.86
2016,7.72
2017,8.66
2018,9.67
2019,10.6
2020,11.6
2021,12.6
2022,13.6
2023,14.6
