year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00113
1851,0.00113
1852,0.00113
1853,0.00113
1854,0.00113
1855,0.00113
1856,0.00113
1857,0.00113
1858,0.00113
1859,0.00113
1860,0.00113
1861,0.00113
1862,0.00113
1863,0.00113
1864,0.00113
1865,0.00113
1866,0.00113
1867,0.00113
1868,0.00113
1869,0.00113
1870,0.00113
1871,0.00113
1872,0.00113
1873,0.00113
1874,0.00113
1875,0.00113
1876,0.00113
1877,0.00113
1878,0.00113
1879,0.00113
1880,0.00113
1881,0.00113
1882,0.00113
1883,0.00113
1884,0.00113
1885,0.00113
1886,0.00113
1887,0.00113
1888,0.00113
1889,0.00113
1890,0.00113
1891,0.0012900000000000001
1892,0.00174
1893,0.00242
1894,0.00327
1895,0.00425
1896,0.00528
1897,0.00632
1898,0.00731
1899,0.008199999999999999
1900,0.00893
1901,0.009519999999999999
1902,0.0101
1903,0.0106
1904,0.011
1905,0.0115
1906,0.012
1907,0.0125
1908,0.013
1909,0.0135
1910,0.014199999999999999
1911,0.0148
1912,0.0155
1913,0.016300000000000002
1914,0.0171
1915,0.018
1916,0.0189
1917,0.0198
1918,0.0208
1919,0.0218
1920,0.0229
1921,0.027800000000000002
1922,0.039299999999999995
1923,0.056299999999999996
1924,0.0773
1925,0.101
1926,0.127
1927,0.152
1928,0.177
1929,0.199
1930,0.217
1931,0.233
1932,0.249
1933,0.263
1934,0.277
1935,0.291
1936,0.305
1937,0.319
1938,0.333
1939,0.348
1940,0.363
1941,0.378
1942,0.394
1943,0.41
1944,0.427
1945,0.445
1946,0.464
1947,0.484
1948,0.506
1949,0.529
1950,0.553
1951,0.58
1952,0.609
1953,0.64
1954,0.674
1955,0.709
1956,0.746
1957,0.784
1958,0.824
1959,0.864
1960,0.905
1961,0.951
1962,1.0
1963,1.06
1964,1.12
1965,1.18
1966,1.23
1967,1.29
1968,1.34
1969,1.45
1970,1.32
1971,1.71
1972,1.67
1973,1.64
1974,1.65
1975,1.75
1976,1.73
1977,1.86
1978,2.04
1979,1.9
1980,1.75
1981,2.13
1982,1.74
1983,1.54
1984,2.36
1985,3.06
1986,2.98
1987,3.12
1988,3.36
1989,3.85
1990,3.81
1991,3.45
1992,2.96
1993,2.24
1994,1.9
1995,1.64
1996,1.58
1997,1.46
1998,1.42
1999,1.32
2000,1.18
2001,1.0
2002,0.821
2003,0.83
2004,0.843
2005,0.847
2006,0.862
2007,0.856
2008,0.842
2009,0.704
2010,0.567
2011,0.603
2012,0.59
2013,0.384
2014,0.385
2015,0.342
2016,0.45
2017,0.395
2018,0.471
2019,0.585
2020,0.539
2021,0.342
