year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.366,0.0,0.0508,0.0,2.04
1751,0.367,0.0,0.051,0.00125,2.05
1752,0.367,0.0,0.0512,0.0025,2.06
1753,0.367,0.0,0.0514,0.00375,2.07
1754,0.368,0.0,0.0515,0.005,2.07
1755,0.368,0.0,0.0517,0.00625,2.08
1756,0.368,0.0,0.0519,0.0075,2.09
1757,0.369,0.0,0.0521,0.00875,2.1
1758,0.369,0.0,0.0523,0.01,2.1
1759,0.369,0.0,0.0525,0.011300000000000001,2.11
1760,0.369,0.0,0.052700000000000004,0.0125,2.12
1761,0.37,0.0,0.052899999999999996,0.013800000000000002,2.13
1762,0.37,0.0,0.053,0.015,2.13
1763,0.37,0.0,0.053200000000000004,0.016300000000000002,2.14
1764,0.37,0.0,0.053399999999999996,0.0175,2.15
1765,0.37,0.0,0.0536,0.0188,2.16
1766,0.37,0.0,0.053700000000000005,0.02,2.16
1767,0.37,0.0,0.053899999999999997,0.0213,2.17
1768,0.37,0.0,0.0541,0.0225,2.18
1769,0.37,0.0,0.054299999999999994,0.0238,2.18
1770,0.371,0.0,0.0544,0.025,2.19
1771,0.371,0.0,0.0546,0.0263,2.2
1772,0.371,0.0,0.054799999999999995,0.0275,2.2
1773,0.371,0.0,0.055,0.0288,2.21
1774,0.371,0.0,0.0551,0.03,2.22
1775,0.371,0.0,0.055299999999999995,0.0313,2.23
1776,0.371,0.0,0.0555,0.0325,2.23
1777,0.371,0.0,0.0557,0.0338,2.24
1778,0.371,0.0,0.0559,0.035,2.25
1779,0.371,0.0,0.056,0.0363,2.25
1780,0.371,0.0,0.0562,0.0375,2.26
1781,0.371,0.0,0.056299999999999996,0.038799999999999994,2.27
1782,0.37,0.0,0.0565,0.04,2.27
1783,0.37,0.0,0.056600000000000004,0.041299999999999996,2.28
1784,0.37,0.0,0.056799999999999996,0.0425,2.28
1785,0.37,0.0,0.0569,0.0438,2.29
1786,0.37,0.0,0.0571,0.045,2.3
1787,0.369,0.0,0.0572,0.046299999999999994,2.3
1788,0.369,0.0,0.0574,0.0475,2.31
1789,0.369,0.0,0.0575,0.048799999999999996,2.31
1790,0.369,0.0,0.0577,0.05,2.32
1791,0.368,0.0,0.0577,0.0513,2.32
1792,0.367,0.0,0.0577,0.0525,2.32
1793,0.366,0.0,0.0578,0.0538,2.32
1794,0.365,0.0,0.0578,0.055,2.32
1795,0.364,0.0,0.0578,0.056299999999999996,2.33
1796,0.363,0.0,0.0579,0.0575,2.33
1797,0.362,0.0,0.0579,0.0588,2.33
1798,0.361,0.0,0.0579,0.06,2.33
1799,0.36,0.0,0.058,0.0613,2.33
1800,0.359,0.0,0.058,0.0625,2.33
1801,0.358,0.0,0.058,0.0638,2.33
1802,0.356,0.0,0.058,0.065,2.33
1803,0.355,0.0,0.0579,0.0663,2.33
1804,0.354,0.0,0.0579,0.0675,2.33
1805,0.352,0.0,0.0579,0.0688,2.33
1806,0.351,0.0,0.0579,0.07,2.33
1807,0.533,0.045399999999999996,0.0579,0.0713,2.33
1808,0.519,0.0,0.0578,0.0725,2.33
1809,0.518,0.0,0.0578,0.07379999999999999,2.33
1810,0.519,0.0,0.0578,0.075,2.33
1811,0.523,0.0,0.0581,0.07629999999999999,2.34
1812,0.527,0.0,0.0583,0.0775,2.35
1813,0.533,0.0,0.0586,0.0788,2.36
1814,0.541,0.0,0.0588,0.08,2.37
1815,0.55,0.0,0.0591,0.0813,2.38
1816,0.56,0.0,0.0593,0.0825,2.39
1817,0.573,0.0,0.0596,0.0838,2.4
1818,0.587,0.0,0.0598,0.085,2.41
1819,0.623,0.0681,0.0601,0.0863,2.42
1820,0.71,0.08979999999999999,0.0603,0.0875,2.43
1821,0.74,0.09670000000000001,0.060899999999999996,0.0888,2.45
1822,0.75,0.0986,0.061399999999999996,0.09,2.47
1823,0.732,0.0937,0.062,0.09129999999999999,2.49
1824,0.789,0.108,0.0625,0.0925,2.52
1825,0.795,0.109,0.0631,0.0938,2.54
1826,0.857,0.123,0.0636,0.095,2.56
1827,0.878,0.128,0.06420000000000001,0.0963,2.58
1828,0.86,0.123,0.06470000000000001,0.0975,2.6
1829,0.882,0.128,0.0653,0.0988,2.63
1830,0.903,0.133,0.0658,0.1,2.65
1831,0.888,0.129,0.06609999999999999,0.101,2.66
1832,0.924,0.138,0.0665,0.103,2.67
1833,0.833,0.115,0.0668,0.104,2.69
1834,1.0,0.158,0.06709999999999999,0.105,2.7
1835,1.06,0.171,0.0674,0.106,2.71
1836,1.1,0.182,0.0678,0.108,2.73
1837,1.14,0.19,0.0681,0.109,2.74
1838,1.29,0.229,0.0684,0.11,2.75
1839,1.52,0.285,0.0688,0.111,2.77
1840,1.64,0.315,0.0691,0.113,2.78
1841,1.8,0.355,0.0695,0.114,2.8
1842,1.95,0.393,0.07,0.115,2.81
1843,1.75,0.341,0.0704,0.116,2.83
