year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,7.099999999999999e-05
1851,7.099999999999999e-05
1852,7.099999999999999e-05
1853,7.099999999999999e-05
1854,7.099999999999999e-05
1855,7.099999999999999e-05
1856,7.099999999999999e-05
1857,7.099999999999999e-05
1858,7.099999999999999e-05
1859,7.099999999999999e-05
1860,7.099999999999999e-05
1861,7.099999999999999e-05
1862,7.099999999999999e-05
1863,7.099999999999999e-05
1864,7.099999999999999e-05
1865,7.11e-05
1866,7.11e-05
1867,7.11e-05
1868,7.11e-05
1869,7.11e-05
1870,7.11e-05
1871,7.11e-05
1872,7.11e-05
1873,7.11e-05
1874,7.11e-05
1875,7.11e-05
1876,7.11e-05
1877,7.11e-05
1878,7.11e-05
1879,7.11e-05
1880,7.11e-05
1881,7.11e-05
1882,7.11e-05
1883,7.11e-05
1884,7.11e-05
1885,7.11e-05
1886,7.11e-05
1887,7.11e-05
1888,7.11e-05
1889,7.12e-05
1890,7.12e-05
1891,8.319999999999999e-05
1892,0.00011700000000000001
1893,0.00016700000000000002
1894,0.000231
1895,0.000303
1896,0.000381
1897,0.000458
1898,0.000532
1899,0.000598
1900,0.000652
1901,0.0006969999999999999
1902,0.000737
1903,0.0007740000000000001
1904,0.0008100000000000001
1905,0.000844
1906,0.000879
1907,0.000915
1908,0.000954
1909,0.000996
1910,0.0010400000000000001
1911,0.00109
1912,0.00115
1913,0.0012
1914,0.00126
1915,0.00133
1916,0.00139
1917,0.00146
1918,0.0015400000000000001
1919,0.00161
1920,0.0016899999999999999
1921,0.0020099999999999996
1922,0.00275
1923,0.0038399999999999997
1924,0.00518
1925,0.0067
1926,0.008320000000000001
1927,0.009949999999999999
1928,0.0115
1929,0.0129
1930,0.0141
1931,0.015099999999999999
1932,0.0161
1933,0.0171
1934,0.018
1935,0.019
1936,0.019899999999999998
1937,0.0208
1938,0.0217
1939,0.022600000000000002
1940,0.0235
1941,0.0245
1942,0.0255
1943,0.0265
1944,0.027600000000000003
1945,0.0287
1946,0.0299
1947,0.031100000000000003
1948,0.0325
1949,0.0339
1950,0.0354
1951,0.0371
1952,0.039
1953,0.0409
1954,0.0431
1955,0.0453
1956,0.047700000000000006
1957,0.0501
1958,0.0526
1959,0.055200000000000006
1960,0.0578
1961,0.060700000000000004
1962,0.064
1963,0.0676
1964,0.0713
1965,0.0751
1966,0.0788
1967,0.0824
1968,0.0856
1969,0.0885
1970,0.09079999999999999
1971,0.0927
1972,0.0947
1973,0.09670000000000001
1974,0.0986
1975,0.1
1976,0.102
1977,0.104
1978,0.105
1979,0.106
1980,0.107
1981,0.108
1982,0.108
1983,0.108
1984,0.107
1985,0.107
1986,0.106
1987,0.106
1988,0.106
1989,0.106
1990,0.08209999999999999
1991,0.0793
1992,0.0735
1993,0.0214
1994,0.030600000000000002
1995,0.032299999999999995
1996,0.00294
1997,0.0141
1998,0.00912
1999,0.0029100000000000003
2000,4.9e-06
2001,0.00011999999999999999
2002,9.779999999999999e-05
2003,0.0251
2004,0.048299999999999996
2005,0.048100000000000004
2006,0.0376
2007,0.046299999999999994
2008,0.0675
2009,0.011
2010,0.000354
2011,0.00726
2012,0.0632
2013,0.0675
2014,0.0798
2015,0.0841
2016,0.0514
2017,0.039799999999999995
2018,0.0664
2019,0.0664
2020,0.0713
2021,0.0767
2022,0.06620000000000001
