year,IPC1,IPC2,IPC4,IPCMAG
1750,0.128,0.0,0.00276,0.0695
1751,0.128,0.0,0.00277,0.0699
1752,0.128,0.0,0.00279,0.0703
1753,0.129,0.0,0.0028,0.0706
1754,0.129,0.0,0.00282,0.071
1755,0.129,0.0,0.00283,0.0714
1756,0.129,0.0,0.0028399999999999996,0.0718
1757,0.129,0.0,0.0028599999999999997,0.0721
1758,0.129,0.0,0.00287,0.0725
1759,0.129,0.0,0.00289,0.0729
1760,0.129,0.0,0.0029,0.0732
1761,0.129,0.0,0.00292,0.0736
1762,0.129,0.0,0.0029300000000000003,0.074
1763,0.129,0.0,0.0029500000000000004,0.07429999999999999
1764,0.13,0.0,0.00296,0.0747
1765,0.13,0.0,0.00298,0.0751
1766,0.13,0.0,0.00299,0.0755
1767,0.13,0.0,0.0030099999999999997,0.07579999999999999
1768,0.13,0.0,0.00302,0.0762
1769,0.13,0.0,0.00304,0.07659999999999999
1770,0.13,0.0,0.0030499999999999998,0.07690000000000001
1771,0.13,0.0,0.0030600000000000002,0.0773
1772,0.13,0.0,0.0030800000000000003,0.0777
1773,0.13,0.0,0.00309,0.078
1774,0.13,0.0,0.00311,0.07840000000000001
1775,0.13,0.0,0.00312,0.0788
1776,0.13,0.0,0.00314,0.0792
1777,0.13,0.0,0.00315,0.0795
1778,0.13,0.0,0.00317,0.0799
1779,0.13,0.0,0.00318,0.0803
1780,0.13,0.0,0.0032,0.08059999999999999
1781,0.13,0.0,0.00321,0.081
1782,0.13,0.0,0.00323,0.0814
1783,0.13,0.0,0.0032400000000000003,0.08170000000000001
1784,0.129,0.0,0.00325,0.08209999999999999
1785,0.129,0.0,0.00327,0.0825
1786,0.129,0.0,0.00328,0.0829
1787,0.129,0.0,0.0033,0.0832
1788,0.129,0.0,0.00331,0.0836
1789,0.129,0.0,0.00333,0.084
1790,0.129,0.0,0.0033399999999999997,0.0843
1791,0.129,0.0,0.0033599999999999997,0.0847
1792,0.129,0.0,0.00337,0.0851
1793,0.129,0.0,0.0033900000000000002,0.0854
1794,0.129,0.0,0.0034,0.0858
1795,0.128,0.0,0.00342,0.0862
1796,0.128,0.0,0.0034300000000000003,0.0866
