year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.175,0.0,0.21,2.58e-19,0.532
1751,0.174,0.0,0.208,0.00014000000000000001,0.528
1752,0.173,0.0,0.207,0.00028000000000000003,0.524
1753,0.171,0.0,0.205,0.00041999999999999996,0.52
1754,0.17,0.0,0.204,0.0005610000000000001,0.515
1755,0.169,0.0,0.202,0.0007009999999999999,0.511
1756,0.167,0.0,0.2,0.000841,0.507
1757,0.166,0.0,0.199,0.0009809999999999999,0.503
1758,0.165,0.0,0.197,0.0011200000000000001,0.499
1759,0.163,0.0,0.196,0.00126,0.495
1760,0.162,0.0,0.194,0.0014,0.491
1761,0.161,0.0,0.192,0.0015400000000000001,0.487
1762,0.159,0.0,0.191,0.0016799999999999999,0.483
1763,0.158,0.0,0.189,0.00182,0.48
1764,0.157,0.0,0.188,0.00196,0.476
1765,0.156,0.0,0.186,0.0021000000000000003,0.472
1766,0.154,0.0,0.185,0.0022400000000000002,0.468
1767,0.153,0.0,0.184,0.0023799999999999997,0.464
1768,0.152,0.0,0.182,0.00252,0.461
1769,0.15,0.0,0.181,0.00266,0.457
1770,0.149,0.0,0.179,0.0028,0.453
1771,0.148,0.0,0.178,0.00294,0.45
1772,0.147,0.0,0.176,0.0030800000000000003,0.446
1773,0.146,0.0,0.175,0.00322,0.443
1774,0.145,0.0,0.174,0.0033599999999999997,0.439
1775,0.143,0.0,0.172,0.0035,0.436
1776,0.142,0.0,0.171,0.00364,0.432
1777,0.141,0.0,0.169,0.00378,0.429
1778,0.14,0.0,0.168,0.00392,0.425
1779,0.139,0.0,0.167,0.004059999999999999,0.422
1780,0.138,0.0,0.165,0.004200000000000001,0.418
1781,0.137,0.0,0.164,0.00434,0.415
1782,0.135,0.0,0.163,0.0044800000000000005,0.412
1783,0.134,0.0,0.161,0.00462,0.409
1784,0.133,0.0,0.16,0.0047599999999999995,0.405
1785,0.132,0.0,0.159,0.004900000000000001,0.402
1786,0.131,0.0,0.158,0.00505,0.399
1787,0.13,0.0,0.156,0.00519,0.396
1788,0.129,0.0,0.155,0.00533,0.393
1789,0.128,0.0,0.154,0.00547,0.389
1790,0.127,0.0,0.153,0.00561,0.386
1791,0.126,0.0,0.151,0.00575,0.383
1792,0.125,0.0,0.15,0.005889999999999999,0.38
1793,0.124,0.0,0.149,0.006030000000000001,0.377
1794,0.123,0.0,0.148,0.00617,0.374
1795,0.122,0.0,0.147,0.00631,0.371
1796,0.121,0.0,0.146,0.00645,0.368
1797,0.12,0.0,0.144,0.0065899999999999995,0.365
1798,0.119,0.0,0.143,0.006730000000000001,0.362
1799,0.118,0.0,0.142,0.00687,0.359
1800,0.117,0.0,0.141,0.00701,0.356
1801,0.116,0.0,0.14,0.00715,0.354
1802,0.115,0.0,0.139,0.00729,0.351
1803,0.114,0.0,0.138,0.00743,0.348
1804,0.113,0.0,0.136,0.00757,0.345
1805,0.112,0.0,0.135,0.00771,0.343
1806,0.112,0.0,0.134,0.00785,0.34
1807,0.111,0.0,0.133,0.00799,0.337
1808,0.11,0.0,0.132,0.00813,0.334
1809,0.109,0.0,0.131,0.00827,0.332
1810,0.108,0.0,0.13,0.00841,0.329
1811,0.107,0.0,0.129,0.00855,0.327
1812,0.107,0.0,0.128,0.00869,0.325
1813,0.106,0.0,0.128,0.00883,0.323
1814,0.105,0.0,0.127,0.00897,0.321
1815,0.104,0.0,0.126,0.00911,0.319
1816,0.104,0.0,0.125,0.00925,0.317
1817,0.103,0.0,0.124,0.00939,0.315
1818,0.102,0.0,0.123,0.009529999999999999,0.313
1819,0.102,0.0,0.123,0.00967,0.31
1820,0.101,0.0,0.122,0.009810000000000001,0.308
1821,0.1,0.0,0.121,0.009949999999999999,0.306
1822,0.0997,0.0,0.12,0.0101,0.305
1823,0.0991,0.0,0.12,0.010199999999999999,0.303
1824,0.0984,0.0,0.119,0.0104,0.301
1825,0.0978,0.0,0.118,0.0105,0.299
1826,0.09709999999999999,0.0,0.117,0.0107,0.297
1827,0.0965,0.0,0.117,0.0108,0.295
1828,0.0958,0.0,0.116,0.0109,0.293
1829,0.0952,0.0,0.115,0.0111,0.291
1830,0.09459999999999999,0.0,0.114,0.0112,0.289
1831,0.094,0.0,0.114,0.0114,0.287
1832,0.0933,0.0,0.113,0.0115,0.286
