year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.205,0.0,0.421,0.0,2.88
1751,0.207,0.0,0.425,0.00647,2.9
1752,0.208,0.0,0.429,0.0129,2.93
1753,0.21,0.0,0.432,0.019399999999999997,2.96
1754,0.212,0.0,0.436,0.0259,2.98
1755,0.214,0.0,0.44,0.0324,3.01
1756,0.215,0.0,0.444,0.038799999999999994,3.03
1757,0.217,0.0,0.448,0.0453,3.06
1758,0.219,0.0,0.452,0.0518,3.09
1759,0.22,0.0,0.455,0.0582,3.11
1760,0.222,0.0,0.459,0.06470000000000001,3.14
1761,0.224,0.0,0.464,0.0712,3.17
1762,0.226,0.0,0.468,0.0777,3.2
1763,0.228,0.0,0.472,0.0841,3.23
1764,0.23,0.0,0.476,0.0906,3.26
1765,0.232,0.0,0.481,0.09709999999999999,3.28
1766,0.234,0.0,0.485,0.104,3.31
1767,0.236,0.0,0.489,0.11,3.34
1768,0.238,0.0,0.493,0.116,3.37
1769,0.239,0.0,0.498,0.123,3.4
1770,0.241,0.0,0.502,0.129,3.43
1771,0.243,0.0,0.507,0.136,3.46
1772,0.246,0.0,0.512,0.142,3.5
1773,0.248,0.0,0.516,0.149,3.53
1774,0.25,0.0,0.521,0.155,3.56
1775,0.252,0.0,0.526,0.162,3.59
1776,0.254,0.0,0.531,0.168,3.63
1777,0.256,0.0,0.536,0.175,3.66
1778,0.258,0.0,0.54,0.181,3.69
1779,0.26,0.0,0.545,0.188,3.73
1780,0.263,0.0,0.55,0.194,3.76
1781,0.265,0.0,0.555,0.201,3.8
1782,0.267,0.0,0.561,0.207,3.83
1783,0.27,0.0,0.566,0.214,3.87
1784,0.272,0.0,0.572,0.22,3.91
1785,0.274,0.0,0.577,0.227,3.94
1786,0.277,0.0,0.582,0.233,3.98
1787,0.279,0.0,0.588,0.239,4.02
1788,0.281,0.0,0.593,0.246,4.05
1789,0.284,0.0,0.599,0.252,4.09
1790,0.286,0.0,0.604,0.259,4.13
1791,0.289,0.0,0.61,0.265,4.17
1792,0.291,0.0,0.616,0.272,4.21
1793,0.294,0.0,0.622,0.278,4.25
1794,0.297,0.0,0.629,0.285,4.3
1795,0.299,0.0,0.635,0.291,4.34
1796,0.302,0.0,0.641,0.298,4.38
1797,0.305,0.0,0.647,0.304,4.42
1798,0.307,0.0,0.653,0.311,4.46
1799,0.31,0.0,0.659,0.317,4.51
1800,0.312,0.0,0.665,0.324,4.55
1801,0.32,0.0,0.681,0.33,4.66
1802,0.327,0.0,0.697,0.337,4.76
1803,0.334,0.0,0.713,0.343,4.87
1804,0.341,0.0,0.729,0.349,4.98
1805,0.348,0.0,0.745,0.356,5.09
1806,0.355,0.0,0.761,0.362,5.2
1807,0.362,0.0,0.776,0.369,5.31
1808,0.369,0.0,0.792,0.375,5.41
1809,0.376,0.0,0.808,0.382,5.52
1810,0.383,0.0,0.824,0.388,5.63
1811,0.392,0.0,0.843,0.395,5.76
1812,0.4,0.0,0.862,0.401,5.89
1813,0.408,0.0,0.88,0.408,6.02
1814,0.416,0.0,0.899,0.414,6.15
1815,0.425,0.0,0.918,0.421,6.27
1816,0.433,0.0,0.937,0.427,6.4
1817,0.441,0.0,0.956,0.434,6.53
1818,0.449,0.0,0.974,0.44,6.66
1819,0.458,0.0,0.993,0.447,6.79
1820,0.466,0.0,1.01,0.453,6.92
1821,0.478,0.0,1.04,0.459,7.1
1822,0.49,0.0,1.07,0.466,7.29
1823,0.502,0.0,1.09,0.472,7.48
1824,0.514,0.0,1.12,0.479,7.66
1825,0.525,0.0,1.15,0.485,7.85
1826,0.537,0.0,1.18,0.492,8.04
1827,0.549,0.0,1.2,0.498,8.22
1828,0.561,0.0,1.23,0.505,8.41
1829,0.573,0.0,1.26,0.511,8.6
1830,0.585,0.0,1.29,0.518,8.78
1831,0.596,0.0,1.31,0.524,8.97
1832,0.608,0.0,1.34,0.531,9.16
1833,0.62,0.0,1.37,0.537,9.35
1834,0.631,0.0,1.4,0.544,9.53
1835,0.643,0.0,1.42,0.55,9.72
1836,0.654,0.0,1.45,0.557,9.91
1837,0.666,0.0,1.48,0.563,10.1
1838,0.678,0.0,1.51,0.57,10.3
1839,0.689,0.0,1.53,0.576,10.5
1840,0.7,0.0,1.56,0.582,10.7
1841,0.712,0.0,1.59,0.589,10.9
1842,0.723,0.0,1.62,0.595,11.0
1843,0.735,0.0,1.64,0.602,11.2
1844,0.746,0.0,1.67,0.608,11.4
1845,0.757,0.0,1.7,0.615,11.6
1846,0.768,0.0,1.73,0.621,11.8
1847,0.78,0.0,1.75,0.628,12.0
1848,0.791,0.0,1.78,0.634,12.2
1849,0.802,0.0,1.81,0.641,12.4
1850,0.875,0.00248,1.83,0.647,12.5
1851,0.889,0.00248,1.86,0.654,12.7
1852,0.903,0.00248,1.89,0.66,12.9
1853,0.918,0.00248,1.92,0.667,13.1
1854,0.933,0.00248,1.95,0.673,13.3
1855,0.948,0.00248,1.98,0.68,13.5
1856,0.961,0.00248,2.0,0.686,13.7
1857,0.974,0.00248,2.03,0.692,13.9
1858,0.988,0.00248,2.06,0.699,14.1
1859,1.0,0.00248,2.09,0.705,14.3
1860,1.01,0.00248,2.11,0.712,14.4
1861,1.03,0.00248,2.14,0.718,14.6
1862,1.04,0.00248,2.17,0.725,14.8
1863,1.06,0.00248,2.2,0.731,15.0
1864,1.07,0.00248,2.22,0.738,15.2
1865,1.09,0.00248,2.25,0.744,15.4
1866,1.11,0.00248,2.28,0.751,15.6
1867,1.12,0.00248,2.3,0.757,15.7
1868,1.13,0.00248,2.33,0.764,15.9
1869,1.15,0.00248,2.36,0.77,16.1
1870,1.16,0.00248,2.39,0.777,16.3
1871,1.18,0.00248,2.41,0.783,16.5
1872,1.2,0.00248,2.44,0.79,16.7
1873,1.23,0.00248,2.47,0.796,16.9
1874,1.25,0.00248,2.51,0.802,17.1
1875,1.28,0.00248,2.54,0.809,17.3
1876,1.31,0.00248,2.57,0.815,17.6
1877,1.34,0.00248,2.6,0.822,17.8
1878,1.36,0.00248,2.64,0.828,18.0
1879,1.39,0.00248,2.67,0.835,18.2
1880,1.41,0.00248,2.69,0.841,18.4
1881,1.44,0.00248,2.76,0.848,18.8
1882,1.46,0.00248,2.82,0.854,19.3
1883,1.49,0.00248,2.88,0.861,19.7
1884,1.51,0.00248,2.95,0.867,20.1
1885,1.54,0.00248,3.01,0.874,20.6
1886,1.56,0.00248,3.07,0.88,21.0
1887,1.59,0.00248,3.14,0.887,21.4
1888,1.62,0.00248,3.2,0.893,21.9
1889,1.64,0.00248,3.26,0.9,22.3
1890,1.69,0.00248,3.33,0.906,23.2
1891,1.73,0.0029100000000000003,3.39,0.913,23.7
1892,1.77,0.00408,3.46,0.919,24.2
1893,1.81,0.005849999999999999,3.53,0.925,24.7
1894,1.86,0.00808,3.6,0.932,25.2
1895,1.9,0.0106,3.67,0.938,25.8
1896,1.95,0.013300000000000001,3.74,0.945,26.4
1897,2.0,0.016,3.81,0.951,26.9
1898,2.05,0.018600000000000002,3.88,0.958,27.5
1899,2.09,0.021,3.94,0.964,28.1
1900,2.14,0.0228,4.01,0.971,28.7
1901,4.36,1.61,4.12,0.977,29.6
1902,4.86,1.91,4.22,0.984,30.6
1903,4.89,1.86,4.32,0.99,31.6
1904,5.17,2.0,4.43,0.997,32.7
1905,5.46,2.14,4.53,1.0,33.8
1906,5.98,2.44,4.63,1.01,34.9
1907,6.33,2.63,4.74,1.02,36.0
1908,6.59,2.74,4.84,1.02,37.0
1909,6.72,2.75,4.95,1.03,37.9
1910,7.43,3.2,5.05,1.04,38.8
1911,7.96,3.51,5.24,1.04,40.1
1912,9.08,4.25,5.43,1.05,41.5
1913,9.65,4.59,5.63,1.05,42.9
1914,7.84,3.14,5.82,1.06,44.2
1915,7.0,2.41,6.01,1.07,45.5
1916,6.86,2.22,6.2,1.07,46.9
1917,6.62,1.93,6.39,1.08,48.2
1918,6.58,1.8,6.59,1.09,49.5
1919,7.48,2.37,6.78,1.09,50.9
1920,8.21,2.8,6.97,1.1,52.2
1921,7.61,2.25,7.2,1.11,53.7
1922,8.66,2.96,7.42,1.11,55.2
1923,9.66,3.65,7.65,1.12,56.6
1924,10.3,4.09,7.88,1.13,58.1
1925,10.8,4.37,8.1,1.13,59.5
1926,11.0,4.54,8.33,1.14,61.0
1927,11.8,5.07,8.55,1.15,62.4
1928,11.8,5.04,8.78,1.15,63.9
1929,12.4,5.42,9.01,1.16,65.4
1930,11.8,4.84,9.23,1.16,66.9
1931,10.6,3.87,9.25,1.17,67.0
1932,10.8,3.9,9.27,1.18,67.3
1933,11.5,4.36,9.29,1.18,67.5
1934,11.6,4.32,9.31,1.19,67.8
1935,12.7,5.02,9.33,1.2,68.2
1936,12.5,4.77,9.35,1.2,68.4
1937,13.6,5.46,9.37,1.21,68.7
1938,13.8,5.48,9.4,1.22,69.0
1939,13.9,5.44,9.42,1.22,69.3
1940,14.7,5.88,9.44,1.23,69.5
