year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.719,0.0,0.00704,0.0,0.292
1751,0.729,0.0,0.00715,0.0111,0.297
1752,0.74,0.0,0.00726,0.0221,0.301
1753,0.751,0.0,0.00737,0.0332,0.306
1754,0.761,0.0,0.0074800000000000005,0.0442,0.31
1755,0.772,0.0,0.0075899999999999995,0.055299999999999995,0.315
1756,0.783,0.0,0.0077,0.0664,0.319
1757,0.793,0.0,0.0078,0.07740000000000001,0.324
1758,0.804,0.0,0.00791,0.0885,0.328
1759,0.814,0.0,0.00802,0.0995,0.333
1760,0.825,0.0,0.00813,0.111,0.337
1761,0.838,0.0,0.00826,0.122,0.343
1762,0.85,0.0,0.00839,0.133,0.348
1763,0.863,0.0,0.00853,0.144,0.354
1764,0.876,0.0,0.00866,0.155,0.359
1765,0.888,0.0,0.00879,0.166,0.365
1766,0.901,0.0,0.008919999999999999,0.177,0.37
1767,0.913,0.0,0.00905,0.188,0.376
1768,0.926,0.0,0.009179999999999999,0.199,0.381
1769,0.938,0.0,0.00931,0.21,0.386
1770,0.951,0.0,0.009439999999999999,0.221,0.392
1771,0.966,0.0,0.0096,0.232,0.398
1772,0.981,0.0,0.00976,0.243,0.405
1773,0.996,0.0,0.00992,0.254,0.412
1774,1.01,0.0,0.0101,0.265,0.418
1775,1.03,0.0,0.010199999999999999,0.277,0.425
1776,1.04,0.0,0.0104,0.288,0.431
1777,1.06,0.0,0.0106,0.299,0.438
1778,1.07,0.0,0.0107,0.31,0.444
1779,1.09,0.0,0.0109,0.321,0.451
1780,1.1,0.0,0.011,0.332,0.457
1781,1.12,0.0,0.0112,0.343,0.465
1782,1.14,0.0,0.0114,0.354,0.473
1783,1.15,0.0,0.0116,0.365,0.481
1784,1.17,0.0,0.011800000000000001,0.376,0.489
1785,1.21,0.000464,0.012,0.387,0.497
1786,1.23,0.000464,0.012199999999999999,0.398,0.505
1787,1.25,0.000464,0.0124,0.409,0.513
