year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.159,0.0,0.00677,0.0,1.04
1751,0.159,0.0,0.00679,0.0008990000000000001,1.04
1752,0.159,0.0,0.0068200000000000005,0.0018,1.04
1753,0.16,0.0,0.00684,0.0027,1.05
1754,0.16,0.0,0.006860000000000001,0.0036,1.05
1755,0.16,0.0,0.00688,0.0045,1.05
1756,0.16,0.0,0.006900000000000001,0.0054,1.06
1757,0.161,0.0,0.00692,0.0063,1.06
1758,0.161,0.0,0.0069500000000000004,0.00719,1.07
1759,0.161,0.0,0.00697,0.00809,1.07
1760,0.161,0.0,0.0069900000000000006,0.00899,1.07
1761,0.161,0.0,0.00701,0.009890000000000001,1.08
1762,0.162,0.0,0.00704,0.0108,1.08
1763,0.162,0.0,0.0070599999999999994,0.011699999999999999,1.08
1764,0.162,0.0,0.00708,0.0126,1.09
1765,0.162,0.0,0.0070999999999999995,0.0135,1.09
1766,0.162,0.0,0.00713,0.0144,1.09
1767,0.163,0.0,0.00715,0.015300000000000001,1.1
1768,0.163,0.0,0.00717,0.0162,1.1
1769,0.163,0.0,0.00719,0.0171,1.1
1770,0.163,0.0,0.00722,0.018,1.11
1771,0.163,0.0,0.00724,0.0189,1.11
1772,0.164,0.0,0.00726,0.0198,1.11
1773,0.164,0.0,0.00729,0.0207,1.12
1774,0.164,0.0,0.00731,0.0216,1.12
1775,0.164,0.0,0.00733,0.0225,1.12
1776,0.164,0.0,0.00736,0.023399999999999997,1.13
1777,0.165,0.0,0.00738,0.024300000000000002,1.13
1778,0.165,0.0,0.0074,0.0252,1.13
1779,0.165,0.0,0.00743,0.0261,1.14
1780,0.165,0.0,0.00745,0.027,1.14
1781,0.166,0.0,0.00747,0.027899999999999998,1.15
1782,0.166,0.0,0.0075,0.0288,1.15
1783,0.166,0.0,0.00752,0.0297,1.15
1784,0.166,0.0,0.00754,0.030600000000000002,1.16
1785,0.166,0.0,0.00757,0.0315,1.16
1786,0.167,0.0,0.0075899999999999995,0.0324,1.16
1787,0.167,0.0,0.00762,0.033299999999999996,1.17
1788,0.167,0.0,0.00764,0.0342,1.17
1789,0.167,0.0,0.00767,0.0351,1.18
1790,0.167,0.0,0.007690000000000001,0.036,1.18
1791,0.168,0.0,0.00771,0.036899999999999995,1.18
1792,0.168,0.0,0.00774,0.0378,1.19
1793,0.168,0.0,0.0077599999999999995,0.038700000000000005,1.19
1794,0.168,0.0,0.00779,0.0396,1.19
1795,0.168,0.0,0.007809999999999999,0.0405,1.2
1796,0.169,0.0,0.00784,0.0414,1.2
1797,0.169,0.0,0.00786,0.0423,1.21
1798,0.169,0.0,0.00789,0.0432,1.21
1799,0.169,0.0,0.00791,0.0441,1.21
1800,0.169,0.0,0.007940000000000001,0.045,1.22
1801,0.17,0.0,0.00796,0.045899999999999996,1.22
1802,0.17,0.0,0.00799,0.046799999999999994,1.22
1803,0.17,0.0,0.00801,0.047700000000000006,1.23
1804,0.17,0.0,0.008039999999999999,0.048600000000000004,1.23
1805,0.17,0.0,0.00807,0.0495,1.24
1806,0.17,0.0,0.00809,0.0504,1.24
1807,0.171,0.0,0.008119999999999999,0.0513,1.24
1808,0.171,0.0,0.008140000000000001,0.0522,1.25
1809,0.171,0.0,0.00817,0.0531,1.25
1810,0.171,0.0,0.00819,0.054,1.26
1811,0.173,0.0,0.008289999999999999,0.0549,1.27
1812,0.174,0.0,0.00838,0.055799999999999995,1.28
1813,0.176,0.0,0.00848,0.0567,1.3
1814,0.178,0.0,0.00857,0.0576,1.31
1815,0.179,0.0,0.00866,0.0585,1.33
1816,0.181,0.0,0.00876,0.0594,1.34
1817,0.182,0.0,0.00885,0.0603,1.36
1818,0.184,0.0,0.00895,0.061200000000000004,1.37
1819,0.185,0.0,0.00904,0.0621,1.39
1820,0.187,0.0,0.009130000000000001,0.063,1.4
1821,0.188,0.0,0.009210000000000001,0.0639,1.41
1822,0.189,0.0,0.00929,0.0648,1.42
1823,0.191,0.0,0.00937,0.06570000000000001,1.44
1824,0.192,0.0,0.009439999999999999,0.06659999999999999,1.45
1825,0.193,0.0,0.009519999999999999,0.0675,1.46
1826,0.194,0.0,0.0096,0.0683,1.47
1827,0.195,0.0,0.00968,0.0692,1.48
1828,0.196,0.0,0.00975,0.0701,1.5
1829,0.197,0.0,0.00983,0.071,1.51
1830,0.199,0.0,0.00991,0.0719,1.52
1831,0.2,0.0,0.00999,0.0728,1.53
1832,0.201,0.0,0.0101,0.0737,1.54
1833,0.202,0.0,0.0101,0.0746,1.56
1834,0.203,0.0,0.010199999999999999,0.0755,1.57
1835,0.204,0.0,0.0103,0.07640000000000001,1.58
1836,0.205,0.0,0.0104,0.0773,1.59
1837,0.206,0.0,0.0105,0.0782,1.6
1838,0.207,0.0,0.0105,0.07909999999999999,1.61
1839,0.209,0.0,0.0106,0.08,1.63
1840,0.21,0.0,0.0107,0.0809,1.64
1841,0.211,0.0,0.0108,0.0818,1.65
1842,0.212,0.0,0.0109,0.08270000000000001,1.66
1843,0.213,0.0,0.0109,0.0836,1.68
1844,0.214,0.0,0.011,0.0845,1.69
1845,0.215,0.0,0.0111,0.0854,1.7
1846,0.216,0.0,0.0112,0.0863,1.71
1847,0.217,0.0,0.011300000000000001,0.0872,1.73
1848,0.219,0.0,0.011300000000000001,0.0881,1.74
1849,0.22,0.0,0.0114,0.089,1.75
1850,0.237,0.000208,0.011300000000000001,0.08990000000000001,1.86
1851,0.239,0.000208,0.0115,0.09079999999999999,1.87
1852,0.24,0.000208,0.011699999999999999,0.0917,1.88
1853,0.242,0.000208,0.0119,0.09259999999999999,1.89
1854,0.243,0.000208,0.0121,0.0935,1.9
1855,0.245,0.000208,0.012199999999999999,0.09440000000000001,1.91
1856,0.247,0.000208,0.0124,0.0953,1.92
1857,0.248,0.000208,0.0125,0.09620000000000001,1.93
1858,0.396,0.0179,0.0126,0.09709999999999999,1.94
1859,0.456,0.025,0.0127,0.098,1.95
1860,0.555,0.037,0.0127,0.0989,1.96
1861,0.677,0.0516,0.0128,0.0998,1.97
